# kappa, accuracy
0.000000000000000000e+00,6.004444360733032227e-01
2.996978013772820804e-01,6.083889007568359375e-01
3.802747561898304207e-01,6.286110877990722656e-01
4.287936898563295407e-01,6.418333053588867188e-01
4.636202011082201646e-01,6.483333110809326172e-01
4.908053612729206816e-01,6.536666750907897949e-01
5.131063543800969962e-01,6.575000286102294922e-01
5.320137536227754760e-01,6.622222065925598145e-01
5.484252679276702125e-01,6.685000061988830566e-01
5.629236558102123089e-01,6.708889007568359375e-01
5.759087469045192087e-01,6.751111149787902832e-01
5.876668031322872521e-01,6.782222390174865723e-01
5.984098333136873560e-01,6.791666746139526367e-01
6.082992423734946419e-01,6.843333244323730469e-01
6.174607558474050073e-01,6.831111311912536621e-01
6.259942181482508472e-01,6.855555772781372070e-01
6.339802423474957260e-01,6.853333115577697754e-01
6.414848525499916576e-01,6.851111054420471191e-01
6.485628048258279543e-01,6.865000128746032715e-01
6.552600138644543160e-01,6.870555281639099121e-01
6.616153596210022636e-01,6.884444355964660645e-01
6.676620548423441992e-01,6.889444589614868164e-01
6.734286956353259246e-01,6.900555491447448730e-01
6.789400793408061352e-01,6.881111264228820801e-01
6.842178489471048008e-01,6.901666522026062012e-01
6.892810063988102920e-01,6.904444694519042969e-01
6.941463255609697791e-01,6.896111369132995605e-01
6.988286874947836624e-01,6.917777657508850098e-01
7.033413549487990135e-01,6.945000290870666504e-01
7.076961988282437499e-01,6.951110959053039551e-01
7.119038863842279685e-01,6.927222013473510742e-01
7.159740386341674201e-01,6.916111111640930176e-01
7.199153628595682530e-01,6.955555677413940430e-01
7.237357647710809250e-01,6.949444413185119629e-01
7.274424439738401693e-01,6.952777504920959473e-01
7.310419756306270056e-01,6.918333172798156738e-01
7.345403806502973643e-01,6.886666417121887207e-01
7.379431862835266198e-01,6.913333535194396973e-01
7.412554786573448684e-01,6.924444437026977539e-01
7.444819485020645056e-01,6.926666498184204102e-01
7.476269311024982267e-01,6.930000185966491699e-01
7.506944413273661798e-01,6.960555315017700195e-01
7.536882044470456510e-01,6.932222247123718262e-01
7.566116833330710501e-01,6.941111087799072266e-01
7.594681025374865335e-01,6.948888897895812988e-01
7.622604696719406103e-01,6.947777867317199707e-01
7.649915944419357627e-01,6.933888792991638184e-01
7.676641056382377259e-01,6.948888897895812988e-01
7.702804663430203869e-01,6.931666731834411621e-01
7.728429875712116148e-01,6.948333382606506348e-01
7.753538405363836761e-01,6.913333535194396973e-01
7.778150677043252914e-01,6.948888897895812988e-01
7.802285927753012107e-01,6.924444437026977539e-01
7.825962297172295301e-01,6.956111192703247070e-01
7.849196909560429702e-01,6.940555572509765625e-01
7.872005948158719013e-01,6.966666579246520996e-01
7.894404722900221216e-01,6.922777891159057617e-01
7.916407732137007436e-01,6.970000267028808594e-01
7.938028719008218825e-01,6.946111321449279785e-01
7.959280722997764679e-01,6.949999928474426270e-01
7.980176127165991007e-01,6.946111321449279785e-01
8.000726701483736880e-01,6.933888792991638184e-01
8.020943642648479255e-01,6.955000162124633789e-01
8.040837610719800965e-01,6.934999823570251465e-01
8.060418762874302923e-01,6.922222375869750977e-01
8.079696784547532040e-01,6.936110854148864746e-01
8.098680918201974777e-01,6.928333044052124023e-01
8.117379989935006313e-01,6.948333382606506348e-01
8.135802434118539761e-01,6.907222270965576172e-01
8.153956316242562119e-01,6.953333616256713867e-01
8.171849354117416420e-01,6.910555362701416016e-01
8.189488937574324057e-01,6.930555701255798340e-01
8.206882146790018817e-01,6.893333196640014648e-01
8.224035769349207214e-01,6.952777504920959473e-01
8.240956316147780569e-01,6.918888688087463379e-01
8.257650036229998713e-01,6.905555725097656250e-01
8.274122930644295382e-01,6.883888840675354004e-01
8.290380765394549378e-01,6.899999976158142090e-01
8.306429083556797766e-01,6.897777915000915527e-01
8.322273216625085679e-01,6.943888664245605469e-01
8.337918295144571834e-01,6.929444670677185059e-01
8.353369258684952836e-01,6.924444437026977539e-01
8.368630865202713043e-01,6.866666674613952637e-01
8.383707699836608906e-01,6.902222037315368652e-01
8.398604183177056370e-01,6.914444565773010254e-01
8.413324579046747020e-01,6.872222423553466797e-01
8.427873001826751143e-01,6.946666836738586426e-01
8.442253423359600273e-01,6.900555491447448730e-01
8.456469679458329392e-01,6.897777915000915527e-01
8.470525476048166302e-01,6.898888945579528809e-01
8.484424394965456306e-01,6.915000081062316895e-01
8.498169899436552877e-01,6.921111345291137695e-01
8.511765339257598706e-01,6.890000104904174805e-01
8.525213955694619372e-01,6.893333196640014648e-01
8.538518886121838625e-01,6.887778043746948242e-01
8.551683168414809799e-01,6.898333430290222168e-01
8.564709745113781025e-01,6.906666755676269531e-01
8.577601467371547272e-01,6.867777705192565918e-01
8.590361098699040854e-01,6.887221932411193848e-01
8.602991318520967212e-01,6.895555257797241211e-01
8.615494725552947930e-01,6.858333349227905273e-01
8.627873841010786915e-01,6.889444589614868164e-01
8.640131111661799590e-01,6.895555257797241211e-01
8.652268912727436589e-01,6.895555257797241211e-01
8.664289550645802862e-01,6.841666698455810547e-01
