# kappa, accuracy
0.000000000000000000e+00,5.986666679382324219e-01
3.461771757091813284e-01,6.188333630561828613e-01
4.394768901772856395e-01,6.396111249923706055e-01
4.956687295248982661e-01,6.421666741371154785e-01
5.360063223774133023e-01,6.469444632530212402e-01
5.674948860265578432e-01,6.488333344459533691e-01
5.933269122431809039e-01,6.555555462837219238e-01
6.152284842306581236e-01,6.586111187934875488e-01
6.342392197447078717e-01,6.593888998031616211e-01
6.510340323707560772e-01,6.611111164093017578e-01
6.660759964320493998e-01,6.645555496215820312e-01
6.796966641819668364e-01,6.671666502952575684e-01
6.921415927485059516e-01,6.691111326217651367e-01
7.035977314159973517e-01,6.710555553436279297e-01
7.142107057302550244e-01,6.735555529594421387e-01
7.240961652100870172e-01,6.740000247955322266e-01
7.333474848715396677e-01,6.699444651603698730e-01
7.420411419588799351e-01,6.756111383438110352e-01
7.502405622672018159e-01,6.740000247955322266e-01
7.579989307506305174e-01,6.756666898727416992e-01
7.653612840512816762e-01,6.725555658340454102e-01
7.723660944409983520e-01,6.759444475173950195e-01
7.790464866587903936e-01,6.753333210945129395e-01
7.854311852357647172e-01,6.734444499015808105e-01
7.915452609111942595e-01,6.731666922569274902e-01
7.974107251965013576e-01,6.676111221313476562e-01
8.030470087139089941e-01,6.748889088630676270e-01
8.084713495507100944e-01,6.689444184303283691e-01
8.136991112080229627e-01,6.729444265365600586e-01
8.187440449263551079e-01,6.737777590751647949e-01
8.236185076714130915e-01,6.710555553436279297e-01
8.283336444803161003e-01,6.718333363533020020e-01
8.328995419396552080e-01,6.746110916137695312e-01
8.373253581118057509e-01,6.761111021041870117e-01
8.416194331175870236e-01,6.743333339691162109e-01
8.457893837314700569e-01,6.729999780654907227e-01
8.498421846852207695e-01,6.734444499015808105e-01
8.537842388599744536e-01,6.697777509689331055e-01
8.576214381406676024e-01,6.726111173629760742e-01
8.613592163848989847e-01,6.782777905464172363e-01
8.650025957014931821e-01,6.761111021041870117e-01
8.685562270278620600e-01,6.698889136314392090e-01
8.720244258287564998e-01,6.750000119209289551e-01
8.754112036037767774e-01,6.728888750076293945e-01
8.787202957806128367e-01,6.680555343627929688e-01
8.819551864803916175e-01,6.732222437858581543e-01
8.851191305668248965e-01,6.771110892295837402e-01
8.882151733289814777e-01,6.754444241523742676e-01
8.912461680960521715e-01,6.715555787086486816e-01
8.942147920394848404e-01,6.753888726234436035e-01
8.971235603818138449e-01,6.740000247955322266e-01
8.999748392011625020e-01,6.741111278533935547e-01
9.027708569947490158e-01,6.705555319786071777e-01
9.055137151429880626e-01,6.676666736602783203e-01
9.082053973972802341e-01,6.704444289207458496e-01
9.108477784988026071e-01,6.699444651603698730e-01
9.134426320220925266e-01,6.731111407279968262e-01
9.159916375256217380e-01,6.681110858917236328e-01
9.184963870815585629e-01,6.697777509689331055e-01
9.209583912482995904e-01,6.716111302375793457e-01
9.233790845418725635e-01,6.703888773918151855e-01
9.257598304558389835e-01,6.706666946411132812e-01
9.281019260736794729e-01,6.737777590751647949e-01
9.304066063127284236e-01,6.718333363533020020e-01
9.326750478344204565e-01,6.766666769981384277e-01
9.349083726518501170e-01,6.720555424690246582e-01
9.371076514623285503e-01,6.673889160156250000e-01
9.392739067297199984e-01,6.696666479110717773e-01
9.414081155387673538e-01,6.638333201408386230e-01
9.435112122413544800e-01,6.667777895927429199e-01
9.455840909126398408e-01,6.664444208145141602e-01
9.476276076332273979e-01,6.729999780654907227e-01
9.496425826119497815e-01,6.735555529594421387e-01
9.516298021624404191e-01,6.682778000831604004e-01
9.535900205454130862e-01,6.708889007568359375e-01
9.555239616874547925e-01,6.718333363533020020e-01
9.574323207861292762e-01,6.697777509689331055e-01
9.593157658103003138e-01,6.741666793823242188e-01
9.611749389037753666e-01,6.690555810928344727e-01
