# kappa, accuracy
0.000000000000000000e+00,6.033889055252075195e-01
2.987236196925980303e-01,6.341666579246520996e-01
3.792544170357437516e-01,6.588333249092102051e-01
4.277569772865245090e-01,6.623888611793518066e-01
4.625751031769463895e-01,6.673889160156250000e-01
4.897551666955366478e-01,6.750555634498596191e-01
5.120527343318437286e-01,6.721666455268859863e-01
5.309576730963282420e-01,6.793333292007446289e-01
5.473673344878597913e-01,6.818888783454895020e-01
5.618642767142233430e-01,6.825000047683715820e-01
5.748482084357720012e-01,6.827777624130249023e-01
5.866053141966476314e-01,6.797222495079040527e-01
5.973475510199326433e-01,6.844444274902343750e-01
6.072362878498520633e-01,6.875000000000000000e-01
6.163972244491793262e-01,6.877222061157226562e-01
6.249301862853263723e-01,6.868888735771179199e-01
6.329157721914259183e-01,6.851111054420471191e-01
6.404199953647056187e-01,6.886666417121887207e-01
6.474976033782243734e-01,6.905000209808349609e-01
6.541945042039335467e-01,6.866111159324645996e-01
6.605495724163166216e-01,6.917222142219543457e-01
6.665960164016516698e-01,6.897222399711608887e-01
6.723624286954564822e-01,6.889444589614868164e-01
6.778736036856873870e-01,6.884444355964660645e-01
6.831511818978815986e-01,6.903333067893981934e-01
6.882141632063275560e-01,6.867777705192565918e-01
6.930793197230664671e-01,6.884444355964660645e-01
6.977615310150444561e-01,6.851666569709777832e-01
7.022740585492628362e-01,6.896111369132995605e-01
7.066287721255648524e-01,6.891666650772094727e-01
7.108363380365733120e-01,6.871111392974853516e-01
7.149063764644969510e-01,6.878333091735839844e-01
7.188475939597123165e-01,6.897222399711608887e-01
7.226678955900954771e-01,6.891111135482788086e-01
7.263744803934070182e-01,6.884444355964660645e-01
7.299739230297124237e-01,6.853333115577697754e-01
7.334722439608555300e-01,6.884999871253967285e-01
7.368749700386959534e-01,6.856666803359985352e-01
7.401871870333186498e-01,6.881111264228820801e-01
7.434135853546081085e-01,6.898888945579528809e-01
7.465584999989113291e-01,6.873333454132080078e-01
7.496259455745589717e-01,6.877222061157226562e-01
7.526196471162779345e-01,6.828888654708862305e-01
7.555430672818238547e-01,6.878333091735839844e-01
7.583994304288517174e-01,6.854444742202758789e-01
7.611917439918622907e-01,6.846666932106018066e-01
7.639228175145810207e-01,6.790000200271606445e-01
7.665952796397360602e-01,6.848888993263244629e-01
7.692115933137743111e-01,6.836666464805603027e-01
7.717740694269543678e-01,6.847777962684631348e-01
7.742848790781323709e-01,6.817222237586975098e-01
7.767460646273612879e-01,6.838889122009277344e-01
7.791595496772880658e-01,6.841111183166503906e-01
7.815271481055661162e-01,6.812222003936767578e-01
7.838505722545381360e-01,6.767222285270690918e-01
7.861314403708120624e-01,6.844999790191650391e-01
7.883712833756992833e-01,6.849444508552551270e-01
7.905715510374555777e-01,6.792777776718139648e-01
7.927336176076535956e-01,6.786666512489318848e-01
7.948587869765617597e-01,6.811110973358154297e-01
7.969482973959608474e-01,6.819999814033508301e-01
7.990033258122326565e-01,6.827777624130249023e-01
8.010249918476888276e-01,6.789444684982299805e-01
8.030143614638585170e-01,6.800000071525573730e-01
8.049724503367450268e-01,6.794999837875366211e-01
8.069002269708061004e-01,6.786666512489318848e-01
8.087986155755593209e-01,6.800000071525573730e-01
8.106684987262008368e-01,6.790000200271606445e-01
8.125107198274091891e-01,6.809999942779541016e-01
8.143260853975529123e-01,6.816666722297668457e-01
8.161153671887835248e-01,6.780555844306945801e-01
8.178793041569653033e-01,6.751666665077209473e-01
8.196186042940261096e-01,6.781111359596252441e-01
8.213339463341001734e-01,6.768333315849304199e-01
8.230259813437531546e-01,6.809444427490234375e-01
8.246953342056149161e-01,6.805555820465087891e-01
8.263426050038772397e-01,6.786110997200012207e-01
8.279683703193486677e-01,6.771666407585144043e-01
8.295731844410560996e-01,6.791666746139526367e-01
8.311575805007667128e-01,6.783888936042785645e-01
8.327220715362394499e-01,6.784999966621398926e-01
8.342671514885139361e-01,6.777222156524658203e-01
8.357932961380847292e-01,6.782222390174865723e-01
8.373009639844030128e-01,6.763888597488403320e-01
8.387905970727713711e-01,6.778888702392578125e-01
8.402626217723667690e-01,6.782222390174865723e-01
8.417174495088112218e-01,6.752222180366516113e-01
8.431554774544472997e-01,6.785555481910705566e-01
8.445770891792078183e-01,6.785555481910705566e-01
8.459826552647556897e-01,6.746110916137695312e-01
8.473725338843478561e-01,6.788333058357238770e-01
8.487470713506973796e-01,6.774444580078125000e-01
8.501066026339273440e-01,6.777222156524658203e-01
8.514514518515574615e-01,6.759999990463256836e-01
8.527819327323121756e-01,6.763333082199096680e-01
8.540983490554155955e-01,6.772222518920898438e-01
8.554009950669081430e-01,6.763333082199096680e-01
8.566901558744134393e-01,6.783888936042785645e-01
8.579661078216810344e-01,6.756111383438110352e-01
8.592291188441344429e-01,6.759999990463256836e-01
8.604794488065702351e-01,6.790555715560913086e-01
8.617173498240707774e-01,6.746110916137695312e-01
8.629430665671246059e-01,6.779444217681884766e-01
8.641568365518756956e-01,6.781666874885559082e-01
8.653588904163638240e-01,6.783888936042785645e-01
8.665494521835611641e-01,6.760555505752563477e-01
8.677287395119510638e-01,6.740555763244628906e-01
8.688969639343568918e-01,6.794999837875366211e-01
8.700543310856682089e-01,6.751111149787902832e-01
8.712010409200855454e-01,6.746110916137695312e-01
8.723372879184513318e-01,6.754444241523742676e-01
8.734632612862087697e-01,6.772778034210205078e-01
8.745791451424909102e-01,6.769444346427917480e-01
8.756851187008128923e-01,6.760555505752563477e-01
8.767813564418102112e-01,6.746110916137695312e-01
8.778680282784415700e-01,6.741111278533935547e-01
8.789452997140444479e-01,6.765000224113464355e-01
8.800133319936136456e-01,6.769444346427917480e-01
8.810722822486474204e-01,6.758333444595336914e-01
8.821223036358870617e-01,6.742777824401855469e-01
8.831635454702555510e-01,6.762777566909790039e-01
8.841961533522852967e-01,6.755555272102355957e-01
8.852202692903052839e-01,6.774444580078125000e-01
8.862360318176455420e-01,6.751666665077209473e-01
8.872435761050997405e-01,6.746666431427001953e-01
8.882430340688748371e-01,6.765000224113464355e-01
8.892345344742428326e-01,6.756111383438110352e-01
8.902182030350997977e-01,6.751111149787902832e-01
8.911941625096221342e-01,6.745555400848388672e-01
8.921625327922050319e-01,6.756111383438110352e-01
8.931234310018520972e-01,6.752222180366516113e-01
8.940769715671830209e-01,6.744444370269775391e-01
8.950232663082090534e-01,6.731666922569274902e-01
8.959624245150270561e-01,6.747778058052062988e-01
8.968945530235664654e-01,6.768888831138610840e-01
8.978197562885237293e-01,6.791666746139526367e-01
8.987381364536066730e-01,6.769444346427917480e-01
8.996497934192076995e-01,6.750555634498596191e-01
9.005548249076181788e-01,6.747778058052062988e-01
9.014533265258896089e-01,6.752777695655822754e-01
9.023453918264436879e-01,6.744444370269775391e-01
9.032311123655272223e-01,6.740555763244628906e-01
9.041105777596016857e-01,6.747221946716308594e-01
9.049838757397568045e-01,6.759444475173950195e-01
9.058510922042293245e-01,6.744444370269775391e-01
9.067123112691043429e-01,6.761666536331176758e-01
9.075676153172778093e-01,6.761666536331176758e-01
9.084170850457465862e-01,6.758888959884643555e-01
9.092607995112986785e-01,6.747221946716308594e-01
9.100988361746644717e-01,6.736666560173034668e-01
9.109312709431930388e-01,6.758888959884643555e-01
9.117581782121113587e-01,6.762222051620483398e-01
9.125796309044232890e-01,6.748333573341369629e-01
9.133957005094998083e-01,6.756111383438110352e-01
9.142064571204142620e-01,6.740000247955322266e-01
9.150119694700701301e-01,6.750555634498596191e-01
9.158123049661668347e-01,6.759999990463256836e-01
9.166075297250502185e-01,6.756666898727416992e-01
9.173977086044884377e-01,6.728888750076293945e-01
9.181829052354144594e-01,6.725000143051147461e-01
9.189631820526747985e-01,6.743333339691162109e-01
9.197386003248199104e-01,6.727222204208374023e-01
9.205092201829742082e-01,6.727777719497680664e-01
9.212751006488165695e-01,6.725000143051147461e-01
9.220362996617070817e-01,6.718888878822326660e-01
9.227928741049893357e-01,6.753333210945129395e-01
9.235448798314981333e-01,6.736111044883728027e-01
9.242923716883022500e-01,6.727222204208374023e-01
9.250354035407086783e-01,6.736111044883728027e-01
9.257740282955552180e-01,6.747221946716308594e-01
9.265082979238159488e-01,6.743333339691162109e-01
9.272382634825445669e-01,6.742777824401855469e-01
9.279639751361785649e-01,6.719999909400939941e-01
9.286854821772252411e-01,6.715555787086486816e-01
9.294028330463528498e-01,6.743333339691162109e-01
9.301160753519064350e-01,6.753333210945129395e-01
9.308252558888667760e-01,6.739444732666015625e-01
9.315304206572745382e-01,6.746110916137695312e-01
9.322316148801337299e-01,6.737222075462341309e-01
9.329288830208147809e-01,6.737222075462341309e-01
9.336222687999735648e-01,6.748333573341369629e-01
9.343118152120013509e-01,6.766666769981384277e-01
9.349975645410220082e-01,6.750000119209289551e-01
9.356795583764511148e-01,6.746666431427001953e-01
9.363578376281315174e-01,6.735555529594421387e-01
9.370324425410589964e-01,6.743888854980468750e-01
9.377034127097105820e-01,6.737222075462341309e-01
9.383707870919898442e-01,6.721666455268859863e-01
9.390346040227999236e-01,6.733333468437194824e-01
9.396949012272566293e-01,6.743333339691162109e-01
9.403517158335538140e-01,6.740555763244628906e-01
9.410050843854900204e-01,6.729444265365600586e-01
9.416550428546696105e-01,6.732222437858581543e-01
9.423016266523863704e-01,6.740555763244628906e-01
9.429448706411996950e-01,6.734444499015808105e-01
9.435848091462148979e-01,6.733333468437194824e-01
9.442214759660735313e-01,6.710555553436279297e-01
9.448549043836649286e-01,6.752222180366516113e-01
9.454851271765672971e-01,6.746110916137695312e-01
9.461121766272241329e-01,6.735555529594421387e-01
9.467360845328679497e-01,6.730555295944213867e-01
9.473568822151952062e-01,6.741111278533935547e-01
9.479746005298015366e-01,6.734444499015808105e-01
9.485892698753841668e-01,6.742222309112548828e-01
9.492009202027187342e-01,6.739444732666015625e-01
9.498095810234161718e-01,6.726111173629760742e-01
9.504152814184668729e-01,6.732777953147888184e-01
9.510180500465780229e-01,6.727777719497680664e-01
9.516179151523102009e-01,6.735000014305114746e-01
9.522149045740192497e-01,6.740555763244628906e-01
9.528090457516074085e-01,6.743333339691162109e-01
9.534003657340928140e-01,6.725000143051147461e-01
9.539888911869970345e-01,6.729444265365600586e-01
9.545746483995618537e-01,6.738333106040954590e-01
9.551576632917949672e-01,6.739444732666015625e-01
9.557379614213528107e-01,6.727222204208374023e-01
9.563155679902630713e-01,6.737777590751647949e-01
9.568905078514919893e-01,6.735555529594421387e-01
9.574628055153614481e-01,6.746666431427001953e-01
9.580324851558184029e-01,6.733333468437194824e-01
9.585995706165625352e-01,6.723889112472534180e-01
9.591640854170337960e-01,6.727222204208374023e-01
9.597260527582658352e-01,6.731666922569274902e-01
9.602854955286079797e-01,6.742222309112548828e-01
9.608424363093184262e-01,6.712222099304199219e-01
9.613968973800333107e-01,6.736666560173034668e-01
9.619489007241154299e-01,6.750555634498596191e-01
9.624984680338831700e-01,6.731666922569274902e-01
9.630456207157265247e-01,6.732777953147888184e-01
9.635903798951096499e-01,6.732777953147888184e-01
9.641327664214650595e-01,6.726111173629760742e-01
9.646728008729821280e-01,6.735000014305114746e-01
9.652105035612915662e-01,6.736666560173034668e-01
9.657458945360493097e-01,6.723333597183227539e-01
9.662789935894229298e-01,6.735000014305114746e-01
9.668098202604811231e-01,6.742777824401855469e-01
9.673383938394916060e-01,6.737222075462341309e-01
9.678647333721271950e-01,6.731666922569274902e-01
9.683888576635830692e-01,6.744444370269775391e-01
9.689107852826092104e-01,6.726666688919067383e-01
