# kappa, training_loss
0.000000000000000000e+00,2.499952912330627441e-01
2.986906682042270167e-01,2.485976815223693848e-01
3.792198976583105452e-01,2.466088384389877319e-01
4.277219015882037789e-01,2.446343004703521729e-01
4.625397425392260842e-01,2.419976145029067993e-01
4.897196328611601590e-01,2.399275600910186768e-01
5.120170840873656815e-01,2.354328483343124390e-01
5.309219392337066745e-01,2.306095361709594727e-01
5.473315376537596366e-01,2.255342900753021240e-01
5.618284307486550722e-01,2.265043854713439941e-01
5.748123230678183759e-01,2.263003736734390259e-01
5.865693965258901299e-01,2.234237045049667358e-01
5.973116063857140112e-01,2.173710763454437256e-01
6.072003203687571515e-01,2.168807685375213623e-01
6.163612373619187235e-01,2.139743715524673462e-01
6.248941821887573633e-01,2.121766805648803711e-01
6.328797531985168590e-01,2.157873362302780151e-01
6.403839632177268371e-01,2.097062319517135620e-01
6.474615595306708604e-01,2.092140018939971924e-01
6.541584498810016912e-01,2.100853919982910156e-01
6.605135086603368677e-01,2.089317589998245239e-01
6.665599441067553421e-01,2.050371319055557251e-01
6.723263486343988848e-01,2.062355726957321167e-01
6.778375165308661021e-01,2.044599056243896484e-01
6.831150882379924960e-01,1.996355503797531128e-01
6.881780635597045670e-01,2.028566151857376099e-01
6.930432145484645146e-01,1.990611255168914795e-01
6.977254207204336423e-01,2.009610980749130249e-01
7.022379434990577707e-01,1.932485848665237427e-01
7.065926526466113078e-01,2.008192241191864014e-01
7.108002144231412300e-01,1.951195597648620605e-01
7.148702489824699802e-01,1.948930174112319946e-01
7.188114628501248715e-01,1.961658149957656860e-01
7.226317610721361140e-01,1.914194077253341675e-01
7.263383426669807186e-01,1.880138814449310303e-01
7.299377822776381697e-01,1.902807652950286865e-01
7.334361003507596788e-01,1.924217343330383301e-01
7.368388237246501493e-01,1.922773569822311401e-01
7.401510381572629083e-01,1.873405575752258301e-01
7.433774340475914899e-01,1.856542676687240601e-01
7.465223463821794025e-01,1.829859465360641479e-01
7.495897897605064975e-01,1.825770437717437744e-01
7.525834892092910788e-01,1.857541799545288086e-01
7.555069073790227074e-01,1.836665123701095581e-01
7.583632686207496532e-01,1.826668679714202881e-01
7.611555803629515005e-01,1.906015872955322266e-01
7.638866521438557600e-01,1.826445758342742920e-01
7.665591126011588319e-01,1.806090623140335083e-01
7.691754246766945302e-01,1.782397478818893433e-01
7.717378992564842832e-01,1.805387139320373535e-01
7.742487074354851284e-01,1.783678829669952393e-01
7.767098915701566852e-01,1.782584786415100098e-01
7.791233752598276663e-01,1.741828471422195435e-01
7.814909723790838258e-01,1.724960505962371826e-01
7.838143952674264670e-01,1.779238879680633545e-01
7.860952621688291897e-01,1.671428531408309937e-01
7.883351040021561174e-01,1.720955073833465576e-01
7.905353705333875158e-01,1.734989881515502930e-01
7.926974360119773966e-01,1.661491841077804565e-01
7.948226043262184293e-01,1.668453514575958252e-01
7.969121137260474219e-01,1.747392416000366211e-01
7.989671411561229952e-01,1.681975573301315308e-01
8.009888062371446349e-01,1.716747879981994629e-01
8.029781749291311499e-01,1.667928397655487061e-01
8.049362629066704189e-01,1.675059795379638672e-01
8.068640386728909153e-01,1.669659614562988281e-01
8.087624264360622206e-01,1.665661484003067017e-01
8.106323087702060892e-01,1.619839072227478027e-01
8.124745290788962793e-01,1.649984717369079590e-01
8.142898938794601582e-01,1.650900244712829590e-01
8.160791749230674741e-01,1.609968245029449463e-01
8.178431111646562446e-01,1.654934138059616089e-01
8.195824105952793648e-01,1.555671542882919312e-01
8.212977519482433930e-01,1.566027551889419556e-01
8.229897862893321703e-01,1.542212665081024170e-01
8.246591385004341523e-01,1.532629430294036865e-01
8.263064086650396822e-01,1.605397611856460571e-01
8.279321733632915015e-01,1.499835550785064697e-01
8.295369868835852367e-01,1.533603221178054810e-01
8.311213823570884340e-01,1.498151272535324097e-01
8.326858728209909355e-01,1.567498445510864258e-01
8.342309522157905777e-01,1.534196883440017700e-01
8.357570963214667747e-01,1.473679989576339722e-01
8.372647636369805468e-01,1.529770344495773315e-01
8.387543962071678516e-01,1.504098623991012573e-01
8.402264204007602322e-01,1.487755179405212402e-01
8.416812476429554879e-01,1.442678868770599365e-01
8.431192751056912904e-01,1.432826966047286987e-01
8.445408863585143200e-01,1.487241238355636597e-01
8.459464519827180062e-01,1.490929871797561646e-01
8.473363301512067958e-01,1.414190977811813354e-01
8.487108671763563539e-01,1.468643248081207275e-01
8.500703980279673555e-01,1.389481425285339355e-01
8.514152468232506488e-01,1.463100165128707886e-01
8.527457272906349139e-01,1.448493152856826782e-01
8.540621432090615972e-01,1.374504566192626953e-01
8.553647888242992270e-01,1.416969299316406250e-01
8.566539492437112990e-01,1.406629830598831177e-01
8.579299008107978963e-01,1.438908874988555908e-01
8.591929114607432805e-01,1.352117955684661865e-01
8.604432410581135393e-01,1.388228386640548706e-01
8.616811417177703269e-01,1.385210007429122925e-01
8.629068581099903490e-01,1.376817226409912109e-01
8.641206277507129663e-01,1.347311586141586304e-01
8.653226812777826682e-01,1.364826560020446777e-01
8.665132427139821125e-01,1.324179172515869141e-01
8.676925297176136809e-01,1.320666372776031494e-01
8.688607538213255488e-01,1.379910558462142944e-01
8.700181206598394112e-01,1.319400519132614136e-01
