# kappa, accuracy
0.000000000000000000e+00,5.000000000000000000e-01
2.988230539312072276e-01,5.000000000000000000e-01
3.793585798945813825e-01,5.000000000000000000e-01
4.278628179044373092e-01,5.000000000000000000e-01
4.626818031067957970e-01,5.000000000000000000e-01
4.898623889429554179e-01,5.000000000000000000e-01
5.121603076412207800e-01,5.000000000000000000e-01
5.310654985750121737e-01,5.000000000000000000e-01
5.474753498707429777e-01,5.000000000000000000e-01
5.619724402634741489e-01,5.000000000000000000e-01
5.749564908111068906e-01,5.000000000000000000e-01
5.867136939876900215e-01,5.000000000000000000e-01
5.974560121247255440e-01,5.000000000000000000e-01
6.073448178539491149e-01,5.000000000000000000e-01
6.165058135795322691e-01,5.000000000000000000e-01
6.250388267105699835e-01,5.000000000000000000e-01
6.330244575394684547e-01,5.000000000000000000e-01
6.405287203813752051e-01,5.000000000000000000e-01
6.476063636802134038e-01,5.000000000000000000e-01
6.543032960964169087e-01,5.000000000000000000e-01
6.606583927559394054e-01,5.000000000000000000e-01
6.667048624919847954e-01,5.000000000000000000e-01
6.724712982061038513e-01,5.000000000000000000e-01
6.779824945889041388e-01,5.000000000000000000e-01
6.832600924183400704e-01,5.000000000000000000e-01
6.883230917808923488e-01,5.000000000000000000e-01
6.931882649682737929e-01,5.000000000000000000e-01
6.978704917005820185e-01,5.000000000000000000e-01
7.023830335761692689e-01,5.000000000000000000e-01
7.067377605081743841e-01,5.000000000000000000e-01
7.109453388874595881e-01,5.106666684150695801e-01
7.150153889818380293e-01,5.806111097335815430e-01
7.189566174166229784e-01,6.177222132682800293e-01
7.227769293255718042e-01,6.283888816833496094e-01
7.264835238045980192e-01,6.290000081062316895e-01
7.300829755652931130e-01,6.300555467605590820e-01
7.335813051153176056e-01,6.292777657508850098e-01
7.369840393474079709e-01,6.306111216545104980e-01
7.402962640682345663e-01,6.313333511352539062e-01
7.435226697205239432e-01,6.309444308280944824e-01
7.466675913301901168e-01,6.310555338859558105e-01
7.497350435322521767e-01,6.320000290870666504e-01
7.527287513855908108e-01,6.315000057220458984e-01
7.556521775698726850e-01,6.308888792991638184e-01
7.585085464626771801e-01,6.317777633666992188e-01
7.613008655166617622e-01,6.318888664245605469e-01
7.640319442921338355e-01,6.324444413185119629e-01
7.667044114469946381e-01,6.334444284439086914e-01
7.693207299416027212e-01,6.343333125114440918e-01
7.718832106789946801e-01,6.345555782318115234e-01
7.743940247697850277e-01,6.364444494247436523e-01
7.768552145848638402e-01,6.408333182334899902e-01
7.792687037368839498e-01,6.416666507720947266e-01
7.816363061127504785e-01,6.432222127914428711e-01
7.839597340633737144e-01,6.425555348396301270e-01
7.862406058433076828e-01,6.431111097335815430e-01
7.884804523812428689e-01,6.438888907432556152e-01
7.906807234522973404e-01,6.447222232818603516e-01
7.928427933144335249e-01,6.455000042915344238e-01
7.949679658638773017e-01,6.466110944747924805e-01
7.970574793579702222e-01,6.470555663108825684e-01
7.991125107482910384e-01,6.480555534362792969e-01
8.011341796620133904e-01,6.456666588783264160e-01
8.031235520652204585e-01,6.495000123977661133e-01
8.050816436381851293e-01,6.462777853012084961e-01
8.070094228893722743e-01,6.487222313880920410e-01
8.089078140320646870e-01,6.477777957916259766e-01
8.107776996449986839e-01,6.477222442626953125e-01
8.126199231361854736e-01,6.495555639266967773e-01
8.144352910271329682e-01,6.507222056388854980e-01
8.162245750729530958e-01,6.482222080230712891e-01
8.179885142323038982e-01,6.495000123977661133e-01
8.197278164997523486e-01,6.503333449363708496e-01
8.214431606119270146e-01,6.523888707160949707e-01
8.231351976377534463e-01,6.506111025810241699e-01
8.248045524620952751e-01,6.523888707160949707e-01
8.264518251712613672e-01,6.507777571678161621e-01
8.280775923480669931e-01,6.528888940811157227e-01
8.296824082834430847e-01,6.540555357933044434e-01
8.312668061109645956e-01,6.526666879653930664e-01
8.328312988701080943e-01,6.551666855812072754e-01
8.343763805035461223e-01,6.552222371101379395e-01
8.359025267933263281e-01,6.537777781486511230e-01
8.374101962403781574e-01,6.552222371101379395e-01
8.388998308914128454e-01,6.564444303512573242e-01
8.403718571169490614e-01,6.563333272933959961e-01
8.418266863438884640e-01,6.575000286102294922e-01
8.432647157457944243e-01,6.568889021873474121e-01
8.446863288937654923e-01,6.576111316680908203e-01
8.460918963705773566e-01,6.571666598320007324e-01
8.474817763505507751e-01,6.578888893127441406e-01
8.488563151474158852e-01,6.588888764381408691e-01
8.502158477322686592e-01,6.589444279670715332e-01
8.515606982235596201e-01,6.595555543899536133e-01
8.528911803509047207e-01,6.591110825538635254e-01
8.542075978943821646e-01,6.602222323417663574e-01
8.555102451008506081e-01,6.608333587646484375e-01
8.567994070787184890e-01,6.602777838706970215e-01
8.580753601724880886e-01,6.614444255828857422e-01
8.593383723183052325e-01,6.616111397743225098e-01
8.605887033816598253e-01,6.593888998031616211e-01
8.618266054783002561e-01,6.604444384574890137e-01
8.630523232793551047e-01,6.613888740539550781e-01
8.642660943015834096e-01,6.612777709960937500e-01
8.654681491836164753e-01,6.616666913032531738e-01
8.666587119489952418e-01,6.611111164093017578e-01
8.678380002567508411e-01,6.621666550636291504e-01
8.690062256402333318e-01,6.613333225250244141e-01
8.701635937348402017e-01,6.618888974189758301e-01
8.713103044952607013e-01,6.622222065925598145e-01
8.724465524028084396e-01,6.632778048515319824e-01
8.735725266633810326e-01,6.622222065925598145e-01
8.746884113965492924e-01,6.629999876022338867e-01
8.757943858162510198e-01,6.629999876022338867e-01
8.768906244035293840e-01,6.618888974189758301e-01
8.779772970717366620e-01,6.627222299575805664e-01
8.790545693245901404e-01,6.632778048515319824e-01
8.801226024074519927e-01,6.631110906600952148e-01
8.811815534521747484e-01,6.627222299575805664e-01
8.822315756158422007e-01,6.632778048515319824e-01
8.832728182137089545e-01,6.629444360733032227e-01
8.843054268466276069e-01,6.623333096504211426e-01
8.853295435232367838e-01,6.643888950347900391e-01
8.863453067771664973e-01,6.638333201408386230e-01
8.873528517795004067e-01,6.632778048515319824e-01
8.883523104467262455e-01,6.651666760444641113e-01
8.893438115443879077e-01,6.643888950347900391e-01
8.903274807866446983e-01,6.651111245155334473e-01
8.913034409319287033e-01,6.656110882759094238e-01
8.922718118748815819e-01,6.648889183998107910e-01
8.932327107347469708e-01,6.645555496215820312e-01
8.941862519403765974e-01,6.659444570541381836e-01
8.951325473120074205e-01,6.652777791023254395e-01
8.960717061399543493e-01,6.651666760444641113e-01
8.970038352603592058e-01,6.662777662277221680e-01
8.979290391281239403e-01,6.669444441795349121e-01
8.988474198871559961e-01,6.663333177566528320e-01
8.997590774380416212e-01,6.671666502952575684e-01
9.006641095032603683e-01,6.656666398048400879e-01
9.015626116900467002e-01,6.657222509384155273e-01
9.024546775509999508e-01,6.659444570541381836e-01
