# kappa, training_loss
0.000000000000000000e+00,2.501078248023986816e-01
2.987664037177740206e-01,2.435886114835739136e-01
3.792992361507930843e-01,2.399363815784454346e-01
4.278025184812431769e-01,2.366250604391098022e-01
4.626210142074111409e-01,2.343920022249221802e-01
4.898013025248317831e-01,2.304226011037826538e-01
5.120990212540369457e-01,2.328282296657562256e-01
5.310040685493465640e-01,2.336571961641311646e-01
5.474138116735858262e-01,2.322653234004974365e-01
5.619108176691961498e-01,2.271237224340438843e-01
5.748948005322734867e-01,2.288148999214172363e-01
5.866519482198917501e-01,2.258107066154479980e-01
5.973942200398132396e-01,2.254136353731155396e-01
6.072829865233237978e-01,2.265066504478454590e-01
6.164439485700247134e-01,2.211126983165740967e-01
6.249769324830065642e-01,2.238390594720840454e-01
6.329625377234571193e-01,2.227492928504943848e-01
6.404667779697450491e-01,2.205477505922317505e-01
6.475444011697395474e-01,2.213539481163024902e-01
6.542413155917081724e-01,2.201429754495620728e-01
6.605963960474811048e-01,2.198820710182189941e-01
6.666428511156888836e-01,2.232166379690170288e-01
6.724092734893861723e-01,2.200517803430557251e-01
6.779204576867873255e-01,2.167363613843917847e-01
6.831980443420674343e-01,2.190542221069335938e-01
6.882610334208404401e-01,2.177526801824569702e-01
6.931261971124765831e-01,2.188170999288558960e-01
6.978084150498364835e-01,2.150351256132125854e-01
7.023209487564541220e-01,2.150172144174575806e-01
7.066756680809338498e-01,2.125275284051895142e-01
7.108832393581796527e-01,2.150268256664276123e-01
7.149532828072437951e-01,2.108782678842544556e-01
7.188945050107549140e-01,2.125804573297500610e-01
7.227148110649437296e-01,2.084910422563552856e-01
7.264214000325992515e-01,2.119062989950180054e-01
7.300208465959632242e-01,2.113046795129776001e-01
7.335191712365987105e-01,2.120489180088043213e-01
7.369219008239582536e-01,2.114244997501373291e-01
7.402341211438728807e-01,2.117578834295272827e-01
7.434605226203617745e-01,2.102956175804138184e-01
7.466054402624978659e-01,2.076281458139419556e-01
7.496728886900976274e-01,2.074782252311706543e-01
7.526665929482839745e-01,2.135499715805053711e-01
7.555900157042425569e-01,2.104092389345169067e-01
7.584463813242039443e-01,2.064579576253890991e-01
7.612386972504830984e-01,2.070312350988388062e-01
7.639697730339424231e-01,2.023138552904129028e-01
7.666422373238402921e-01,2.035155445337295532e-01
7.692585530726109289e-01,2.049113810062408447e-01
7.718210311760127507e-01,2.027305960655212402e-01
7.743318427379624058e-01,2.079127728939056396e-01
7.767930301231772416e-01,2.027620673179626465e-01
7.792065169386103163e-01,2.018594741821289062e-01
7.815741170658973003e-01,2.036537975072860718e-01
7.838975428510679411e-01,2.056774795055389404e-01
7.861784125441505511e-01,2.031079828739166260e-01
7.884182570696318670e-01,1.971178501844406128e-01
7.906185261987215274e-01,2.007767707109451294e-01
7.927805941857420935e-01,2.002914249897003174e-01
7.949057649235262701e-01,2.015281021595001221e-01
7.969952766662478094e-01,2.060638368129730225e-01
7.990503063625254976e-01,1.979192048311233521e-01
8.010719736367633015e-01,2.009000927209854126e-01
8.030613444524505873e-01,2.028923779726028442e-01
8.050194344874281871e-01,1.999511867761611938e-01
8.069472122478785758e-01,1.988008618354797363e-01
8.088456019449397072e-01,2.003492414951324463e-01
8.107154861553313996e-01,2.012412846088409424e-01
8.125577082851666022e-01,1.977004110813140869e-01
8.143730748541648801e-01,1.971767693758010864e-01
8.161623576157520654e-01,1.911846697330474854e-01
8.179262955269949176e-01,1.990024149417877197e-01
8.196655965809568345e-01,1.953923553228378296e-01
8.213809395128457425e-01,1.988914012908935547e-01
8.230729753902431556e-01,1.896323710680007935e-01
8.247423290967399456e-01,1.975230574607849121e-01
8.263896007174394986e-01,2.001932114362716675e-01
8.280153668340137774e-01,1.938342154026031494e-01
8.296201817363091369e-01,1.993004530668258667e-01
8.312045785568707990e-01,1.914645880460739136e-01
8.327690703341972256e-01,1.945719420909881592e-01
8.343141510100305913e-01,1.933906674385070801e-01
8.358402963655340301e-01,1.962438970804214478e-01
8.373479649007946612e-01,1.893449127674102783e-01
8.388375986617219171e-01,1.933664977550506592e-01
8.403096240180694121e-01,1.878434270620346069e-01
8.417644523960107206e-01,1.942222118377685547e-01
8.432024809684133260e-01,1.950240135192871094e-01
8.446240933057118649e-01,1.930521577596664429e-01
8.460296599900483105e-01,1.895898580551147461e-01
8.474195391951373502e-01,1.927227973937988281e-01
8.487940772341298068e-01,1.855382621288299561e-01
8.501536090775675403e-01,1.862377971410751343e-01
8.514984588433708312e-01,1.913743764162063599e-01
8.528289402606477054e-01,1.844427883625030518e-01
8.541453571089901997e-01,1.849714815616607666e-01
8.554480036347904548e-01,1.899280101060867310e-01
8.567371649460101546e-01,1.885492801666259766e-01
8.580131173867227012e-01,1.843695789575576782e-01
8.592761288926626939e-01,1.900398433208465576e-01
8.605264593289247976e-01,1.818371415138244629e-01
8.617643608108784825e-01,1.854659765958786011e-01
8.629900780092871759e-01,1.821213811635971069e-01
8.642038484405598631e-01,1.853086650371551514e-01
8.654059027429911177e-01,1.801357716321945190e-01
8.665964649397974728e-01,1.865620017051696777e-01
8.677757526896984208e-01,1.885516047477722168e-01
8.689439775257437049e-01,1.837392300367355347e-01
8.701013450830417106e-01,1.830493509769439697e-01
8.712480553160031338e-01,1.849394291639328003e-01
8.723843027056733535e-01,1.792860776185989380e-01
8.735102764576910817e-01,1.858858019113540649e-01
8.746261606913778852e-01,1.819169819355010986e-01
8.757321346204306467e-01,1.826276630163192749e-01
8.768283727256604987e-01,1.835379004478454590e-01
8.779150449201952311e-01,1.870147436857223511e-01
8.789923167075360810e-01,1.840585172176361084e-01
8.800603493328358340e-01,1.787770241498947144e-01
8.811192999277452920e-01,1.827653199434280396e-01
8.821693216491530709e-01,1.772698312997817993e-01
8.832105638121249269e-01,1.775020658969879150e-01
8.842431720173311582e-01,1.838020831346511841e-01
8.852672882732338655e-01,1.777382344007492065e-01
8.862830511132923084e-01,1.798314452171325684e-01
8.872905957084249451e-01,1.796657145023345947e-01
8.882900539749594149e-01,1.772061437368392944e-01
8.892815546782849578e-01,1.763053238391876221e-01
8.902652235324108876e-01,1.785829961299896240e-01
8.912411832956235180e-01,1.783010810613632202e-01
8.922095538624241762e-01,1.781368702650070190e-01
8.931704523519200523e-01,1.799595504999160767e-01
8.941239931928303131e-01,1.772081404924392700e-01
8.950702882052633536e-01,1.773702055215835571e-01
8.960094466794102930e-01,1.728226244449615479e-01
8.969415754512914951e-01,1.760215759277343750e-01
8.978667789756922257e-01,1.765997856855392456e-01
8.987851593964059083e-01,1.759963929653167725e-01
8.996968166139087675e-01,1.778848469257354736e-01
