# kappa, accuracy
0.000000000000000000e+00,6.182500123977661133e-01
3.459756060368686659e-01,6.818333268165588379e-01
4.392657312296633365e-01,6.999444365501403809e-01
4.954541681337610859e-01,7.027500271797180176e-01
5.357900183123928128e-01,7.133055329322814941e-01
5.672775227027775369e-01,7.170833349227905273e-01
5.931088369643734426e-01,7.234722375869750977e-01
6.150098975504022514e-01,7.273333072662353516e-01
6.340202479365483201e-01,7.343055605888366699e-01
6.508147600791323040e-01,7.388888597488403320e-01
6.658564831592355127e-01,7.391666769981384277e-01
6.794769533483939750e-01,7.444722056388854980e-01
6.919217170091189750e-01,7.496666908264160156e-01
7.033777159474515761e-01,7.515277862548828125e-01
7.139905703524318525e-01,7.521944642066955566e-01
7.238759258051167267e-01,7.565833330154418945e-01
7.331271543621306064e-01,7.542777657508850098e-01
7.418207310005854316e-01,7.588055729866027832e-01
7.500200797494511740e-01,7.641944289207458496e-01
7.577783841666003717e-01,7.669444680213928223e-01
7.651406797757585032e-01,7.697777748107910156e-01
7.721454379423962067e-01,7.710278034210205078e-01
7.788257826632014602e-01,7.732222080230712891e-01
7.852104378555005981e-01,7.753888964653015137e-01
7.913244737466579304e-01,7.758610844612121582e-01
7.971899014177670217e-01,7.782499790191650391e-01
8.028261511266735484e-01,7.799166440963745117e-01
8.082504606500748867e-01,7.807777523994445801e-01
8.134781932227079793e-01,7.845555543899536133e-01
8.185230998553144621e-01,7.864722013473510742e-01
8.233975373143684884e-01,7.863055467605590820e-01
8.281126504633827823e-01,7.881110906600952148e-01
8.326785257369739846e-01,7.875277996063232422e-01
8.371043210639093068e-01,7.907500267028808594e-01
8.413983764470724935e-01,7.901111245155334473e-01
8.455683085564382750e-01,7.912777662277221680e-01
8.496210920308557846e-01,7.914999723434448242e-01
8.535631296685611824e-01,7.940555810928344727e-01
8.574003132802944238e-01,7.938888669013977051e-01
8.611380766570495560e-01,7.944166660308837891e-01
8.647814418476893472e-01,7.966389060020446777e-01
8.683350597355000700e-01,7.963610887527465820e-01
8.718032457362491217e-01,7.965555787086486816e-01
8.751900113050995467e-01,7.978055477142333984e-01
8.784990918293347217e-01,7.979722023010253906e-01
8.817339713932590417e-01,7.990833520889282227e-01
8.848979048269561831e-01,8.006944656372070312e-01
8.879939373887230092e-01,7.997221946716308594e-01
8.910249223795377871e-01,8.005833625793457031e-01
8.939935369449333313e-01,8.008333444595336914e-01
8.969022962835986323e-01,8.014166951179504395e-01
8.997535664516780329e-01,8.009722232818603516e-01
9.025495759260987461e-01,8.006666898727416992e-01
9.052924260685119018e-01,8.008888959884643555e-01
9.079841006129428793e-01,8.014444708824157715e-01
9.106264742844543125e-01,8.002499938011169434e-01
9.132213206426184060e-01,8.041944503784179688e-01
9.157703192319895935e-01,8.037777543067932129e-01
9.182750621117778955e-01,8.041666746139526367e-01
9.207370598282978991e-01,8.040277957916259766e-01
9.231577468862998126e-01,8.037777543067932129e-01
