# kappa, accuracy
0.000000000000000000e+00,6.298055648803710938e-01
3.464647441530644967e-01,6.809166669845581055e-01
4.397781148456567091e-01,7.015277743339538574e-01
4.959747991330392125e-01,7.063611149787902832e-01
5.363148733743087204e-01,7.174444198608398438e-01
5.678049452637115024e-01,7.284166812896728516e-01
5.936379851922790607e-01,7.333333492279052734e-01
6.155402853274754005e-01,7.396944165229797363e-01
6.345515691933012459e-01,7.444722056388854980e-01
6.513468096504436700e-01,7.506666779518127441e-01
6.663891168213907923e-01,7.546389102935791016e-01
6.800100658578011048e-01,7.593888640403747559e-01
6.924552292160931488e-01,7.614722251892089844e-01
7.039115668284814387e-01,7.667222023010253906e-01
7.145247118679262099e-01,7.695555686950683594e-01
7.244103194599069706e-01,7.728333473205566406e-01
7.336617688341552368e-01,7.763888835906982422e-01
7.423555404629490484e-01,7.776666879653930664e-01
7.505550626560089089e-01,7.821388840675354004e-01
7.583135223554561266e-01,7.847499847412109375e-01
7.656759577957751306e-01,7.855277657508850098e-01
7.726808425393030255e-01,7.879444360733032227e-01
7.793613023819669916e-01,7.906944155693054199e-01
7.857460627287734534e-01,7.904722094535827637e-01
7.918601950478464380e-01,7.923611402511596680e-01
7.977257114633077295e-01,7.936944365501403809e-01
8.033620431161776487e-01,7.964166402816772461e-01
8.087864285359706029e-01,7.973333597183227539e-01
8.140142316030763991e-01,7.976388931274414062e-01
8.190592038851394197e-01,7.979999780654907227e-01
8.239337026315295409e-01,8.011388778686523438e-01
8.286488731265452268e-01,8.017500042915344238e-01
8.332148021731546894e-01,8.021666407585144043e-01
8.376406480239628749e-01,8.021110892295837402e-01
8.419347509677035379e-01,8.038055300712585449e-01
8.461047279276260324e-01,8.054721951484680176e-01
8.501575537677903416e-01,8.058611154556274414e-01
8.540996314873616768e-01,8.041666746139526367e-01
8.579368530769146961e-01,8.057777881622314453e-01
8.616746524888792003e-01,8.066944479942321777e-01
8.653180519174519247e-01,8.069999814033508301e-01
8.688717023771074244e-01,8.067222237586975098e-01
8.723399194023373493e-01,8.071666955947875977e-01
8.757267145560108101e-01,8.083888888359069824e-01
8.790358233233470653e-01,8.093333244323730469e-01
8.822707298779010054e-01,8.095277547836303711e-01
8.854346891312622203e-01,8.097222447395324707e-01
8.885307464163121338e-01,8.096389174461364746e-01
8.915617551024099807e-01,8.096110820770263672e-01
8.945303923978998872e-01,8.095555305480957031e-01
8.974391735592668340e-01,8.098055720329284668e-01
9.002904646959269952e-01,8.081389069557189941e-01
9.030864943339892426e-01,8.106111288070678711e-01
9.058293638805815506e-01,8.105000257492065430e-01
9.085210571118440548e-01,8.117222189903259277e-01
9.111634487918965908e-01,8.098055720329284668e-01
9.137583125165835707e-01,8.111110925674438477e-01
9.163073278641908903e-01,8.111666440963745117e-01
9.188120869253377787e-01,8.116944432258605957e-01
9.212741002756218434e-01,8.118610978126525879e-01
9.236948024471276497e-01,8.129722476005554199e-01
9.260755569484221406e-01,8.124444484710693359e-01
9.284176608770249306e-01,8.133888840675354004e-01
9.307223491634193380e-01,8.130000233650207520e-01
9.329907984813685662e-01,8.131111264228820801e-01
9.352241308555380161e-01,8.120277523994445801e-01
9.374234169941093597e-01,8.139444589614868164e-01
9.395896793711697725e-01,8.129722476005554199e-01
9.417238950810847831e-01,8.116666674613952637e-01
9.438269984848025596e-01,8.139444589614868164e-01
9.458998836660301723e-01,8.135833144187927246e-01
9.479434067134385744e-01,8.132777810096740723e-01
9.499583878434799677e-01,8.140833377838134766e-01
9.519456133769897965e-01,8.148333430290222168e-01
9.539058375814963853e-01,8.143333196640014648e-01
9.558397843900372504e-01,8.131389021873474121e-01
9.577481490062876857e-01,8.127499818801879883e-01
9.596315994049063880e-01,8.156111240386962891e-01
9.614907777351987539e-01,8.142777681350708008e-01
9.633263016354829400e-01,8.140555620193481445e-01
9.651387654648864167e-01,8.136944174766540527e-01
9.669287414587222074e-01,8.137500286102294922e-01
9.686967808130656499e-01,8.158055543899536133e-01
9.704434147036709035e-01,8.169444203376770020e-01
9.721691552439452044e-01,8.131944537162780762e-01
9.738744963862993043e-01,8.131389021873474121e-01
9.755599147708458041e-01,8.160555362701416016e-01
9.772258705250922439e-01,8.150555491447448730e-01
9.788728080179870394e-01,8.150555491447448730e-01
9.805011565714085719e-01,8.145277500152587891e-01
9.821113311319478179e-01,8.151944279670715332e-01
9.837037329056146362e-01,8.152499794960021973e-01
9.852787499578965491e-01,8.145833611488342285e-01
9.868367577814144420e-01,8.151111006736755371e-01
9.883781198332524109e-01,8.155277967453002930e-01
9.899031880438871056e-01,8.149166703224182129e-01
9.914123032994964779e-01,8.138055801391601562e-01
9.929057958993033894e-01,8.143888711929321289e-01
9.943839859894887390e-01,8.133888840675354004e-01
9.958471839750987487e-01,8.157500028610229492e-01
9.972956909112742352e-01,8.161110877990722656e-01
9.987297988750323263e-01,8.150555491447448730e-01
1.000149791318752701e+00,8.154722452163696289e-01
1.001555943406435389e+00,8.147777915000915527e-01
1.002948522333729109e+00,8.158888816833496094e-01
1.004327787632661506e+00,8.148055672645568848e-01
1.005693991461939829e+00,8.158055543899536133e-01
1.007047378883634936e+00,8.138611316680908203e-01
1.008388188127007812e+00,8.140833377838134766e-01
1.009716650840186913e+00,8.157777786254882812e-01
1.011032992330366920e+00,8.171666860580444336e-01
1.012337431793144615e+00,8.156944513320922852e-01
1.013630182531580770e+00,8.157222270965576172e-01
1.014911452165535355e+00,8.153889179229736328e-01
1.016181442831786574e+00,8.158333301544189453e-01
1.017440351375418883e+00,8.163333535194396973e-01
1.018688369532934956e+00,8.162222504615783691e-01
1.019925684107510611e+00,8.155555725097656250e-01
1.021152477136803016e+00,8.155000209808349609e-01
1.022368926053680349e+00,8.170278072357177734e-01
1.023575203840233927e+00,8.144999742507934570e-01
1.024771479175404121e+00,8.147222399711608887e-01
1.025957916576535789e+00,8.155555725097656250e-01
1.027134676535159663e+00,8.147222399711608887e-01
1.028301915647283460e+00,8.159166574478149414e-01
1.029459786738450733e+00,8.142222166061401367e-01
1.030608438983824593e+00,8.154722452163696289e-01
1.031748018023525448e+00,8.155000209808349609e-01
1.032878666073451468e+00,8.153889179229736328e-01
1.034000522031790048e+00,8.149444460868835449e-01
1.035113721581417012e+00,8.151944279670715332e-01
1.036218397288380055e+00,8.137500286102294922e-01
1.037314678696635850e+00,8.157777786254882812e-01
