# kappa, training_loss
0.000000000000000000e+00,2.511371672153472900e-01
3.464126706985778958e-01,2.068704217672348022e-01
4.397235706090565910e-01,1.910170614719390869e-01
4.959193783612114714e-01,1.886267811059951782e-01
5.362590036847387776e-01,1.813582628965377808e-01
5.677488027155893624e-01,1.749661564826965332e-01
5.935816592529552516e-01,1.766972541809082031e-01
6.154838276591869661e-01,1.723312139511108398e-01
6.344950123232326877e-01,1.680389046669006348e-01
6.512901753820872219e-01,1.656891554594039917e-01
6.663324204817123730e-01,1.640317887067794800e-01
6.799533186312026745e-01,1.626885533332824707e-01
6.923984395138979009e-01,1.587991118431091309e-01
7.038547411357000128e-01,1.544804275035858154e-01
7.144678552897427704e-01,1.510447561740875244e-01
7.243534360872055933e-01,1.529102772474288940e-01
7.336048619955253258e-01,1.508326083421707153e-01
7.422986129030039182e-01,1.468080878257751465e-01
7.504981166644445478e-01,1.451189517974853516e-01
7.582565598623230985e-01,1.409693956375122070e-01
7.656189804430515444e-01,1.408890932798385620e-01
7.726238517355057400e-01,1.366268098354339600e-01
7.793042993444087019e-01,1.369668543338775635e-01
7.856890485166714289e-01,1.327660977840423584e-01
7.918031705885633098e-01,1.323531717061996460e-01
7.976686775733641266e-01,1.308914721012115479e-01
8.033050005182401643e-01,1.292353272438049316e-01
8.087293778727044913e-01,1.288210004568099976e-01
8.139571734485339105e-01,1.251738369464874268e-01
8.190021387541916997e-01,1.246564164757728577e-01
8.238766309877308958e-01,1.247429549694061279e-01
8.285917953887336207e-01,1.209286525845527649e-01
8.331577187210240654e-01,1.147086620330810547e-01
8.375835592027929266e-01,1.140111610293388367e-01
8.418776570923973690e-01,1.130662932991981506e-01
8.460476292861720538e-01,1.129679679870605469e-01
8.501004506242435532e-01,1.143537908792495728e-01
8.540425240844251586e-01,1.134787499904632568e-01
8.578797416381803709e-01,1.067121177911758423e-01
8.616175372207840466e-01,1.114270389080047607e-01
8.652609330109881647e-01,1.065155193209648132e-01
8.688145800093262094e-01,1.057835593819618225e-01
8.722827937376734786e-01,1.031854301691055298e-01
8.756695857474529054e-01,9.910570085048675537e-02
8.789786915134768508e-01,1.026499941945075989e-01
8.822135951998153480e-01,9.943631291389465332e-02
8.853775517093969150e-01,9.736446291208267212e-02
8.884736063671763162e-01,9.576883912086486816e-02
8.915046125352468209e-01,9.965896606445312500e-02
8.944732474152774504e-01,9.670579433441162109e-02
8.973820262576113205e-01,9.333870559930801392e-02
9.002333151660036892e-01,9.206718206405639648e-02
9.030293426613367203e-01,8.807402849197387695e-02
9.057722101459060315e-01,8.870837837457656860e-02
9.084639013913758943e-01,8.972775191068649292e-02
9.111062911577159085e-01,8.826497197151184082e-02
9.137011530369160139e-01,9.004870802164077759e-02
9.162501666036773074e-01,8.317463845014572144e-02
9.187549239452812433e-01,8.324181288480758667e-02
9.212169356342139181e-01,8.471906930208206177e-02
9.236376361996547768e-01,8.142897486686706543e-02
9.260183891474562667e-01,8.229094743728637695e-02
9.283604915725984785e-01,8.080512285232543945e-02
9.306651784031857444e-01,7.894285768270492554e-02
9.329336263107512739e-01,7.624322175979614258e-02
9.351669573178669204e-01,7.706864923238754272e-02
9.373662421307479287e-01,7.633573561906814575e-02
9.395325032216321759e-01,7.794662564992904663e-02
9.416667176831441388e-01,7.485636323690414429e-02
9.437698198745924083e-01,7.579280436038970947e-02
9.458427038781377361e-01,6.974640488624572754e-02
9.478862257809914649e-01,7.134012877941131592e-02
9.499012057982272328e-01,6.924474984407424927e-02
9.518884302493778593e-01,7.040818780660629272e-02
9.538486534007388773e-01,6.828413158655166626e-02
9.557825991841806257e-01,6.567687541246414185e-02
9.576909628022731713e-01,6.670771539211273193e-02
9.595744122286266053e-01,6.860426068305969238e-02
9.614335896115516755e-01,6.588041037321090698e-02
9.632691125884224048e-01,6.497426331043243408e-02
9.650815755174689814e-01,6.250678747892379761e-02
9.668715506331516663e-01,6.173642352223396301e-02
9.686395891307344463e-01,6.330583244562149048e-02
9.703862221851990988e-01,6.016001477837562561e-02
9.721119619092172259e-01,6.046788394451141357e-02
9.738173022544988067e-01,5.948802828788757324e-02
9.755027198604877547e-01,6.112483143806457520e-02
9.771686748540541201e-01,5.592925101518630981e-02
9.788156116035375831e-01,5.785620212554931641e-02
9.804439594302348793e-01,5.610992386937141418e-02
9.820541332801814294e-01,5.394785851240158081e-02
9.836465343588558508e-01,5.414254963397979736e-02
9.852215507312378495e-01,5.436043813824653625e-02
9.867795578894613673e-01,5.442872643470764160e-02
9.883209192901454276e-01,5.191983655095100403e-02
9.898459868633201486e-01,5.329681560397148132e-02
9.913551014947362683e-01,5.241006612777709961e-02
9.928485934832065318e-01,5.001428350806236267e-02
9.943267829745189301e-01,4.827475547790527344e-02
9.957899803733425426e-01,4.882028326392173767e-02
9.972384867344552539e-01,5.002911016345024109e-02
9.986725941345270252e-01,4.762934520840644836e-02
1.000092586025602914e+00,4.699791967868804932e-02
1.001498737571361541e+00,4.824456200003623962e-02
1.002891315967142871e+00,4.610376060009002686e-02
1.004270580744677455e+00,4.864446073770523071e-02
1.005636784062386324e+00,4.376770555973052979e-02
1.006990170982065447e+00,4.507248103618621826e-02
1.008330979732710020e+00,4.705128818750381470e-02
1.009659441962193593e+00,4.361276701092720032e-02
1.010975782977464599e+00,4.112436622381210327e-02
1.012280221973882233e+00,4.278739914298057556e-02
1.013572972254279003e+00,4.317570105195045471e-02
1.014854241438294169e+00,4.348149150609970093e-02
1.016124231662492328e+00,4.077240824699401855e-02
1.017383139771753209e+00,4.129917174577713013e-02
1.018631157502380313e+00,3.891215845942497253e-02
1.019868471657358278e+00,3.817327693104743958e-02
1.021095264274158421e+00,3.800115734338760376e-02
1.022311712785470617e+00,3.946857899427413940e-02
1.023517990173212988e+00,3.740742057561874390e-02
1.024714265116158485e+00,3.670034557580947876e-02
1.025900702131489650e+00,3.625061735510826111e-02
1.027077461710581563e+00,3.581037372350692749e-02
1.028244700449289617e+00,3.315112739801406860e-02
1.029402571173011482e+00,3.497139737010002136e-02
1.030551223056767496e+00,3.419214487075805664e-02
1.031690801740540842e+00,3.576390445232391357e-02
1.032821449440096684e+00,3.512622788548469543e-02
1.033943305053492523e+00,3.438676893711090088e-02
1.035056504263479837e+00,3.217939287424087524e-02
1.036161179635984420e+00,3.424764052033424377e-02
1.037257460714845481e+00,3.245363757014274597e-02
1.038345474112982059e+00,3.188135102391242981e-02
1.039425343600147267e+00,3.377544134855270386e-02
1.040497190187423149e+00,3.305638954043388367e-02
1.041561132208599361e+00,3.013984486460685730e-02
1.042617285398572458e+00,3.067118115723133087e-02
1.043665762968898569e+00,3.026401437819004059e-02
1.044706675680616925e+00,2.837985754013061523e-02
1.045740131914469240e+00,2.959206700325012207e-02
1.046766237738616878e+00,2.963979542255401611e-02
1.047785096973972152e+00,2.788760513067245483e-02
1.048796811257234118e+00,2.718994952738285065e-02
1.049801480101733242e+00,2.889551036059856415e-02
1.050799200956169299e+00,2.572615817189216614e-02
1.051790069261333560e+00,2.743196487426757812e-02
1.052774178504896740e+00,2.711860649287700653e-02
1.053751620274339107e+00,2.619362063705921173e-02
1.054722484308101560e+00,2.595650963485240936e-02
1.055686858545025864e+00,2.519357390701770782e-02
1.056644829172153743e+00,2.663408406078815460e-02
1.057596480670949912e+00,2.496394515037536621e-02
1.058541895862009419e+00,2.530315518379211426e-02
1.059481155948311049e+00,2.456544898450374603e-02
1.060414340557070512e+00,2.450357563793659210e-02
1.061341527780250038e+00,2.398946695029735565e-02
1.062262794213772787e+00,2.340542711317539215e-02
1.063178214995494475e+00,2.213258482515811920e-02
1.064087863841978621e+00,2.267457172274589539e-02
1.064991813084116723e+00,2.340849116444587708e-02
1.065890133701642428e+00,2.276374399662017822e-02
1.066782895356576555e+00,2.326765097677707672e-02
1.067670166425643830e+00,2.081531099975109100e-02
1.068552014031698194e+00,2.300495095551013947e-02
1.069428504074194430e+00,2.145079523324966431e-02
1.070299701258739411e+00,2.082870714366436005e-02
1.071165669125756503e+00,2.031270600855350494e-02
1.072026470078294880e+00,1.934488862752914429e-02
1.072882165409013488e+00,2.135624922811985016e-02
1.073732815326369439e+00,2.087200433015823364e-02
1.074578478980041218e+00,1.898424699902534485e-02
1.075419214485607400e+00,1.957130804657936096e-02
1.076255078948512800e+00,1.949862204492092133e-02
1.077086128487344308e+00,1.918968185782432556e-02
1.077912418256439020e+00,2.087437175214290619e-02
1.078734002467850006e+00,2.021277509629726410e-02
1.079550934412688346e+00,1.914021372795104980e-02
1.080363266481866535e+00,1.808942854404449463e-02
1.081171050186259475e+00,1.922363229095935822e-02
1.081974336176304563e+00,1.703109964728355408e-02
1.082773174261059346e+00,1.889747194945812225e-02
1.083567613426734910e+00,1.668751426041126251e-02
1.084357701854720357e+00,1.586186327040195465e-02
1.085143486939118551e+00,1.709386892616748810e-02
1.085925015303804253e+00,1.652351580560207367e-02
1.086702332819024841e+00,1.600126363337039948e-02
1.087475484617555610e+00,1.672521233558654785e-02
1.088244515110424082e+00,1.716702058911323547e-02
1.089009468002217540e+00,1.554610952734947205e-02
1.089770386305987104e+00,1.584026403725147247e-02
1.090527312357761680e+00,1.617716066539287567e-02
1.091280287830680429e+00,1.589608751237392426e-02
1.092029353748761311e+00,1.593893766403198242e-02
1.092774550500313469e+00,1.581858843564987183e-02
1.093515917851002550e+00,1.430152449756860733e-02
1.094253494956585193e+00,1.459343638271093369e-02
1.094987320375318651e+00,1.466199848800897598e-02
1.095717432080054454e+00,1.465201657265424728e-02
1.096443867470030531e+00,1.542164664715528488e-02
1.097166663382366902e+00,1.366786845028400421e-02
1.097885856103272939e+00,1.467042416334152222e-02
1.098601481378979949e+00,1.435998175293207169e-02
1.099313574426401319e+00,1.355027128010988235e-02
1.100022169943531969e+00,1.310257241129875183e-02
1.100727302119593576e+00,1.299520023167133331e-02
1.101429004644933540e+00,1.408647932112216949e-02
1.102127310720682596e+00,1.363183930516242981e-02
1.102822253068181935e+00,1.321022771298885345e-02
1.103513863938184070e+00,1.203774567693471909e-02
1.104202175119832097e+00,1.287608034908771515e-02
1.104887217949428235e+00,1.209111511707305908e-02
1.105569023318994537e+00,1.203005481511354446e-02
