# kappa, training_loss
0.000000000000000000e+00,2.489960640668869019e-01
5.207085849244976750e-01,2.497589439153671265e-01
6.611224726639570726e-01,2.517437636852264404e-01
7.456938790675555762e-01,2.486070245504379272e-01
8.064050664595241447e-01,2.524700164794921875e-01
8.537982905491161567e-01,2.473091930150985718e-01
8.926781632910969488e-01,2.518178820610046387e-01
9.256424512376942859e-01,2.508109807968139648e-01
9.542558097327752398e-01,2.499813437461853027e-01
9.795340147230707784e-01,2.496627271175384521e-01
1.002174020105279340e+00,2.502462267875671387e-01
1.022674834618822359e+00,2.509065866470336914e-01
1.041406040409875500e+00,2.516069114208221436e-01
1.058649011574978482e+00,2.480451613664627075e-01
1.074622927365203928e+00,2.492657601833343506e-01
1.089501851008898070e+00,2.520701885223388672e-01
1.103426320917348047e+00,2.513168156147003174e-01
1.116511442988760594e+00,2.481341212987899780e-01
1.128852679578065565e+00,2.497810423374176025e-01
1.140530079662546603e+00,2.493699193000793457e-01
1.151611428256553715e+00,2.492136359214782715e-01
1.162154630370305641e+00,2.480186223983764648e-01
1.172209542451820630e+00,2.493101507425308228e-01
1.181819398193116877e+00,2.485139220952987671e-01
1.191021931953355484e+00,2.493624836206436157e-01
1.199850273632577791e+00,2.510768175125122070e-01
1.208333668616751400e+00,2.490240037441253662e-01
1.216498062288664750e+00,2.503925263881683350e-01
1.224366578572347208e+00,2.489480823278427124e-01
1.231959914759570562e+00,2.506583929061889648e-01
1.239296669600925771e+00,2.486459761857986450e-01
1.246393617755942484e+00,2.497624158859252930e-01
1.253265940793852229e+00,2.492847889661788940e-01
1.259927422746663694e+00,2.495788037776947021e-01
1.266390616548107806e+00,2.499688267707824707e-01
1.272666986409845435e+00,2.493765652179718018e-01
1.278767030192505594e+00,2.504393756389617920e-01
1.284700385052652161e+00,2.500247061252593994e-01
1.290475919035611652e+00,2.482866346836090088e-01
1.296101810799678233e+00,2.488162815570831299e-01
1.301585619270694494e+00,2.491773366928100586e-01
1.306934344715702467e+00,2.491774410009384155e-01
1.312154482473751438e+00,2.483178675174713135e-01
1.317252070378418960e+00,2.498095333576202393e-01
1.322232730740451112e+00,2.504676580429077148e-01
1.327101707622572624e+00,2.492332607507705688e-01
1.331863900026103442e+00,2.478760331869125366e-01
1.336523891515911888e+00,2.463614344596862793e-01
1.341085976732776963e+00,2.493142485618591309e-01
1.345554185177530560e+00,2.487957328557968140e-01
1.349932302597092848e+00,2.487533241510391235e-01
1.354223890256824214e+00,2.507323026657104492e-01
