# Iterations, accuracy
0.000000000000000000e+00,7.892400026321411133e-01
1.025641025641025590e+04,8.361099958419799805e-01
2.051282051282051179e+04,8.551899790763854980e-01
3.076923076923076587e+04,8.683099746704101562e-01
4.102564102564102359e+04,8.774200081825256348e-01
5.128205128205128131e+04,8.853099942207336426e-01
6.153846153846153175e+04,8.905500173568725586e-01
7.179487179487179674e+04,8.947799801826477051e-01
8.205128205128204718e+04,8.979600071907043457e-01
9.230769230769229762e+04,8.998500108718872070e-01
1.025641025641025626e+05,9.019799828529357910e-01
1.128205128205128131e+05,9.032499790191650391e-01
1.230769230769230635e+05,9.045299887657165527e-01
1.333333333333333139e+05,9.053300023078918457e-01
1.435897435897435935e+05,9.062399864196777344e-01
1.538461538461538439e+05,9.067900180816650391e-01
1.641025641025640944e+05,9.074000120162963867e-01
1.743589743589743448e+05,9.076700210571289062e-01
1.846153846153845952e+05,9.075599908828735352e-01
1.948717948717948748e+05,9.077100157737731934e-01
2.051282051282051252e+05,9.077500104904174805e-01
2.153846153846153757e+05,9.076799750328063965e-01
2.256410256410256261e+05,9.080100059509277344e-01
2.358974358974358765e+05,9.080799818038940430e-01
2.461538461538461270e+05,9.081699848175048828e-01
2.564102564102564065e+05,9.081299901008605957e-01
2.666666666666666279e+05,9.081500172615051270e-01
2.769230769230769365e+05,9.083499908447265625e-01
2.871794871794871869e+05,9.081400036811828613e-01
2.974358974358974374e+05,9.080700278282165527e-01
3.076923076923076878e+05,9.079300165176391602e-01
3.179487179487179383e+05,9.078900218009948730e-01
3.282051282051281887e+05,9.078500270843505859e-01
3.384615384615384392e+05,9.078199863433837891e-01
3.487179487179486896e+05,9.078400135040283203e-01
3.589743589743589400e+05,9.078800082206726074e-01
3.692307692307691905e+05,9.078199863433837891e-01
3.794871794871794409e+05,9.077100157737731934e-01
3.897435897435897496e+05,9.077100157737731934e-01
4.000000000000000000e+05,9.074500203132629395e-01
