# kappa, accuracy
0.000000000000000000e+00,4.992200136184692383e-01
5.207030681941035022e-01,4.993099868297576904e-01
6.611166932441352451e-01,4.994400143623352051e-01
7.456880064356187221e-01,4.996500015258789062e-01
8.063991460848500825e-01,4.999299943447113037e-01
8.537923411543645313e-01,5.001800060272216797e-01
8.926721943910547186e-01,5.005900263786315918e-01
9.256364683268133442e-01,5.008900165557861328e-01
9.542498162705238540e-01,5.010600090026855469e-01
9.795280130284327313e-01,5.015199780464172363e-01
1.002168011808431070e+00,5.017499923706054688e-01
1.022668820909351517e+00,5.020999908447265625e-01
1.041400022182431329e+00,5.022100210189819336e-01
1.058642989519327671e+00,5.024099946022033691e-01
1.074616902024355003e+00,5.030199885368347168e-01
1.089495822817976523e+00,5.031800270080566406e-01
1.103420290230400225e+00,5.036000013351440430e-01
1.116505410097719642e+00,5.038400292396545410e-01
1.128846644726477777e+00,5.042300224304199219e-01
1.140524043055704873e+00,5.046499967575073242e-01
1.151605390069110113e+00,5.049800276756286621e-01
1.162148590752080324e+00,5.052700042724609375e-01
1.172203501532296244e+00,5.055699944496154785e-01
1.181813356084959965e+00,5.060399770736694336e-01
1.191015888755207808e+00,5.066699981689453125e-01
1.199844229431291209e+00,5.070899724960327148e-01
1.208327623489194647e+00,5.074899792671203613e-01
1.216492016303197365e+00,5.081800222396850586e-01
1.224360531790030571e+00,5.084199905395507812e-01
1.231953867235170863e+00,5.087599754333496094e-01
1.239290621383750679e+00,5.091400146484375000e-01
1.246387568890543918e+00,5.097100138664245605e-01
1.253259891320617436e+00,5.099400281906127930e-01
1.259921372702320408e+00,5.104299783706665039e-01
1.266384565966151898e+00,5.107100009918212891e-01
1.272660935320909958e+00,5.108799934387207031e-01
1.278760978624678302e+00,5.110700130462646484e-01
1.284694333031749069e+00,5.117800235748291016e-01
1.290469866585416847e+00,5.127099752426147461e-01
1.296095757942149929e+00,5.131700038909912109e-01
1.301579566026148438e+00,5.135400295257568359e-01
1.306928291102972040e+00,5.140600204467773438e-01
1.312148428510327314e+00,5.145000219345092773e-01
1.317246016080574567e+00,5.152999758720397949e-01
1.322226676123353206e+00,5.157899856567382812e-01
1.327095652700378547e+00,5.163300037384033203e-01
1.331857844812049496e+00,5.171300172805786133e-01
1.336517836022391492e+00,5.174999833106994629e-01
1.341079920971410155e+00,5.179499983787536621e-01
1.345548129159227724e+00,5.186100006103515625e-01
1.349926246332110447e+00,5.194799900054931641e-01
1.354217833754817413e+00,5.203599929809570312e-01
1.358426245615103944e+00,5.206699967384338379e-01
1.362554644773490420e+00,5.213999748229980469e-01
1.366606017043568766e+00,5.219200253486633301e-01
1.370583184164357204e+00,5.226299762725830078e-01
1.374488815605878100e+00,5.234400033950805664e-01
1.378325439331671065e+00,5.240499973297119141e-01
1.382095451626912386e+00,5.247099995613098145e-01
1.385801126087828017e+00,5.251100063323974609e-01
1.389444621856853468e+00,5.256100296974182129e-01
1.393027991178226399e+00,5.264400243759155273e-01
1.396553186340216524e+00,5.271900296211242676e-01
1.400022066062790893e+00,5.281000137329101562e-01
1.403436401383038934e+00,5.292699933052062988e-01
1.406797881085013469e+00,5.302199721336364746e-01
1.410108116715660609e+00,5.312200188636779785e-01
1.413368647224135355e+00,5.317299962043762207e-01
1.416580943257931935e+00,5.321599841117858887e-01
1.419746411145852649e+00,5.330200195312500000e-01
1.422866396594811400e+00,5.333899855613708496e-01
1.425942188124797783e+00,5.345500111579895020e-01
