# kappa, training_loss
0.000000000000000000e+00,2.607172727584838867e-01
5.207146616583403498e-01,2.562803030014038086e-01
6.611288387447462611e-01,2.425230145454406738e-01
7.457003478193756640e-01,2.502538263797760010e-01
8.064115877988511372e-01,2.529265284538269043e-01
8.538048438533667461e-01,2.339302897453308105e-01
8.926847380799551868e-01,2.522145211696624756e-01
9.256490414591513893e-01,2.577115893363952637e-01
9.542624115763093107e-01,2.397174090147018433e-01
9.795406256343769380e-01,2.447654157876968384e-01
1.002180638288757919e+00,2.380573898553848267e-01
1.022681458764170825e+00,2.190005928277969360e-01
1.041412669531660562e+00,2.355787456035614014e-01
1.058655644913438332e+00,2.441117167472839355e-01
1.074629564322228337e+00,2.456779927015304565e-01
1.089508491105206200e+00,2.460589259862899780e-01
1.103432963762967178e+00,2.560750544071197510e-01
1.116518088262133501e+00,2.324161082506179810e-01
1.128859327010931946e+00,2.496470212936401367e-01
1.140536729028781782e+00,2.391322255134582520e-01
1.151618079363782243e+00,2.476891130208969116e-01
1.162161283053504635e+00,2.474783509969711304e-01
1.172216196568368174e+00,2.580862939357757568e-01
1.181826053618913352e+00,2.618609666824340820e-01
1.191028588579749803e+00,2.440096288919448853e-01
1.199856931363904478e+00,2.558985948562622070e-01
1.208340327368341294e+00,2.407899498939514160e-01
1.216504721985221638e+00,2.279499471187591553e-01
1.224373239146613779e+00,2.469068169593811035e-01
1.231966576151223070e+00,2.527273893356323242e-01
1.239303331755652771e+00,2.447663843631744385e-01
1.246400280624671675e+00,2.371519207954406738e-01
1.253272604332097417e+00,2.354920953512191772e-01
1.259934086913971019e+00,2.427272796630859375e-01
1.266397281307581890e+00,2.508707344532012939e-01
1.272673651727744604e+00,2.274042963981628418e-01
1.278773696037892149e+00,2.363399565219879150e-01
1.284707051397090183e+00,2.209986895322799683e-01
1.290482585852904318e+00,2.461941689252853394e-01
1.296108478065638447e+00,2.498863637447357178e-01
1.301592286962944600e+00,2.400200068950653076e-01
1.306941012813498837e+00,2.394126057624816895e-01
1.312161150957827926e+00,2.313986271619796753e-01
1.317258739230850795e+00,2.426402866840362549e-01
1.322239399944532989e+00,2.509367763996124268e-01
1.327108377162710351e+00,2.378443479537963867e-01
1.331870569887717126e+00,2.450926452875137329e-01
1.336530561685351115e+00,2.498907297849655151e-01
1.341092647197241972e+00,2.618761658668518066e-01
1.345560855925004740e+00,2.401972264051437378e-01
1.349938973616277682e+00,2.468316256999969482e-01
1.354230561537085542e+00,2.373024225234985352e-01
1.358438973876352041e+00,2.328045666217803955e-01
1.362567373495677803e+00,2.442179471254348755e-01
1.366618746209655066e+00,2.297558933496475220e-01
1.370595913758229978e+00,2.416262030601501465e-01
1.374501545612286657e+00,2.365694791078567505e-01
1.378338169736165852e+00,2.562049627304077148e-01
1.382108182415789477e+00,2.331062257289886475e-01
1.385813857248079817e+00,2.698876261711120605e-01
1.389457353376121640e+00,2.380158454179763794e-01
1.393040723044758789e+00,2.458294630050659180e-01
1.396565918542829410e+00,2.343461364507675171e-01
1.400034798590831686e+00,2.679082751274108887e-01
1.403449134226354200e+00,2.422826886177062988e-01
1.406810614233917178e+00,2.276045680046081543e-01
1.410120850160906603e+00,2.447236031293869019e-01
1.413381380956890698e+00,2.147873938083648682e-01
1.416593677269752716e+00,2.320618778467178345e-01
1.419759145428661995e+00,2.254860252141952515e-01
1.422879131140877718e+00,2.502830028533935547e-01
1.425954922926715662e+00,2.480393946170806885e-01
1.428987755314616637e+00,2.295608073472976685e-01
1.431978811816147834e+00,2.560239136219024658e-01
1.434929227698878096e+00,2.417408972978591919e-01
1.437840092573388073e+00,2.626460194587707520e-01
1.440712452809163935e+00,2.559203803539276123e-01
1.443547313792783671e+00,2.277714759111404419e-01
1.446345642040588464e+00,2.347094416618347168e-01
1.449108367176948908e+00,2.362253963947296143e-01
1.451836383788257523e+00,2.426039129495620728e-01
1.454530553161901718e+00,2.657583951950073242e-01
1.457191704918672892e+00,2.354339659214019775e-01
1.459820638546353466e+00,2.423572987318038940e-01
1.462418124841575962e+00,2.375395148992538452e-01
1.464984907266459357e+00,2.429777979850769043e-01
1.467521703225998397e+00,2.531100511550903320e-01
1.470029205271693673e+00,2.326846271753311157e-01
1.472508082236477334e+00,2.398554980754852295e-01
1.474958980305587808e+00,2.145119905471801758e-01
1.477382524027680777e+00,2.390092462301254272e-01
1.479779317270137007e+00,2.515607178211212158e-01
1.482149944122219898e+00,2.406454533338546753e-01
1.484494969749465154e+00,2.316851168870925903e-01
1.486814941202426299e+00,2.431090176105499268e-01
1.489110388182671496e+00,2.421201318502426147e-01
1.491381823768717751e+00,2.575198411941528320e-01
1.493629745104386952e+00,2.585897147655487061e-01
1.495854634051895671e+00,2.133007049560546875e-01
1.498056957811826795e+00,2.380813211202621460e-01
1.500237169511974944e+00,2.374746650457382202e-01
1.502395708766924409e+00,2.431259900331497192e-01
1.504533002210086901e+00,2.517476081848144531e-01
1.506649463999811367e+00,2.362900972366333008e-01
1.508745496301064470e+00,2.378281950950622559e-01
1.510821489744088586e+00,2.510321438312530518e-01
1.512877823861336957e+00,2.563658058643341064e-01
1.514914867503919238e+00,2.550941407680511475e-01
1.516932979238690749e+00,2.504203915596008301e-01
1.518932507727060122e+00,2.296325266361236572e-01
1.520913792086515004e+00,2.426083385944366455e-01
1.522877162235802828e+00,2.359491586685180664e-01
1.524822939224646845e+00,2.507016360759735107e-01
1.526751435548817870e+00,2.306183576583862305e-01
1.528662955451341787e+00,2.423070669174194336e-01
1.530557795210561789e+00,2.469582557678222656e-01
1.532436243415740584e+00,2.560672163963317871e-01
1.534298581230848058e+00,2.360226958990097046e-01
1.536145082647126348e+00,2.284158319234848022e-01
1.537976014725013885e+00,2.407066375017166138e-01
1.539791637825948412e+00,2.416372150182723999e-01
1.541592205834565465e+00,2.551937997341156006e-01
1.543377966371754839e+00,2.289126962423324585e-01
1.545149160999032212e+00,2.400605827569961548e-01
1.546906025414638952e+00,2.396401911973953247e-01
1.548648789641775325e+00,2.529549300670623779e-01
1.550377678209338805e+00,2.168882042169570923e-01
1.552092910325524766e+00,2.257315665483474731e-01
1.553794700044623722e+00,2.418176829814910889e-01
1.555483256427333094e+00,2.439238578081130981e-01
1.557158783694885695e+00,2.399699389934539795e-01
1.558821481377274054e+00,2.189098149538040161e-01
1.560471544455846127e+00,2.192678898572921753e-01
1.562109163500522424e+00,2.368433326482772827e-01
1.563734524801877468e+00,2.438870221376419067e-01
1.565347810498315173e+00,2.356985211372375488e-01
1.566949198698554646e+00,2.457219660282135010e-01
1.568538863599632460e+00,2.368390262126922607e-01
1.570116975600616582e+00,2.335017025470733643e-01
1.571683701412218914e+00,2.570442259311676025e-01
1.573239204162480309e+00,2.290790230035781860e-01
1.574783643498698815e+00,2.463796436786651611e-01
1.576317175685756578e+00,2.439394742250442505e-01
1.577839953701002385e+00,2.561490237712860107e-01
1.579352127325826194e+00,2.345538735389709473e-01
1.580853843234069522e+00,2.429210990667343140e-01
1.582345245077401152e+00,2.387734055519104004e-01
1.583826473567776505e+00,2.324316650629043579e-01
1.585297666557108132e+00,2.446677535772323608e-01
1.586758959114253020e+00,2.437245249748229980e-01
1.588210483599426848e+00,2.480725795030593872e-01
1.589652369736148652e+00,2.522731125354766846e-01
1.591084744680811180e+00,2.570863664150238037e-01
1.592507733089973065e+00,2.410203963518142700e-01
1.593921457185459856e+00,2.367305010557174683e-01
1.595326036817358739e+00,2.520439326763153076e-01
1.596721589524991325e+00,2.266568541526794434e-01
1.598108230595935764e+00,2.432081997394561768e-01
1.599486073123180807e+00,2.337109446525573730e-01
1.600855228060474422e+00,2.204673141241073608e-01
1.602215804275940236e+00,2.439054846763610840e-01
1.603567908604023984e+00,2.304339408874511719e-01
1.604911645895832795e+00,2.358561307191848755e-01
1.606247119067927942e+00,2.201768904924392700e-01
1.607574429149622119e+00,2.476744651794433594e-01
1.608893675328845863e+00,2.489444017410278320e-01
1.610204954996624416e+00,2.280936390161514282e-01
1.611508363790221443e+00,2.261322587728500366e-01
1.612803995634996213e+00,2.316705882549285889e-01
1.614091942785017997e+00,2.077855616807937622e-01
1.615372295862484542e+00,2.410409748554229736e-01
1.616645143895984349e+00,2.496307790279388428e-01
1.617910574357643849e+00,2.387785911560058594e-01
1.619168673199199437e+00,2.406416684389114380e-01
1.620419524887029894e+00,2.294727563858032227e-01
1.621663212436185608e+00,2.248858809471130371e-01
1.622899817443448578e+00,2.380804419517517090e-01
1.624129420119456935e+00,2.420430779457092285e-01
1.625352099319925303e+00,2.352776378393173218e-01
1.626567932575989861e+00,2.473328560590744019e-01
1.627776996123709852e+00,2.311231940984725952e-01
1.628979364932751528e+00,2.292366623878479004e-01
1.630175112734283172e+00,2.127456814050674438e-01
1.631364312048104503e+00,2.494532018899917603e-01
1.632547034209040460e+00,2.472719550132751465e-01
1.633723349392615987e+00,2.215269804000854492e-01
1.634893326640042721e+00,2.303173243999481201e-01
1.636057033882534206e+00,2.399123907089233398e-01
1.637214537964973626e+00,2.490202486515045166e-01
1.638365904668953377e+00,2.514024972915649414e-01
1.639511198735208231e+00,2.227374464273452759e-01
1.640650483885459643e+00,2.509428262710571289e-01
1.641783822843689178e+00,2.302484065294265747e-01
1.642911277356860378e+00,2.537017762660980225e-01
1.644032908215105282e+00,2.367769032716751099e-01
1.645148775271392694e+00,2.326059341430664062e-01
1.646258937460692851e+00,2.383529245853424072e-01
1.647363452818655150e+00,2.597855329513549805e-01
1.648462378499813363e+00,2.454802840948104858e-01
1.649555770795332554e+00,2.495741695165634155e-01
1.650643685150310791e+00,2.341767102479934692e-01
1.651726176180650540e+00,2.258910536766052246e-01
1.652803297689510398e+00,2.280512452125549316e-01
1.653875102683352249e+00,2.350891530513763428e-01
1.654941643387593642e+00,2.438232451677322388e-01
1.656002971261876899e+00,2.434950470924377441e-01
1.657059137014968764e+00,2.202991545200347900e-01
1.658110190619296542e+00,2.105876505374908447e-01
1.659156181325138313e+00,2.269302159547805786e-01
1.660197157674467849e+00,2.392083555459976196e-01
1.661233167514474474e+00,2.317190170288085938e-01
1.662264258010758278e+00,2.284193187952041626e-01
1.663290475660214485e+00,2.598999142646789551e-01
1.664311866303615384e+00,2.471979111433029175e-01
1.665328475137898279e+00,2.483640611171722412e-01
1.666340346728164556e+00,2.594752013683319092e-01
1.667347525019402754e+00,2.251080572605133057e-01
1.668350053347941842e+00,2.507600486278533936e-01
1.669347974452637828e+00,2.378276288509368896e-01
1.670341330485807463e+00,2.407865524291992188e-01
1.671330163023913240e+00,2.377628386020660400e-01
1.672314513078002385e+00,2.287062853574752808e-01
1.673294421103915575e+00,2.516607344150543213e-01
1.674269927012263182e+00,2.325711101293563843e-01
1.675241070178177472e+00,2.529755532741546631e-01
1.676207889450851196e+00,2.357758581638336182e-01
1.677170423162862356e+00,2.240710407495498657e-01
1.678128709139292463e+00,2.321524769067764282e-01
1.679082784706647624e+00,2.288394123315811157e-01
1.680032686701580902e+00,2.449795305728912354e-01
1.680978451479427482e+00,2.085057049989700317e-01
