# kappa, training_loss
0.000000000000000000e+00,2.496004551649093628e-01
5.208801839116271593e-01,2.496502548456192017e-01
6.613022391675680289e-01,2.464370727539062500e-01
7.458765436377929881e-01,2.520778775215148926e-01
8.065892153882340265e-01,2.413739711046218872e-01
8.539833417292705953e-01,2.406697422266006470e-01
8.928638209001428239e-01,2.445107251405715942e-01
9.258285444493974392e-01,2.578989863395690918e-01
9.544422309902648172e-01,2.460258901119232178e-01
9.797206919279782822e-01,2.323361188173294067e-01
1.002360902574698898e+00,2.298139333724975586e-01
1.022861885367991386e+00,2.425746917724609375e-01
1.041593231623845872e+00,2.457440793514251709e-01
1.058836321808660497e+00,2.408782839775085449e-01
1.074810339736310016e+00,2.485038787126541138e-01
1.089689351989247879e+00,2.410903871059417725e-01
1.103613899499548134e+00,2.279673069715499878e-01
1.116699090096544777e+00,2.389616072177886963e-01
1.129040387639525633e+00,2.348159402608871460e-01
1.140717842295081885e+00,2.344281077384948730e-01
1.151799240030193072e+00,2.472624629735946655e-01
1.162342486627113480e+00,2.387399673461914062e-01
1.172397439166162014e+00,2.442342340946197510e-01
1.182007331862167332e+00,2.441103905439376831e-01
1.191209899510327963e+00,2.411916702985763550e-01
1.200038272377234261e+00,2.423870861530303955e-01
1.208521696159226000e+00,2.513497471809387207e-01
1.216686116503653770e+00,2.483360171318054199e-01
1.224554657561447657e+00,2.657241821289062500e-01
1.232148016820091341e+00,2.468396723270416260e-01
1.239484793199879586e+00,2.535819411277770996e-01
1.246581761508219088e+00,2.511714994907379150e-01
1.253454103443790713e+00,2.352224141359329224e-01
1.260115603152409891e+00,2.283000946044921875e-01
1.266578813668263637e+00,2.313974797725677490e-01
1.272855199292021622e+00,2.544283270835876465e-01
1.278955257963458658e+00,2.483291774988174438e-01
1.284888626909751919e+00,2.360533475875854492e-01
1.290664174239426698e+00,2.513652145862579346e-01
1.296290078667511114e+00,2.506821751594543457e-01
1.301773899170922677e+00,2.311946898698806763e-01
1.307122636062807430e+00,2.354339957237243652e-01
1.312342784723937728e+00,2.257431745529174805e-01
1.317440383025742401e+00,2.452768832445144653e-01
1.322421053313385775e+00,2.519001364707946777e-01
1.327290039680958156e+00,2.366640716791152954e-01
1.332052241158422801e+00,2.416428774595260620e-01
1.336712241336859730e+00,2.411375939846038818e-01
1.341274334881079389e+00,2.631204128265380859e-01
1.345742551313987345e+00,2.280477136373519897e-01
1.350120676402815301e+00,2.335747927427291870e-01
1.354412271431645109e+00,2.312644571065902710e-01
1.358620690606072490e+00,2.253994494676589966e-01
1.362749096803114179e+00,2.505248785018920898e-01
1.366800475851638552e+00,2.357737421989440918e-01
1.370777649504830942e+00,2.530130147933959961e-01
1.374683287245871410e+00,2.496462315320968628e-01
1.378519917050535337e+00,2.558847367763519287e-01
1.382289935215391452e+00,2.352263629436492920e-01
1.385995615347288545e+00,2.438421696424484253e-01
1.389639116598577528e+00,2.453179508447647095e-01
1.393222491222761317e+00,2.610113024711608887e-01
1.396747691516779355e+00,2.457109689712524414e-01
1.400216576208718200e+00,2.429476380348205566e-01
1.403630916343280299e+00,2.464233189821243286e-01
1.406992400711663427e+00,2.276880592107772827e-01
1.410302640867526769e+00,2.497002035379409790e-01
1.413563175766337610e+00,2.366148531436920166e-01
1.416775476061532757e+00,2.497128993272781372e-01
1.419940948087511590e+00,2.477103620767593384e-01
1.423060937556466676e+00,2.415391504764556885e-01
1.426136732993369405e+00,2.476133555173873901e-01
1.429169568931057288e+00,2.509150803089141846e-01
1.432160628885253528e+00,2.486687302589416504e-01
1.435111048127459821e+00,2.346377372741699219e-01
1.438021916271978951e+00,2.230244576930999756e-01
1.440894279691823820e+00,2.490723729133605957e-01
1.443729143776916857e+00,2.199488878250122070e-01
1.446527475046772038e+00,2.424541413784027100e-01
1.449290203128771548e+00,2.232101410627365112e-01
1.452018222612170284e+00,2.245422750711441040e-01
1.454712394787076368e+00,2.300143837928771973e-01
1.457373549276869129e+00,2.292010933160781860e-01
1.460002485571794351e+00,2.130710482597351074e-01
1.462599974470831121e+00,2.319435477256774902e-01
1.465166759438334632e+00,2.344424128532409668e-01
1.467703557881431919e+00,2.303572446107864380e-01
1.470211062353657505e+00,2.317244708538055420e-01
1.472689941689885540e+00,2.443582564592361450e-01
1.475140842077209413e+00,2.336235046386718750e-01
1.477564388066056944e+00,2.192040681838989258e-01
1.479961183525503765e+00,2.363267838954925537e-01
1.482331812546433980e+00,2.351789027452468872e-01
1.484676840295934719e+00,2.371206283569335938e-01
1.486996813826044983e+00,2.315023392438888550e-01
1.489292262839755798e+00,2.281145453453063965e-01
1.491563700416947968e+00,2.451198548078536987e-01
1.493811623702750779e+00,2.274047881364822388e-01
1.496036514560634911e+00,2.085162401199340820e-01
1.498238840192386956e+00,2.101981341838836670e-01
1.500419053726957053e+00,2.358774989843368530e-01
1.502577594780039050e+00,2.263299226760864258e-01
1.504714889986111359e+00,2.268124967813491821e-01
1.506831353504547222e+00,2.106653004884719849e-01
1.508927387501299400e+00,2.344917505979537964e-01
1.511003382607557954e+00,2.293111383914947510e-01
1.513059718356688510e+00,2.256193011999130249e-01
1.515096763600679131e+00,2.472885698080062866e-01
1.517114876907230681e+00,2.339699119329452515e-01
1.519114406938566475e+00,2.125102877616882324e-01
1.521095692812959088e+00,2.244921624660491943e-01
1.523059064449913569e+00,2.169742137193679810e-01
1.525004842899882140e+00,2.324434220790863037e-01
1.526933340659339944e+00,2.130258679389953613e-01
1.528844861971992319e+00,1.762700676918029785e-01
1.530739703116837713e+00,2.555872797966003418e-01
1.532618152683772772e+00,1.970645487308502197e-01
1.534480491837378446e+00,2.259139269590377808e-01
1.536326994569487736e+00,2.057807892560958862e-01
1.538157927941109948e+00,2.210264652967453003e-01
1.539973552314234828e+00,2.144569009542465210e-01
1.541774121574031708e+00,2.154995501041412354e-01
1.543559883341906636e+00,1.909522563219070435e-01
1.545331079179874667e+00,2.041865587234497070e-01
1.547087944786660341e+00,2.049763798713684082e-01
1.548830710185931991e+00,1.907296031713485718e-01
1.550559599907040287e+00,2.046621143817901611e-01
1.552274833158619360e+00,1.875847578048706055e-01
1.553976623995384498e+00,1.878303140401840210e-01
1.555665181478445680e+00,1.772632449865341187e-01
1.557340709829434511e+00,2.139239162206649780e-01
1.559003408578730321e+00,1.948744952678680420e-01
1.560653472708057210e+00,1.963773369789123535e-01
1.562291092787699398e+00,2.023855000734329224e-01
1.563916455108584236e+00,1.606052815914154053e-01
1.565529741809459141e+00,1.881427615880966187e-01
1.567131130999375399e+00,1.774374991655349731e-01
1.568720796875692658e+00,1.457682847976684570e-01
1.570298909837792634e+00,1.772940307855606079e-01
1.571865636596691429e+00,1.756055951118469238e-01
1.573421140280726327e+00,1.597183197736740112e-01
1.574965580537482479e+00,1.675561517477035522e-01
1.576499113632122251e+00,1.826762408018112183e-01
1.578021892542265325e+00,1.540802717208862305e-01
1.579534067049565449e+00,1.342403590679168701e-01
