# kappa, accuracy
0.000000000000000000e+00,4.972000122070312500e-01
5.207004621289812452e-01,4.949299991130828857e-01
6.611139630839203418e-01,4.936299920082092285e-01
7.456852322417323320e-01,4.923999905586242676e-01
8.063963493371462121e-01,4.933300018310546875e-01
8.537895306974822018e-01,4.937700033187866211e-01
8.926693747198087836e-01,4.939999878406524658e-01
9.256336420367999862e-01,4.945900142192840576e-01
9.542469849960073525e-01,4.949199855327606201e-01
9.795251778649085583e-01,4.956400096416473389e-01
1.002165173525999986e+00,4.957199990749359131e-01
1.022665980069978664e+00,4.965800046920776367e-01
1.041397179208751966e+00,4.963499903678894043e-01
1.058640144737190480e+00,4.971500039100646973e-01
1.074614055690278347e+00,4.970600008964538574e-01
1.089492975137515529e+00,4.981800019741058350e-01
1.103417441370807772e+00,4.981200098991394043e-01
1.116502560196905858e+00,4.987199902534484863e-01
1.128843793899494630e+00,4.987600147724151611e-01
1.140521191399533452e+00,4.993799924850463867e-01
1.151602537666256865e+00,4.999000132083892822e-01
1.162145737673320633e+00,5.011100172996520996e-01
1.172200647838798071e+00,5.012400150299072266e-01
1.181810501829947846e+00,5.020800232887268066e-01
1.191013033985280023e+00,5.028399825096130371e-01
1.199841374187476939e+00,5.032899975776672363e-01
1.208324767807807065e+00,5.039499998092651367e-01
1.216489160216529530e+00,5.040799975395202637e-01
1.224357675326928518e+00,5.048699975013732910e-01
1.231951010421505899e+00,5.046799778938293457e-01
1.239287764242816392e+00,5.045499801635742188e-01
1.246384711443386362e+00,5.048300027847290039e-01
1.253257033586316016e+00,5.048999786376953125e-01
1.259918514698225023e+00,5.060899853706359863e-01
1.266381707708086335e+00,5.068399906158447266e-01
1.272658076823345752e+00,5.077499747276306152e-01
1.278758119900883727e+00,5.084699988365173340e-01
1.284691474093920149e+00,5.095300078392028809e-01
1.290467007444788372e+00,5.084400177001953125e-01
1.296092898609095823e+00,5.079600214958190918e-01
1.301576706510265691e+00,5.081300139427185059e-01
1.306925431413157757e+00,5.085200071334838867e-01
1.312145568654844219e+00,5.091599822044372559e-01
1.317243156067110066e+00,5.097000002861022949e-01
1.322223815959072013e+00,5.100799798965454102e-01
1.327092792391969089e+00,5.119799971580505371e-01
1.331854984365764549e+00,5.133799910545349121e-01
1.336514975444085263e+00,5.138400197029113770e-01
1.341077060266572252e+00,5.145099759101867676e-01
1.345545268333012245e+00,5.149599909782409668e-01
1.349923385389363073e+00,5.156800150871276855e-01
1.354214972700098940e+00,5.158799886703491211e-01
1.358423384452712268e+00,5.162600278854370117e-01
1.362551783507481407e+00,5.164499878883361816e-01
1.366603155677772907e+00,5.171099901199340820e-01
1.370580322702396492e+00,5.174900293350219727e-01
1.374485954051180903e+00,5.182999968528747559e-01
1.378322577687485895e+00,5.184900164604187012e-01
1.382092589896319224e+00,5.186300277709960938e-01
1.385798264273751190e+00,5.193799734115600586e-01
1.389441759962071199e+00,5.198400020599365234e-01
1.393025129205380352e+00,5.207899808883666992e-01
1.396550324291820910e+00,5.211799740791320801e-01
1.400019203941240242e+00,5.215499997138977051e-01
1.403433539190615864e+00,5.215600132942199707e-01
1.406795018823895349e+00,5.217300057411193848e-01
1.410105254387925999e+00,5.217499732971191406e-01
1.413365784831769556e+00,5.219299793243408203e-01
1.416578080802833428e+00,5.221800208091735840e-01
1.419743548629836871e+00,5.230399966239929199e-01
1.422863534019616294e+00,5.232200026512145996e-01
1.425939325492088239e+00,5.248200297355651855e-01
1.428972157575315594e+00,5.258799791336059570e-01
1.431963213780508948e+00,5.250399708747863770e-01
1.434913629374899635e+00,5.247200131416320801e-01
