# kappa, training_loss
0.000000000000000000e+00,2.483245283365249634e-01
5.207000501775113088e-01,2.513795793056488037e-01
6.611135315160840964e-01,2.499480098485946655e-01
7.456847937132580206e-01,2.475651353597640991e-01
8.063959072434687680e-01,2.476697713136672974e-01
8.537890864367210231e-01,2.520141899585723877e-01
8.926689290024832912e-01,2.539062201976776123e-01
9.256331952732099744e-01,2.509673833847045898e-01
9.542465374444900617e-01,2.488956302404403687e-01
9.795247296986347996e-01,2.498172223567962646e-01
1.002164724866703605e+00,2.512615323066711426e-01
1.022665531006492712e+00,2.499945461750030518e-01
1.041396729807884780e+00,2.524385750293731689e-01
1.058639695050450191e+00,2.520274817943572998e-01
1.074613605758214741e+00,2.491263896226882935e-01
1.089492524992621725e+00,2.502954602241516113e-01
1.103416991039522177e+00,2.505421340465545654e-01
1.116502109701028811e+00,2.494490593671798706e-01
1.128843343257212917e+00,2.510839402675628662e-01
1.140520740626177476e+00,2.482226043939590454e-01
1.151602086774868638e+00,2.471326887607574463e-01
1.162145286675088318e+00,2.514221072196960449e-01
1.172200196743391043e+00,2.518376111984252930e-01
1.181810050645778709e+00,2.499969899654388428e-01
1.191012582719715551e+00,2.514188289642333984e-01
1.199840922847002611e+00,2.474261671304702759e-01
1.208324316398163401e+00,2.495349943637847900e-01
1.216488708742820890e+00,2.506428062915802002e-01
1.224357223793714589e+00,2.539105713367462158e-01
1.231950558832876741e+00,2.489864528179168701e-01
1.239287312602453950e+00,2.500196397304534912e-01
1.246384259754617529e+00,2.478756755590438843e-01
1.253256581852156826e+00,2.532992064952850342e-01
1.259918062921418169e+00,2.479252219200134277e-01
1.266381255891133151e+00,2.500074505805969238e-01
1.272657624968533518e+00,2.519024908542633057e-01
1.278757668010310100e+00,2.523333728313446045e-01
1.284691022169512920e+00,2.497049123048782349e-01
1.290466555488323674e+00,2.497401684522628784e-01
1.296092446622213235e+00,2.476137578487396240e-01
1.301576254494482665e+00,2.498959004878997803e-01
1.306924979369880280e+00,2.483492344617843628e-01
1.312145116585378357e+00,2.515699267387390137e-01
1.317242703972671292e+00,2.484313398599624634e-01
1.322223363840792976e+00,2.512912452220916748e-01
1.327092340250906721e+00,2.473688870668411255e-01
1.331854532202907393e+00,2.494156807661056519e-01
1.336514523260358800e+00,2.519805431365966797e-01
1.341076608062844233e+00,2.486775964498519897e-01
1.345544816110097353e+00,2.483525425195693970e-01
1.349922933148027360e+00,2.533536851406097412e-01
1.354214520441063385e+00,2.498354017734527588e-01
1.358422932176656328e+00,2.493060678243637085e-01
1.362551331215046124e+00,2.521828413009643555e-01
1.366602703369563798e+00,2.487807720899581909e-01
1.370579870378985987e+00,2.494681924581527710e-01
1.374485501713111235e+00,2.473104149103164673e-01
1.378322125335270210e+00,2.482382655143737793e-01
1.382092137530444687e+00,2.505646944046020508e-01
1.385797811894679876e+00,2.480778843164443970e-01
1.389441307570242090e+00,2.457094788551330566e-01
1.393024676801211559e+00,2.517475783824920654e-01
