# kappa, accuracy
0.000000000000000000e+00,5.450500249862670898e-01
1.050078864343317653e+00,7.093399763107299805e-01
1.331314799568448670e+00,7.339699864387512207e-01
1.500602350569185228e+00,7.361299991607666016e-01
1.622098840766467820e+00,7.321400046348571777e-01
1.716930333275758169e+00,7.319499850273132324e-01
1.794720351816836423e+00,7.679899930953979492e-01
1.860670671835749079e+00,6.760600209236145020e-01
1.917913763308967567e+00,7.433800101280212402e-01
1.968482948553935019e+00,7.930799722671508789e-01
2.013773204554316631e+00,7.697200179100036621e-01
2.054783232647585223e+00,8.483499884605407715e-01
2.092252654895383035e+00,8.547700047492980957e-01
2.126744537471562335e+00,8.841599822044372559e-01
2.158697466644754925e+00,5.620999932289123535e-01
2.188459736298290270e+00,7.710199952125549316e-01
2.216312549081883354e+00,8.733000159263610840e-01
2.242486213183961574e+00,8.650599718093872070e-01
2.267171728403013287e+00,9.188200235366821289e-01
2.290529252055969689e+00,9.142100214958190918e-01
2.312694401719848081e+00,9.192399978637695312e-01
2.333783025949037970e+00,9.245700240135192871e-01
2.353894869198713380e+00,9.272900223731994629e-01
2.373116424947005143e+00,9.320399761199951172e-01
2.391523183675163367e+00,9.341800212860107422e-01
2.409181423477851247e+00,9.366300106048583984e-01
2.426149650617702047e+00,9.371899962425231934e-01
2.442479769064448192e+00,9.405099749565124512e-01
2.458218037990635985e+00,9.422500133514404297e-01
2.473405861747607570e+00,9.430999755859375000e-01
2.488080446306249360e+00,9.442600011825561523e-01
2.502275348365937457e+00,9.459900259971618652e-01
2.516020937525753176e+00,9.470400214195251465e-01
2.529344787529568706e+00,9.472399950027465820e-01
2.542272009258419896e+00,9.491299986839294434e-01
2.554825535577836426e+00,9.513000249862670898e-01
2.567026366159060213e+00,9.520400166511535645e-01
2.578893778839313367e+00,9.530900120735168457e-01
2.590445512863352118e+00,9.545099735260009766e-01
2.601697928379185676e+00,9.560300111770629883e-01
2.612666145787478023e+00,9.568899869918823242e-01
2.623364167923210477e+00,9.583399891853332520e-01
2.633804987546757292e+00,9.593099951744079590e-01
2.644000682214297626e+00,9.606099724769592285e-01
2.653962498265000747e+00,9.618600010871887207e-01
2.663700925389647978e+00,9.645299911499023438e-01
