# kappa, training_loss
0.000000000000000000e+00,2.529755234718322754e-01
1.002189064676383135e+00,2.489725500345230103e-01
1.151626547669045708e+00,2.498769462108612061e-01
1.239311814126292877e+00,2.484210282564163208e-01
1.301600776383808888e+00,2.500344514846801758e-01
1.349947467272904822e+00,2.495530843734741211e-01
1.389465849858939395e+00,2.487362623214721680e-01
1.422887629643555307e+00,2.473168820142745972e-01
1.451844883806459929e+00,2.477725893259048462e-01
1.477391025224998877e+00,2.489511221647262573e-01
1.500245671652820967e+00,2.490736693143844604e-01
1.520922294999493829e+00,2.450575232505798340e-01
1.539800141382478893e+00,2.447568327188491821e-01
1.557167287796035859e+00,2.454312294721603394e-01
1.573247708730502792e+00,2.471842467784881592e-01
1.588218988572113410e+00,2.459355145692825317e-01
1.602224309602739538e+00,2.486722916364669800e-01
1.615380801501760777e+00,2.465934008359909058e-01
1.627785502040762555e+00,2.428923696279525757e-01
1.639519704900813224e+00,2.436661422252655029e-01
1.650652191539625280e+00,2.475697398185729980e-01
1.661241674106203048e+00,2.430743575096130371e-01
1.671338669799662613e+00,2.434068620204925537e-01
1.680986958423203337e+00,2.396301925182342529e-01
1.690224729636150114e+00,2.473649233579635620e-01
1.699085495950158675e+00,2.444557845592498779e-01
1.707598826623415889e+00,2.477564513683319092e-01
1.715790943027154070e+00,2.444848567247390747e-01
1.723685205724033054e+00,2.458986192941665649e-01
1.731302516066284714e+00,2.451574653387069702e-01
1.738661649706577217e+00,2.420765608549118042e-01
1.745779535420780126e+00,2.509269416332244873e-01
1.752671489662907645e+00,2.405775934457778931e-01
1.759351415027228693e+00,2.430139929056167603e-01
1.765831969083714981e+00,2.497763037681579590e-01
1.772124708740567822e+00,2.429000735282897949e-01
1.778240214271023856e+00,2.483886629343032837e-01
1.784188196347981759e+00,2.441824227571487427e-01
1.789977588805707454e+00,2.475530058145523071e-01
1.795616629353335547e+00,2.412191182374954224e-01
1.801112930070561280e+00,2.389646917581558228e-01
1.806473539199472622e+00,2.411337941884994507e-01
1.811704995491078662e+00,2.387659847736358643e-01
1.816813376157744964e+00,2.402071952819824219e-01
1.821804339313580323e+00,2.434299588203430176e-01
1.826683161646027731e+00,2.394965291023254395e-01
1.831454771947577775e+00,2.476264089345932007e-01
1.836123781041810066e+00,2.374175637960433960e-01
1.840694508559250542e+00,2.428386956453323364e-01
1.845171006952784465e+00,2.427377253770828247e-01
1.849557083087234544e+00,2.414899766445159912e-01
1.853856317691340294e+00,2.484262734651565552e-01
1.858072082921189194e+00,2.344999313354492188e-01
1.862207558250936756e+00,2.362650781869888306e-01
1.866265744878421229e+00,2.404300272464752197e-01
1.870249478809169474e+00,2.454507946968078613e-01
1.874161442761673957e+00,2.401298433542251587e-01
1.878004177019124032e+00,2.386826723814010620e-01
1.881780089337515838e+00,2.352139204740524292e-01
1.885491464006939566e+00,2.445112913846969604e-01
1.889140470151420503e+00,2.432621270418167114e-01
1.892729169342845186e+00,2.334909737110137939e-01
1.896259522595881375e+00,2.362222969532012939e-01
1.899733396803319208e+00,2.507178485393524170e-01
1.903152570664709220e+00,2.403841763734817505e-01
1.906518740155426439e+00,2.485603541135787964e-01
1.909833523578263970e+00,2.320799231529235840e-01
1.913098466235220618e+00,2.403141111135482788e-01
1.916315044753239771e+00,2.363082021474838257e-01
1.919484671094213502e+00,2.420529127120971680e-01
1.922608696276506768e+00,2.432656437158584595e-01
1.925688413832555401e+00,2.335632294416427612e-01
1.928725063024681274e+00,2.342153489589691162e-01
1.931719831839136869e+00,2.480710893869400024e-01
1.934673859776481430e+00,2.551479041576385498e-01
1.937588240454691579e+00,2.390766888856887817e-01
1.940464024039886048e+00,2.436697334051132202e-01
1.943302219518188378e+00,2.381909489631652832e-01
1.946103796821023524e+00,2.476663142442703247e-01
1.948869688815050072e+00,2.496905773878097534e-01
1.951600793166945458e+00,2.377706468105316162e-01
1.954297974092372936e+00,2.441086173057556152e-01
1.956962063997651269e+00,2.378395795822143555e-01
1.959593865021938219e+00,2.390411943197250366e-01
1.962194150487067246e+00,2.432611286640167236e-01
1.964763666261602593e+00,2.189694046974182129e-01
1.967303132045128189e+00,2.441583573818206787e-01
1.969813242578301482e+00,2.376982122659683228e-01
1.972294668783766802e+00,2.270107269287109375e-01
1.974748058842613396e+00,2.337258458137512207e-01
1.977174039210696677e+00,2.266656756401062012e-01
1.979573215578814827e+00,2.428426444530487061e-01
1.981946173780418041e+00,2.461844980716705322e-01
1.984293480650253239e+00,2.440457791090011597e-01
1.986615684837096163e+00,2.411737889051437378e-01
1.988913317573484330e+00,2.327039986848831177e-01
1.991186893405148206e+00,2.422688305377960205e-01
1.993436910882654622e+00,2.402350157499313354e-01
1.995663853217578998e+00,2.347187399864196777e-01
1.997868188905373987e+00,2.362589985132217407e-01
2.000050372316937608e+00,2.406169027090072632e-01
2.002210844260751799e+00,2.376451045274734497e-01
2.004350032517333347e+00,2.413814812898635864e-01
2.006468352347609674e+00,2.342962622642517090e-01
2.008566206976743818e+00,2.365096658468246460e-01
2.010643988054805487e+00,2.362127602100372314e-01
2.012702076095612913e+00,2.331713438034057617e-01
2.014740840894971186e+00,2.375847250223159790e-01
2.016760641929461695e+00,2.379402667284011841e-01
2.018761828736850283e+00,2.397752106189727783e-01
2.020744741279131507e+00,2.296193093061447144e-01
2.022709710289140705e+00,2.361684292554855347e-01
2.024657057601629617e+00,2.489371299743652344e-01
2.026587096469622207e+00,2.334821969270706177e-01
2.028500131866839418e+00,2.289278507232666016e-01
2.030396460776917156e+00,2.303402721881866455e-01
2.032276372470102288e+00,2.378714829683303833e-01
2.034140148768076362e+00,2.331238538026809692e-01
2.035988064297510114e+00,2.400425225496292114e-01
2.037820386732919875e+00,2.390981763601303101e-01
2.039637377029363208e+00,2.310357540845870972e-01
2.041439289645479160e+00,2.476815134286880493e-01
2.043226372757350529e+00,2.575357258319854736e-01
2.044998868463638875e+00,2.439784407615661621e-01
