# Iterations, accuracy
0.000000000000000000e+00,5.899999737739562988e-01
3.037037037037036862e+04,5.818899869918823242e-01
6.074074074074073724e+04,5.734599828720092773e-01
9.111111111111110949e+04,5.677300095558166504e-01
1.214814814814814745e+05,5.657399892807006836e-01
1.518518518518518540e+05,5.633800029754638672e-01
1.822222222222222190e+05,5.664299726486206055e-01
2.125925925925925840e+05,5.722200274467468262e-01
2.429629629629629490e+05,5.790500044822692871e-01
2.733333333333333139e+05,5.861200094223022461e-01
3.037037037037037080e+05,5.937700271606445312e-01
3.340740740740740439e+05,6.062700152397155762e-01
3.644444444444444380e+05,6.188300251960754395e-01
3.948148148148147739e+05,6.279699802398681641e-01
4.251851851851851679e+05,6.360499858856201172e-01
4.555555555555555038e+05,6.458600163459777832e-01
4.859259259259258979e+05,6.573100090026855469e-01
5.162962962962962920e+05,6.681200265884399414e-01
5.466666666666666279e+05,6.760600209236145020e-01
5.770370370370369637e+05,6.831499934196472168e-01
6.074074074074074160e+05,6.899999976158142090e-01
6.377777777777777519e+05,6.952099800109863281e-01
6.681481481481480878e+05,7.007899880409240723e-01
6.985185185185184237e+05,7.044199705123901367e-01
7.288888888888888760e+05,7.092900276184082031e-01
7.592592592592592118e+05,7.122600078582763672e-01
7.896296296296295477e+05,7.162700295448303223e-01
8.200000000000000000e+05,7.204300165176391602e-01
8.503703703703703359e+05,7.236999869346618652e-01
8.807407407407406718e+05,7.287399768829345703e-01
9.111111111111110076e+05,7.322700023651123047e-01
9.414814814814814599e+05,7.366300225257873535e-01
9.718518518518517958e+05,7.407299876213073730e-01
1.002222222222222132e+06,7.453799843788146973e-01
1.032592592592592584e+06,7.468299865722656250e-01
1.062962962962962920e+06,7.499399781227111816e-01
1.093333333333333256e+06,7.536699771881103516e-01
1.123703703703703592e+06,7.559700012207031250e-01
1.154074074074073927e+06,7.597699761390686035e-01
1.184444444444444263e+06,7.623699903488159180e-01
1.214814814814814832e+06,7.646700143814086914e-01
1.245185185185185168e+06,7.664999961853027344e-01
1.275555555555555504e+06,7.677599787712097168e-01
1.305925925925925840e+06,7.694799900054931641e-01
1.336296296296296176e+06,7.704899907112121582e-01
1.366666666666666511e+06,7.717199921607971191e-01
1.397037037037036847e+06,7.736099958419799805e-01
1.427407407407407416e+06,7.744200229644775391e-01
1.457777777777777752e+06,7.758499979972839355e-01
1.488148148148148088e+06,7.778499722480773926e-01
1.518518518518518424e+06,7.801499962806701660e-01
1.548888888888888760e+06,7.825000286102294922e-01
1.579259259259259095e+06,7.847899794578552246e-01
1.609629629629629431e+06,7.865999937057495117e-01
1.640000000000000000e+06,7.882199883460998535e-01
1.670370370370370336e+06,7.894499897956848145e-01
1.700740740740740672e+06,7.905200123786926270e-01
1.731111111111111008e+06,7.912099957466125488e-01
1.761481481481481344e+06,7.929599881172180176e-01
1.791851851851851679e+06,7.934399843215942383e-01
1.822222222222222015e+06,7.943000197410583496e-01
1.852592592592592584e+06,7.946400046348571777e-01
1.882962962962962920e+06,7.963299751281738281e-01
1.913333333333333256e+06,7.966799736022949219e-01
1.943703703703703592e+06,7.979699969291687012e-01
1.974074074074073927e+06,7.981699705123901367e-01
2.004444444444444263e+06,7.990400195121765137e-01
2.034814814814814599e+06,7.996600270271301270e-01
2.065185185185185168e+06,8.004599809646606445e-01
2.095555555555555504e+06,8.001700043678283691e-01
2.125925925925925840e+06,8.005700111389160156e-01
2.156296296296296176e+06,8.012099862098693848e-01
2.186666666666666511e+06,8.019599914550781250e-01
2.217037037037036847e+06,8.022599816322326660e-01
2.247407407407407183e+06,8.027399778366088867e-01
2.277777777777777519e+06,8.036299943923950195e-01
2.308148148148147855e+06,8.034499883651733398e-01
2.338518518518518191e+06,8.039900064468383789e-01
2.368888888888888527e+06,8.038899898529052734e-01
2.399259259259259328e+06,8.048099875450134277e-01
2.429629629629629664e+06,8.044499754905700684e-01
2.460000000000000000e+06,8.047599792480468750e-01
