# kappa, training_loss
0.000000000000000000e+00,2.531985044479370117e-01
9.210794116552436517e-01,2.487803995609283447e-01
1.058424221538247334e+00,2.497000843286514282e-01
1.139013898096550959e+00,2.484023422002792358e-01
1.196262371868544783e+00,2.492557317018508911e-01
1.240696799272090534e+00,2.500433027744293213e-01
1.277017314952053839e+00,2.469865232706069946e-01
1.307734571516071531e+00,2.460996210575103760e-01
1.334348576576444900e+00,2.505244016647338867e-01
1.357827499662954018e+00,2.484667152166366577e-01
1.378832726275364573e+00,2.399572730064392090e-01
1.397836177626690768e+00,2.424801439046859741e-01
1.415186410838955355e+00,2.368609309196472168e-01
1.431148191416450777e+00,2.563020288944244385e-01
1.445927369603405621e+00,2.466271221637725830e-01
1.459687159476610541e+00,2.399194985628128052e-01
1.472559156863029184e+00,2.481573373079299927e-01
1.484651013190901425e+00,2.448345869779586792e-01
1.496051913838626790e+00,2.332961261272430420e-01
1.506836574122042638e+00,2.390042841434478760e-01
1.517068209635491272e+00,2.339900732040405273e-01
1.526800781483260261e+00,2.327178120613098145e-01
1.536080718963342528e+00,2.317074984312057495e-01
1.544948259174638627e+00,2.261092662811279297e-01
1.553438501432187202e+00,2.291478067636489868e-01
1.561582246382789085e+00,2.356517761945724487e-01
1.569406670511743984e+00,2.338360548019409180e-01
1.576935873331706484e+00,2.408393621444702148e-01
1.584191325046195198e+00,2.261765748262405396e-01
1.591192235650015441e+00,2.422898560762405396e-01
1.597955861452089898e+00,2.354811877012252808e-01
1.604497761335610839e+00,2.420890778303146362e-01
1.610832012332562568e+00,2.340011149644851685e-01
1.616971392026084198e+00,2.529794871807098389e-01
1.622927533723586890e+00,2.459047436714172363e-01
1.628711059137320838e+00,2.302344441413879395e-01
1.634331692374812572e+00,2.339755594730377197e-01
1.639798358312145377e+00,2.266351580619812012e-01
1.645119267849296296e+00,2.405948191881179810e-01
1.650301992092222170e+00,2.469779849052429199e-01
1.655353527143972103e+00,2.368537634611129761e-01
1.660280350896265134e+00,2.220096886157989502e-01
1.665088472978243805e+00,2.430166900157928467e-01
1.669783478828555046e+00,2.353440970182418823e-01
1.674370568701414985e+00,2.426587939262390137e-01
1.678854592289784398e+00,2.325522899627685547e-01
1.683240079543658618e+00,2.365303337574005127e-01
1.687531268174467636e+00,2.413887381553649902e-01
1.691732128264206381e+00,2.345052659511566162e-01
1.695846384337493351e+00,2.318819761276245117e-01
1.699877535204104673e+00,2.491230517625808716e-01
1.703828871836876813e+00,2.309219241142272949e-01
1.707703493513889281e+00,2.329366207122802734e-01
1.711504322423294200e+00,2.288610786199569702e-01
1.715234116903212369e+00,2.267828732728958130e-01
1.718895483466970298e+00,2.411220073699951172e-01
1.722490887744991372e+00,2.206344604492187500e-01
1.726022664458392475e+00,2.396388947963714600e-01
1.729493026525324995e+00,2.336975038051605225e-01
1.732904073389006872e+00,2.276993095874786377e-01
1.736257798645940653e+00,2.372186034917831421e-01
1.739556097043707616e+00,2.211353033781051636e-01
1.742800770909854524e+00,2.263512760400772095e-01
1.745993536066482221e+00,2.221544981002807617e-01
1.749136027279128536e+00,2.242603302001953125e-01
1.752229803283275267e+00,2.324908077716827393e-01
1.755276351427159875e+00,2.382833808660507202e-01
1.758277091965517069e+00,2.366138547658920288e-01
1.761233382035275685e+00,2.343680560588836670e-01
1.764146519341069030e+00,2.386114001274108887e-01
1.767017745575611753e+00,2.353375554084777832e-01
1.769848249597502310e+00,2.245722860097885132e-01
1.772639170386814289e+00,2.480090707540512085e-01
1.775391599796858344e+00,2.385496050119400024e-01
1.778106585118760519e+00,2.364952266216278076e-01
1.780785131473923144e+00,2.274068742990493774e-01
1.783428204048057797e+00,2.286595553159713745e-01
1.786036730179202392e+00,2.320879697799682617e-01
1.788611601311039800e+00,2.356481552124023438e-01
1.791153674821800434e+00,2.322188168764114380e-01
1.793663775738150612e+00,2.176821976900100708e-01
1.796142698342627408e+00,2.204831689596176147e-01
1.798591207682466386e+00,2.383525669574737549e-01
1.801010040986987804e+00,2.183696329593658447e-01
1.803399909000113377e+00,2.247435450553894043e-01
1.805761497234038337e+00,2.379096150398254395e-01
1.808095467149596569e+00,2.276236414909362793e-01
1.810402457268393439e+00,2.374847680330276489e-01
1.812683084221398788e+00,2.313635200262069702e-01
1.814937943738293091e+00,2.318132370710372925e-01
1.817167611581550490e+00,2.252100855112075806e-01
1.819372644428914887e+00,2.295663356781005859e-01
1.821553580707656161e+00,2.257041931152343750e-01
1.823710941383735351e+00,2.233745902776718140e-01
1.825845230708766698e+00,2.507362663745880127e-01
1.827956936927464415e+00,2.329487949609756470e-01
1.830046532948047533e+00,2.214743345975875854e-01
1.832114476977914297e+00,2.310917377471923828e-01
1.834161213126717982e+00,2.294432371854782104e-01
1.836187171978830746e+00,2.194272577762603760e-01
1.838192771137041603e+00,2.450550794601440430e-01
1.840178415739207152e+00,2.249355018138885498e-01
1.842144498949452869e+00,2.392664253711700439e-01
1.844091402425414028e+00,2.357343584299087524e-01
1.846019496762904222e+00,2.205879390239715576e-01
1.847929141919311125e+00,2.288763374090194702e-01
1.849820687616927639e+00,2.312243580818176270e-01
1.851694473727344414e+00,2.239843159914016724e-01
1.853550830637969549e+00,2.341862469911575317e-01
1.855390079601653586e+00,2.301815003156661987e-01
1.857212533070356164e+00,2.255510240793228149e-01
1.859018495013710082e+00,2.302408218383789062e-01
1.860808261223303894e+00,2.304515391588211060e-01
1.862582119603442443e+00,2.307620346546173096e-01
1.864340350449094741e+00,2.231826335191726685e-01
1.866083226711709120e+00,2.307271957397460938e-01
1.867811014253520030e+00,2.267691791057586670e-01
1.869523972090942454e+00,2.383152544498443604e-01
1.871222352627606167e+00,2.311736196279525757e-01
1.872906401877561411e+00,2.432465255260467529e-01
1.874576359679144044e+00,2.239511758089065552e-01
1.876232459899969118e+00,2.135861515998840332e-01
1.877874930633484096e+00,2.382409572601318359e-01
1.879503994387505150e+00,2.291693687438964844e-01
1.881119868265119788e+00,2.313873618841171265e-01
1.882722764138319960e+00,2.441336512565612793e-01
1.884312888814724918e+00,2.230618000030517578e-01
1.885890444197708904e+00,2.277252525091171265e-01
1.887455627440253636e+00,2.204915881156921387e-01
1.889008631092810031e+00,2.237140387296676636e-01
1.890549643245456490e+00,2.251279354095458984e-01
1.892078847664607766e+00,2.238580584526062012e-01
1.893596423924524652e+00,2.236301749944686890e-01
1.895102547533865422e+00,2.346141040325164795e-01
1.896597390057493504e+00,2.291087806224822998e-01
1.898081119233760328e+00,2.252089232206344604e-01
1.899553899087459419e+00,2.212679237127304077e-01
1.901015890038642020e+00,2.330204546451568604e-01
1.902467249007477657e+00,2.346840053796768188e-01
1.903908129515328840e+00,2.187979519367218018e-01
1.905338681782203336e+00,2.412790209054946899e-01
1.906759052820736988e+00,2.351163029670715332e-01
1.908169386526858302e+00,2.422814071178436279e-01
1.909569823767269803e+00,2.339461892843246460e-01
1.910960502463882715e+00,2.193878293037414551e-01
1.912341557675329762e+00,2.270824313163757324e-01
1.913713121675675977e+00,2.195782363414764404e-01
1.915075324030445891e+00,2.260895520448684692e-01
1.916428291670069894e+00,2.094293981790542603e-01
1.917772148960861456e+00,2.240118384361267090e-01
1.919107017773617585e+00,2.375833988189697266e-01
1.920433017549942445e+00,2.306725233793258667e-01
1.921750265366382493e+00,2.170268595218658447e-01
1.923058875996455086e+00,2.154552340507507324e-01
1.924358961970662030e+00,2.219792902469635010e-01
1.925650633634557352e+00,2.253998965024948120e-01
1.926933999204948345e+00,2.234165519475936890e-01
1.928209164824303823e+00,2.326590269804000854e-01
1.929476234613431984e+00,2.235408127307891846e-01
1.930735310722497822e+00,2.265023142099380493e-01
1.931986493380441372e+00,2.310765981674194336e-01
1.933229880942857193e+00,2.262533009052276611e-01
1.934465569938390805e+00,2.341358065605163574e-01
1.935693655113706946e+00,2.272505462169647217e-01
1.936914229477083582e+00,2.372612357139587402e-01
1.938127384340681658e+00,2.237132936716079712e-01
1.939333209361535859e+00,2.247908711433410645e-01
1.940531792581317472e+00,2.264302521944046021e-01
1.941723220464905753e+00,2.235600948333740234e-01
1.942907577937819763e+00,2.027465403079986572e-01
1.944084948422543091e+00,2.385673671960830688e-01
1.945255413873783645e+00,2.310844212770462036e-01
1.946419054812707605e+00,2.314564138650894165e-01
1.947575950360176833e+00,2.255288660526275635e-01
1.948726178269034159e+00,2.395005524158477783e-01
1.949869814955458303e+00,2.224473208189010620e-01
1.951006935529429276e+00,2.248183786869049072e-01
1.952137613824327600e+00,2.234796881675720215e-01
1.953261922425703734e+00,2.345880419015884399e-01
1.954379932699238376e+00,2.236950248479843140e-01
1.955491714817924498e+00,2.117348760366439819e-01
1.956597337788497759e+00,2.132472246885299683e-01
1.957696869477137946e+00,2.305448502302169800e-01
1.958790376634465646e+00,2.231086939573287964e-01
1.959877924919860792e+00,2.284180968999862671e-01
1.960959578925116187e+00,2.279029339551925659e-01
1.962035402197461309e+00,2.243463844060897827e-01
1.963105457261962616e+00,2.220927625894546509e-01
1.964169805643328992e+00,2.324166297912597656e-01
1.965228507887139209e+00,2.272832840681076050e-01
1.966281623580508287e+00,2.182118594646453857e-01
1.967329211372211839e+00,2.225748002529144287e-01
1.968371328992286395e+00,2.249892801046371460e-01
1.969408033271116576e+00,2.237650007009506226e-01
1.970439380158034437e+00,2.262084484100341797e-01
1.971465424739436534e+00,2.258353829383850098e-01
1.972486221256439798e+00,2.314413785934448242e-01
1.973501823122087995e+00,2.365129739046096802e-01
1.974512282938120977e+00,2.354334592819213867e-01
1.975517652511323385e+00,2.364790737628936768e-01
1.976517982869463008e+00,2.202528715133666992e-01
1.977513324276831685e+00,2.240233570337295532e-01
1.978503726249400296e+00,2.066849470138549805e-01
1.979489237569600713e+00,2.115751653909683228e-01
1.980469906300741600e+00,2.194373905658721924e-01
1.981445779801076501e+00,2.123784571886062622e-01
1.982416904737524854e+00,2.144155055284500122e-01
1.983383327099065063e+00,2.177802175283432007e-01
1.984345092209799599e+00,2.220011651515960693e-01
1.985302244741713018e+00,2.120218873023986816e-01
1.986254828727121780e+00,2.155859768390655518e-01
1.987202887570827192e+00,1.987759768962860107e-01
1.988146464061984586e+00,2.135181725025177002e-01
1.989085600385691155e+00,2.319757342338562012e-01
1.990020338134302902e+00,2.029148042201995850e-01
1.990950718318486690e+00,2.197845727205276489e-01
1.991876781378018046e+00,2.282627224922180176e-01
1.992798567192328285e+00,2.181802690029144287e-01
1.993716115090808261e+00,2.095953375101089478e-01
1.994629463862878760e+00,2.237652093172073364e-01
1.995538651767828631e+00,2.198579758405685425e-01
1.996443716544433755e+00,2.263765037059783936e-01
1.997344695420352645e+00,2.192802429199218750e-01
1.998241625121319531e+00,2.143381386995315552e-01
1.999134541880122962e+00,2.239053845405578613e-01
2.000023481445389439e+00,2.087489962577819824e-01
2.000908479090174108e+00,2.364048510789871216e-01
2.001789569620354925e+00,2.219517081975936890e-01
2.002666787382849201e+00,2.242976129055023193e-01
2.003540166273646950e+00,2.306307107210159302e-01
2.004409739745669494e+00,2.156999707221984863e-01
2.005275540816458868e+00,2.229028344154357910e-01
2.006137602075698911e+00,2.134212404489517212e-01
2.006995955692578271e+00,2.162609100341796875e-01
2.007850633422990416e+00,2.138312160968780518e-01
2.008701666616586667e+00,2.240359038114547729e-01
2.009549086223672454e+00,2.168114781379699707e-01
2.010392922801964577e+00,2.137461304664611816e-01
2.011233206523201034e+00,2.167782485485076904e-01
2.012069967179614949e+00,2.165096998214721680e-01
2.012903234190272173e+00,2.103968411684036255e-01
2.013733036607278315e+00,2.162641286849975586e-01
2.014559403121855219e+00,2.239331752061843872e-01
2.015382362070295752e+00,2.146291881799697876e-01
2.016201941439791590e+00,2.169141173362731934e-01
2.017018168874145978e+00,2.151841074228286743e-01
2.017831071679367927e+00,2.167313843965530396e-01
2.018640676829153158e+00,2.038902640342712402e-01
2.019447010970254475e+00,2.236147522926330566e-01
2.020250100427745554e+00,2.072742730379104614e-01
2.021049971210176821e+00,2.217023968696594238e-01
2.021846649014630071e+00,2.142983227968215942e-01
2.022640159231670953e+00,2.080807089805603027e-01
2.023430526950206421e+00,2.094153165817260742e-01
2.024217776962242699e+00,2.171663939952850342e-01
2.025001933767553108e+00,2.247574925422668457e-01
2.025783021578251297e+00,2.185662984848022461e-01
2.026561064323277872e+00,2.131748944520950317e-01
2.027336085652799991e+00,2.176143974065780640e-01
2.028108108942523469e+00,2.144412547349929810e-01
2.028877157297923617e+00,2.254350632429122925e-01
2.029643253558395699e+00,2.190974801778793335e-01
2.030406420301321457e+00,2.189141809940338135e-01
2.031166679846067691e+00,2.259824275970458984e-01
2.031924054257896017e+00,2.058106213808059692e-01
2.032678565351809574e+00,2.220272719860076904e-01
2.033430234696323335e+00,2.019229829311370850e-01
2.034179083617162487e+00,2.122887372970581055e-01
2.034925133200891079e+00,2.107033878564834595e-01
2.035668404298479395e+00,2.133011966943740845e-01
2.036408917528796270e+00,2.094950079917907715e-01
2.037146693282043675e+00,2.195276170969009399e-01
2.037881751723124690e+00,2.275339812040328979e-01
2.038614112794949751e+00,1.992095857858657837e-01
2.039343796221686045e+00,2.099404931068420410e-01
2.040070821511940746e+00,2.291226834058761597e-01
2.040795207961894064e+00,2.250187247991561890e-01
2.041516974658370565e+00,2.129783630371093750e-01
2.042236140481858087e+00,2.474427968263626099e-01
2.042952724109469820e+00,2.134573161602020264e-01
2.043666744017854420e+00,2.233076095581054688e-01
2.044378218486058163e+00,2.376469373703002930e-01
2.045087165598328038e+00,2.273467183113098145e-01
2.045793603246871761e+00,2.044555991888046265e-01
2.046497549134567606e+00,2.120647728443145752e-01
2.047199020777627609e+00,2.191491425037384033e-01
2.047898035508209702e+00,2.108743488788604736e-01
2.048594610476989430e+00,2.240601629018783569e-01
2.049288762655683271e+00,2.171097099781036377e-01
2.049980508839531534e+00,2.084953188896179199e-01
2.050669865649737300e+00,2.156557291746139526e-01
2.051356849535858284e+00,2.078466713428497314e-01
2.052041476778168061e+00,2.215997278690338135e-01
2.052723763489965769e+00,2.194079607725143433e-01
2.053403725619856512e+00,2.070770412683486938e-01
2.054081378953982906e+00,2.176045775413513184e-01
2.054756739118229092e+00,2.145078629255294800e-01
2.055429821580379901e+00,2.016323059797286987e-01
2.056100641652246708e+00,2.186244577169418335e-01
2.056769214491758646e+00,2.257107943296432495e-01
2.057435555105016078e+00,2.058587372303009033e-01
2.058099678348313422e+00,2.079699337482452393e-01
2.058761598930125558e+00,2.237027287483215332e-01
2.059421331413061385e+00,2.179264724254608154e-01
2.060078890215788494e+00,2.197457849979400635e-01
2.060734289614922776e+00,2.250863462686538696e-01
2.061387543746887818e+00,2.177393734455108643e-01
2.062038666609744553e+00,2.125591188669204712e-01
2.062687672064991595e+00,2.155705392360687256e-01
2.063334573839337160e+00,2.188208550214767456e-01
2.063979385526437671e+00,2.190510928630828857e-01
2.064622120588614607e+00,2.211958318948745728e-01
2.065262792358539379e+00,2.200173586606979370e-01
2.065901414040894224e+00,2.086271196603775024e-01
2.066537998714003788e+00,2.154517322778701782e-01
2.067172559331442727e+00,2.193671315908432007e-01
2.067805108723618002e+00,2.121362835168838501e-01
2.068435659599324072e+00,2.084534019231796265e-01
2.069064224547275899e+00,2.120819389820098877e-01
2.069690816037616621e+00,2.077084332704544067e-01
2.070315446423402150e+00,2.173157781362533569e-01
2.070938127942063112e+00,2.182974517345428467e-01
2.071558872716841471e+00,2.061111778020858765e-01
2.072177692758208956e+00,2.116307467222213745e-01
2.072794599965259277e+00,2.168287187814712524e-01
2.073409606127083915e+00,2.058944851160049438e-01
2.074022722924121265e+00,2.152829170227050781e-01
2.074633961929487125e+00,2.160484492778778076e-01
2.075243334610289203e+00,2.088097333908081055e-01
2.075850852328914975e+00,2.225456535816192627e-01
2.076456526344302222e+00,2.033189982175827026e-01
2.077060367813194031e+00,2.099612355232238770e-01
2.077662387791369358e+00,1.990870684385299683e-01
2.078262597234859399e+00,2.135840356349945068e-01
2.078861007001141736e+00,1.967489421367645264e-01
2.079457627850320289e+00,2.135720551013946533e-01
2.080052470446287050e+00,2.232397794723510742e-01
2.080645545357864279e+00,2.292358726263046265e-01
2.081236863059930275e+00,1.965475827455520630e-01
2.081826433934533149e+00,1.989017575979232788e-01
2.082414268271981062e+00,2.305215001106262207e-01
2.083000376271920029e+00,2.158336937427520752e-01
2.083584768044398849e+00,2.251466661691665649e-01
2.084167453610912268e+00,2.064776122570037842e-01
2.084748442905433929e+00,2.122541069984436035e-01
2.085327745775431563e+00,2.177962511777877808e-01
2.085905371982868406e+00,1.952591687440872192e-01
2.086481331205192635e+00,2.086112946271896362e-01
2.087055633036305924e+00,2.281562238931655884e-01
2.087628286987526227e+00,1.988059729337692261e-01
2.088199302488531028e+00,2.076384276151657104e-01
2.088768688888289038e+00,2.100654244422912598e-01
2.089336455455979458e+00,2.122559696435928345e-01
2.089902611381897035e+00,2.154536992311477661e-01
2.090467165778343794e+00,2.237645983695983887e-01
2.091030127680510109e+00,2.291620820760726929e-01
2.091591506047341564e+00,2.119370251893997192e-01
2.092151309762395606e+00,2.076785266399383545e-01
2.092709547634684419e+00,2.038179486989974976e-01
2.093266228399504936e+00,2.294028848409652710e-01
2.093821360719262170e+00,2.009393572807312012e-01
