# kappa, accuracy
0.000000000000000000e+00,5.018699765205383301e-01
9.210707989433813969e-01,5.155499577522277832e-01
1.058415565979264672e+00,5.264099836349487305e-01
1.139005228160300254e+00,5.370399951934814453e-01
1.196253694725734062e+00,5.448399782180786133e-01
1.240688117799590540e+00,5.530999898910522461e-01
1.277008630590693139e+00,5.595200061798095703e-01
1.307725885090061269e+00,5.634700059890747070e-01
1.334339888601303148e+00,5.674499869346618652e-01
1.357818810482550376e+00,5.706300139427185059e-01
1.378824036130510411e+00,5.731899738311767578e-01
1.397827486692581500e+00,5.752699971199035645e-01
1.415177719247023846e+00,5.762400031089782715e-01
1.431139499267823245e+00,5.772599577903747559e-01
1.445918676977552719e+00,5.782600045204162598e-01
1.459678466437120070e+00,5.788599848747253418e-01
1.472550463461573589e+00,5.795199871063232422e-01
1.484642319470039773e+00,5.802800059318542480e-01
1.496043219833828708e+00,5.806599855422973633e-01
1.506827879863180897e+00,5.807699561119079590e-01
1.517059515147959337e+00,5.802899599075317383e-01
1.526792086788825831e+00,5.814899802207946777e-01
1.536072024080806564e+00,5.824300050735473633e-01
1.544939564120350273e+00,5.827899575233459473e-01
1.553429806220453457e+00,5.831800103187561035e-01
1.561573551026200768e+00,5.834999680519104004e-01
1.569397975021439295e+00,5.836600065231323242e-01
1.576927177717586392e+00,5.841199755668640137e-01
1.584182629317100854e+00,5.841099619865417480e-01
1.591183539813873393e+00,5.841499567031860352e-01
1.597947165516033996e+00,5.846300125122070312e-01
1.604489065306085038e+00,5.847799777984619141e-01
1.610823316215407086e+00,5.846499800682067871e-01
1.616962695826608565e+00,5.845400094985961914e-01
1.622918837446631901e+00,5.843600034713745117e-01
1.628702362787312508e+00,5.846099853515625000e-01
1.634322995955807878e+00,5.849300026893615723e-01
1.639789661827873557e+00,5.847199559211730957e-01
1.645110571303191271e+00,5.848099589347839355e-01
1.650293295487454293e+00,5.852000117301940918e-01
1.655344830483473251e+00,5.854499936103820801e-01
1.660271654182753576e+00,5.855299830436706543e-01
1.665079776214243301e+00,5.853999853134155273e-01
1.669774782016413495e+00,5.851299762725830078e-01
1.674361871843319971e+00,5.853499770164489746e-01
1.678845895387777620e+00,5.856499671936035156e-01
1.683231382599649217e+00,5.855299830436706543e-01
1.687522571190242848e+00,5.853700041770935059e-01
1.691723431241440867e+00,5.854699611663818359e-01
1.695837687277760075e+00,5.851899981498718262e-01
1.699868838108882008e+00,5.846799612045288086e-01
1.703820174707556534e+00,5.843600034713745117e-01
1.707694796351782118e+00,5.843999981880187988e-01
1.711495625229637607e+00,5.850299596786499023e-01
1.715225419679174745e+00,5.847899913787841797e-01
1.718886786213655649e+00,5.849399566650390625e-01
1.722482190463445306e+00,5.855599641799926758e-01
1.726013967149605755e+00,5.849899649620056152e-01
1.729484329190235981e+00,5.849199891090393066e-01
1.732895376028507961e+00,5.845999717712402344e-01
1.736249101260878280e+00,5.847799777984619141e-01
1.739547399634886915e+00,5.848000049591064453e-01
1.742792073478041992e+00,5.847499966621398926e-01
1.745984838612407053e+00,5.846599936485290527e-01
1.749127329803487063e+00,5.845299959182739258e-01
1.752221105786730737e+00,5.846799612045288086e-01
1.755267653910345782e+00,5.848399996757507324e-01
1.758268394429037818e+00,5.848199725151062012e-01
1.761224684479710145e+00,5.847600102424621582e-01
1.764137821766970315e+00,5.850499868392944336e-01
1.767009047983508774e+00,5.845899581909179688e-01
1.769839551987902881e+00,5.850299596786499023e-01
1.772630472760203801e+00,5.846899747848510742e-01
1.775382902153703313e+00,5.847499966621398926e-01
1.778097887459507476e+00,5.848199725151062012e-01
1.780776433799001524e+00,5.850600004196166992e-01
1.783419506357879936e+00,5.849899649620056152e-01
1.786028032474164418e+00,5.848000049591064453e-01
1.788602903591522741e+00,5.846499800682067871e-01
1.791144977088170664e+00,5.852499604225158691e-01
1.793655077990760960e+00,5.850299596786499023e-01
1.796134000581817824e+00,5.851399898529052734e-01
1.798582509908563720e+00,5.848399996757507324e-01
1.801001343200308025e+00,5.849899649620056152e-01
1.803391211200960020e+00,5.848699808120727539e-01
1.805752799422705834e+00,5.848500132560729980e-01
1.808086769326367138e+00,5.844199657440185547e-01
1.810393759433541305e+00,5.850600004196166992e-01
1.812674386375187519e+00,5.852900147438049316e-01
1.814929245880977815e+00,5.853199958801269531e-01
1.817158913713378565e+00,5.855900049209594727e-01
1.819363946550124345e+00,5.856899619102478027e-01
1.821544882818478372e+00,5.854399800300598145e-01
1.823702243484393248e+00,5.853899717330932617e-01
1.825836532799476997e+00,5.854899883270263672e-01
1.827948239008435616e+00,5.852000117301940918e-01
1.830037835019482806e+00,5.853399634361267090e-01
1.832105779040010818e+00,5.858100056648254395e-01
1.834152515179666043e+00,5.855500102043151855e-01
1.836178474022814644e+00,5.854299664497375488e-01
1.838184073172240973e+00,5.856099724769592285e-01
1.840169717765796076e+00,5.859000086784362793e-01
1.842135800967600545e+00,5.858399868011474609e-01
1.844082704435283437e+00,5.854699611663818359e-01
1.846010798764654792e+00,5.856800079345703125e-01
1.847920443913098065e+00,5.850999951362609863e-01
1.849811989602900608e+00,5.851299762725830078e-01
1.851685775705649739e+00,5.851799845695495605e-01
1.853542132608748894e+00,5.856999754905700684e-01
1.855381381565045507e+00,5.851399898529052734e-01
1.857203835026494776e+00,5.853899717330932617e-01
1.859009796962725725e+00,5.859400033950805664e-01
1.860799563165324244e+00,5.853899717330932617e-01
1.862573421538591179e+00,5.855999588966369629e-01
1.864331652377491988e+00,5.859000086784362793e-01
1.866074528633472562e+00,5.861999988555908203e-01
