# Iterations, accuracy
0.000000000000000000e+00,5.550799965858459473e-01
3.115384615384615245e+04,5.417900085449218750e-01
6.230769230769230489e+04,5.722500085830688477e-01
9.346153846153845370e+04,5.893899798393249512e-01
1.246153846153846098e+05,5.985199809074401855e-01
1.557692307692307513e+05,6.046099662780761719e-01
1.869230769230769074e+05,6.094399690628051758e-01
2.180769230769230635e+05,6.144199967384338379e-01
2.492307692307692196e+05,6.200799942016601562e-01
2.803846153846153757e+05,6.229900121688842773e-01
3.115384615384615026e+05,6.271199584007263184e-01
3.426923076923076878e+05,6.297199726104736328e-01
3.738461538461538148e+05,6.312800049781799316e-01
4.050000000000000000e+05,6.345199942588806152e-01
4.361538461538461270e+05,6.363499760627746582e-01
4.673076923076923122e+05,6.382399797439575195e-01
4.984615384615384392e+05,6.403599977493286133e-01
5.296153846153846243e+05,6.436199545860290527e-01
5.607692307692307513e+05,6.466299891471862793e-01
5.919230769230768783e+05,6.485599875450134277e-01
6.230769230769230053e+05,6.491599678993225098e-01
6.542307692307692487e+05,6.515499949455261230e-01
6.853846153846153757e+05,6.540099978446960449e-01
7.165384615384615026e+05,6.542499661445617676e-01
7.476923076923076296e+05,6.559999585151672363e-01
7.788461538461537566e+05,6.579899787902832031e-01
8.100000000000000000e+05,6.587600111961364746e-01
