# Iterations, training_loss
0.000000000000000000e+00,2.500112354755401611e-01
3.026785714285714130e+04,2.267725169658660889e-01
6.053571428571428260e+04,2.159240841865539551e-01
9.080357142857142026e+04,1.880475580692291260e-01
1.210714285714285652e+05,1.573823839426040649e-01
1.513392857142857101e+05,1.549289673566818237e-01
1.816071428571428405e+05,8.206674456596374512e-02
2.118750000000000000e+05,7.294460386037826538e-02
2.421428571428571304e+05,7.292567193508148193e-02
2.724107142857142608e+05,8.064065873622894287e-02
3.026785714285714203e+05,7.841110229492187500e-02
3.329464285714285797e+05,6.679648160934448242e-02
3.632142857142856810e+05,2.122929319739341736e-02
3.934821428571428405e+05,5.011849850416183472e-02
4.237500000000000000e+05,4.651782289147377014e-02
4.540178571428571013e+05,4.819714277982711792e-02
4.842857142857142608e+05,5.211355164647102356e-02
5.145535714285714203e+05,1.708751916885375977e-02
5.448214285714285215e+05,2.911526151001453400e-02
5.750892857142856810e+05,1.123315561562776566e-02
6.053571428571428405e+05,2.928025461733341217e-02
6.356250000000000000e+05,2.530393563210964203e-02
6.658928571428571595e+05,1.330980751663446426e-02
6.961607142857142026e+05,1.467894297093153000e-02
7.264285714285713620e+05,1.853325404226779938e-02
7.566964285714285215e+05,1.462476421147584915e-02
7.869642857142856810e+05,1.876634359359741211e-02
8.172321428571428405e+05,1.464314386248588562e-02
8.475000000000000000e+05,1.008042320609092712e-02
8.777678571428570431e+05,9.431257843971252441e-03
9.080357142857142026e+05,2.038990706205368042e-02
9.383035714285713620e+05,2.063217572867870331e-02
9.685714285714285215e+05,1.197839993983507156e-02
9.988392857142856810e+05,5.321079399436712265e-03
1.029107142857142841e+06,1.001900620758533478e-02
1.059375000000000000e+06,7.734870538115501404e-03
1.089642857142857043e+06,5.329808685928583145e-03
1.119910714285714319e+06,9.740826673805713654e-03
1.150178571428571362e+06,1.831925846636295319e-02
1.180446428571428405e+06,3.859913209453225136e-03
1.210714285714285681e+06,3.731709672138094902e-03
1.240982142857142724e+06,6.681422237306833267e-03
1.271250000000000000e+06,2.285803668200969696e-03
1.301517857142857043e+06,6.822152063250541687e-03
1.331785714285714319e+06,5.178059451282024384e-03
1.362053571428571362e+06,6.303334143012762070e-03
1.392321428571428405e+06,2.721257973462343216e-03
1.422589285714285681e+06,5.553200840950012207e-03
1.452857142857142724e+06,2.942107850685715675e-03
1.483125000000000000e+06,6.321674212813377380e-03
1.513392857142857043e+06,7.808364462107419968e-03
1.543660714285714319e+06,8.093754760921001434e-03
1.573928571428571362e+06,2.611881820484995842e-03
1.604196428571428405e+06,2.302712062373757362e-03
1.634464285714285681e+06,1.149448682554066181e-03
1.664732142857142724e+06,1.376909087412059307e-03
1.695000000000000000e+06,3.257269738242030144e-03
1.725267857142857043e+06,1.231951406225562096e-03
1.755535714285714086e+06,6.519737653434276581e-03
1.785803571428571362e+06,3.417926607653498650e-03
1.816071428571428405e+06,1.506666187196969986e-03
1.846339285714285681e+06,3.140151035040616989e-03
1.876607142857142724e+06,2.458937931805849075e-03
1.906875000000000000e+06,5.243564955890178680e-04
1.937142857142857043e+06,9.710008162073791027e-04
1.967410714285714086e+06,1.105540082789957523e-03
1.997678571428571362e+06,5.747078103013336658e-04
2.027946428571428405e+06,9.395585511811077595e-04
2.058214285714285681e+06,1.863160985521972179e-03
2.088482142857142724e+06,2.409395296126604080e-03
2.118750000000000000e+06,1.696551451459527016e-03
2.149017857142856810e+06,3.103766124695539474e-03
2.179285714285714086e+06,3.455662634223699570e-03
2.209553571428571362e+06,4.631591145880520344e-04
2.239821428571428638e+06,6.865981267765164375e-04
2.270089285714285448e+06,2.869193267542868853e-04
2.300357142857142724e+06,3.453159879427403212e-04
2.330625000000000000e+06,1.363211544230580330e-03
2.360892857142856810e+06,8.453307673335075378e-04
2.391160714285714086e+06,8.836850174702703953e-04
2.421428571428571362e+06,1.054172636941075325e-03
2.451696428571428638e+06,4.008862015325576067e-04
2.481964285714285448e+06,4.124109691474586725e-04
2.512232142857142724e+06,7.708568591624498367e-04
2.542500000000000000e+06,1.822317281039431691e-04
2.572767857142856810e+06,1.814565912354737520e-04
2.603035714285714086e+06,4.487695405259728432e-04
2.633303571428571362e+06,1.057139597833156586e-03
2.663571428571428638e+06,1.446566020604223013e-04
2.693839285714285448e+06,3.518470912240445614e-04
2.724107142857142724e+06,1.425912341801449656e-04
2.754375000000000000e+06,1.131130193243734539e-04
2.784642857142856810e+06,1.417370367562398314e-04
2.814910714285714086e+06,1.573859917698428035e-04
2.845178571428571362e+06,4.179387760814279318e-04
2.875446428571428638e+06,1.433190423995256424e-03
2.905714285714285448e+06,2.645804197527468204e-04
2.935982142857142724e+06,1.030061044730246067e-03
2.966250000000000000e+06,7.490450661862269044e-05
2.996517857142856810e+06,2.107002510456368327e-04
3.026785714285714086e+06,1.198189711431041360e-04
3.057053571428571362e+06,1.118975415010936558e-04
3.087321428571428638e+06,1.481227373005822301e-04
3.117589285714285448e+06,8.680093742441385984e-05
3.147857142857142724e+06,8.543239528080448508e-05
3.178125000000000000e+06,3.047225472982972860e-04
3.208392857142856810e+06,1.121044333558529615e-04
3.238660714285714086e+06,2.675970790733117610e-05
3.268928571428571362e+06,4.346068599261343479e-04
3.299196428571428172e+06,1.706367911538109183e-04
3.329464285714285448e+06,1.497619232395663857e-04
3.359732142857142724e+06,1.419101317878812551e-04
3.390000000000000000e+06,1.521303966001141816e-05
