# Iterations, accuracy
0.000000000000000000e+00,5.213999748229980469e-01
8.131147540983606632e+03,5.195999741554260254e-01
1.626229508196721326e+04,5.212999582290649414e-01
2.439344262295082081e+04,5.209999680519104004e-01
3.252459016393442653e+04,5.220999717712402344e-01
4.065573770491803589e+04,5.213999748229980469e-01
4.878688524590164161e+04,5.210999846458435059e-01
5.691803278688524733e+04,5.232999920845031738e-01
6.504918032786885306e+04,5.248000025749206543e-01
7.318032786885245878e+04,5.210999846458435059e-01
8.131147540983607178e+04,5.199999809265136719e-01
8.944262295081967022e+04,5.220000147819519043e-01
9.757377049180328322e+04,5.234999656677246094e-01
1.057049180327868817e+05,5.220000147819519043e-01
1.138360655737704947e+05,5.220000147819519043e-01
1.219672131147540931e+05,5.243999958038330078e-01
1.300983606557377061e+05,5.231999754905700684e-01
1.382295081967213191e+05,5.227999687194824219e-01
1.463606557377049176e+05,5.212000012397766113e-01
1.544918032786885160e+05,5.225999951362609863e-01
1.626229508196721436e+05,5.203999876976013184e-01
1.707540983606557420e+05,5.217999815940856934e-01
1.788852459016393404e+05,5.220000147819519043e-01
1.870163934426229389e+05,5.224999785423278809e-01
1.951475409836065664e+05,5.241999626159667969e-01
2.032786885245901649e+05,5.214999914169311523e-01
2.114098360655737633e+05,5.236999988555908203e-01
2.195409836065573909e+05,5.216000080108642578e-01
2.276721311475409893e+05,5.220999717712402344e-01
2.358032786885245878e+05,5.212000012397766113e-01
2.439344262295081862e+05,5.241999626159667969e-01
2.520655737704918138e+05,5.205999612808227539e-01
2.601967213114754122e+05,5.224999785423278809e-01
2.683278688524590107e+05,5.230000019073486328e-01
2.764590163934426382e+05,5.202000141143798828e-01
2.845901639344262076e+05,5.216999650001525879e-01
2.927213114754098351e+05,5.216999650001525879e-01
3.008524590163934627e+05,5.223999619483947754e-01
3.089836065573770320e+05,5.216999650001525879e-01
3.171147540983606596e+05,5.223000049591064453e-01
3.252459016393442871e+05,5.227999687194824219e-01
3.333770491803278564e+05,5.206999778747558594e-01
3.415081967213114840e+05,5.220999717712402344e-01
3.496393442622951115e+05,5.223000049591064453e-01
3.577704918032786809e+05,5.227999687194824219e-01
3.659016393442623084e+05,5.212000012397766113e-01
3.740327868852458778e+05,5.223999619483947754e-01
3.821639344262295053e+05,5.220000147819519043e-01
3.902950819672131329e+05,5.224999785423278809e-01
3.984262295081967022e+05,5.217999815940856934e-01
4.065573770491803298e+05,5.223999619483947754e-01
4.146885245901639573e+05,5.209999680519104004e-01
4.228196721311475267e+05,5.227000117301940918e-01
4.309508196721311542e+05,5.242999792098999023e-01
4.390819672131147818e+05,5.223999619483947754e-01
4.472131147540983511e+05,5.207999944686889648e-01
4.553442622950819787e+05,5.223000049591064453e-01
4.634754098360656062e+05,5.224999785423278809e-01
4.716065573770491756e+05,5.223000049591064453e-01
4.797377049180328031e+05,5.224999785423278809e-01
4.878688524590163724e+05,5.234999656677246094e-01
4.960000000000000000e+05,5.220999717712402344e-01
