# kappa, training_loss
0.000000000000000000e+00,2.503399848937988281e-01
5.206998959395950921e-01,2.079307436943054199e-01
6.611133699336338987e-01,1.409238427877426147e-01
7.456846295246856160e-01,6.703224033117294312e-02
8.063957417200539046e-01,2.062568254768848419e-02
8.537889201019315255e-01,5.859883967787027359e-03
8.926687621223435842e-01,2.316814614459872246e-03
9.256330280013400635e-01,1.291176537051796913e-03
9.542463698776132430e-01,8.955030352808535099e-04
9.795245619015878757e-01,6.995743024162948132e-04
1.002164556885065005e+00,5.814585019834339619e-04
1.022665362873522055e+00,4.997235955670475960e-04
1.041396561548595390e+00,4.379272577352821827e-04
1.058639526684127752e+00,3.885896294377744198e-04
1.074613437300041108e+00,3.479219449218362570e-04
1.089492356454762501e+00,3.137326857540756464e-04
1.103416822431876332e+00,2.845775452442467213e-04
1.116501941031758482e+00,2.594709221739321947e-04
1.128843174533127547e+00,2.376689371885731816e-04
1.140520571853016696e+00,2.186031779274344444e-04
1.151601917957515875e+00,2.018128143390640616e-04
1.162145117817732221e+00,1.869459665613248944e-04
1.172200027849651383e+00,1.737188722472637892e-04
1.181809881718806299e+00,1.618873211555182934e-04
1.191012413762267741e+00,1.512680173618718982e-04
1.199840753861507903e+00,1.416980376234278083e-04
1.208324147386770964e+00,1.330351660726591945e-04
1.216488539707442307e+00,1.251629582839086652e-04
1.224357054736056716e+00,1.179870232590474188e-04
1.231950389754471020e+00,1.114292972488328815e-04
1.239287143504678834e+00,1.054190797731280327e-04
1.246384090638718467e+00,9.989447426050901413e-05
1.253256412719263357e+00,9.480436710873618722e-05
1.259917893772556807e+00,9.010559733724221587e-05
1.266381086727240701e+00,8.575811079936102033e-05
1.272657455790466186e+00,8.172638627002015710e-05
1.278757498818853477e+00,7.797979924362152815e-05
1.284690852965388652e+00,7.449172699125483632e-05
1.290466386272196786e+00,7.123813702492043376e-05
1.296092277394697678e+00,6.819789268774911761e-05
1.301576085256146431e+00,6.535321881528943777e-05
1.306924810121249836e+00,6.268730794545263052e-05
1.312144947326943090e+00,6.018545172992162406e-05
1.317242534704885948e+00,5.783411324955523014e-05
1.322223194564081439e+00,5.562085789279080927e-05
1.327092170965665119e+00,5.353516462491825223e-05
1.331854362909505651e+00,5.156724728294648230e-05
1.336514353959143531e+00,4.970797090209089220e-05
1.341076438754140066e+00,4.794959750142879784e-05
1.345544646794209598e+00,4.628484748536720872e-05
1.349922763825242455e+00,4.470689236768521369e-05
1.354214351111651560e+00,4.320974039728753269e-05
1.358422762840872045e+00,4.178803283139131963e-05
1.362551161873128969e+00,4.043666922370903194e-05
1.366602534021740922e+00,3.915104025509208441e-05
1.370579701025471664e+00,3.792689676629379392e-05
1.374485332354108191e+00,3.676016422105021775e-05
1.378321955970970958e+00,3.564705912140198052e-05
1.382091968161031303e+00,3.458438004599884152e-05
1.385797642520325557e+00,3.356916204211302102e-05
1.389441138191111591e+00,3.259867662563920021e-05
1.393024507417460534e+00,3.167017712257802486e-05
1.396549702487487332e+00,3.078126610489562154e-05
1.400018582121012933e+00,2.992965892190113664e-05
1.403432917354990872e+00,2.911343472078442574e-05
1.406794396973345407e+00,2.833040707628242671e-05
1.410104632522902746e+00,2.757858783297706395e-05
1.413365162952704646e+00,2.685653817025013268e-05
1.416577458910139198e+00,2.616270103317219764e-05
1.419742926723907894e+00,2.549565033405087888e-05
1.422862912100830046e+00,2.485405639163218439e-05
1.425938703560806209e+00,2.423666774120647460e-05
1.428971535631884615e+00,2.364216197747737169e-05
1.431962591825261200e+00,2.306944588781334460e-05
1.434913007408154417e+00,2.251734440505970269e-05
1.437823871990812075e+00,2.198482980020344257e-05
1.440696231942405925e+00,2.147093437088187784e-05
1.443531092649215752e+00,2.097488504659850150e-05
1.446329420627298745e+00,2.049581962637603283e-05
1.449092145500757267e+00,2.003295594477094710e-05
1.451820161855728264e+00,1.958557186299003661e-05
1.454514330979356895e+00,1.915299799293279648e-05
1.457175482492202523e+00,1.873451219580601901e-05
1.459804415881828410e+00,1.832957605074625462e-05
1.462401901944657245e+00,1.793754381651524454e-05
1.464968684142608835e+00,1.755793891788925976e-05
1.467505479880487407e+00,1.719015926937572658e-05
1.470012981709611921e+00,1.683375921857077628e-05
1.472491858462741110e+00,1.648824763833545148e-05
1.474942756324948201e+00,1.615315704839304090e-05
1.477366299844730779e+00,1.582808181410655379e-05
1.479763092889317733e+00,1.551260902488138527e-05
1.482133719547828798e+00,1.520644764241296798e-05
1.484478744985660015e+00,1.490925205871462822e-05
1.486798716253233010e+00,1.462060299672884867e-05
1.489094163051988939e+00,1.434020396118285134e-05
1.491365598460323127e+00,1.406776846124557778e-05
1.493613519621940444e+00,1.380289177177473903e-05
1.495838408398945774e+00,1.354534651909489185e-05
1.498040731991814756e+00,1.329478163825115189e-05
1.500220943528238537e+00,1.305101068282965571e-05
1.502379482622702378e+00,1.281370623473776504e-05
1.504516775908523174e+00,1.258272004633909091e-05
1.506633237543957948e+00,1.235782929143169895e-05
1.508729269693885877e+00,1.213878385897260159e-05
1.510805262988464293e+00,1.192545641970355064e-05
1.512861596960065169e+00,1.171764324681134894e-05
1.514898640459719781e+00,1.151516607933444902e-05
1.516916752054207729e+00,1.131778026319807395e-05
1.518916280404865482e+00,1.112533846026053652e-05
1.520897564629110299e+00,1.093763785320334136e-05
1.522860934645622333e+00,1.075456293619936332e-05
1.524806711504059109e+00,1.057594181474996731e-05
1.526735207700129049e+00,1.040166807797504589e-05
1.528646727476797418e+00,1.023153436108259484e-05
1.530541567112348345e+00,1.006541970127727836e-05
1.532420015195989027e+00,9.903238606057129800e-06
1.534282352891633616e+00,9.744859198690392077e-06
1.536128854190472737e+00,9.590131412551272660e-06
1.537959786152892638e+00,9.438952474738471210e-06
1.539775409140282658e+00,9.291234164265915751e-06
1.541575977037230372e+00,9.146835509454831481e-06
1.543361737464579608e+00,9.005682841234374791e-06
1.545132931983801416e+00,8.867687029123771936e-06
1.546889796293093866e+00,8.732748028705827892e-06
1.548632560415615700e+00,8.600769433542154729e-06
1.550361448880223758e+00,8.471666660625487566e-06
1.552076680895074778e+00,8.345319656655192375e-06
1.553778470514420418e+00,8.221675670938566327e-06
1.555467026798922348e+00,8.100651939457748085e-06
1.557142553969776744e+00,7.982168426678981632e-06
1.558805251556942162e+00,7.866144187573809177e-06
1.560455314541733030e+00,7.752503734081983566e-06
1.562092933494037439e+00,7.641201591468416154e-06
1.563718294704398382e+00,7.532177733082789928e-06
1.565331580311188686e+00,7.425362127833068371e-06
1.566932968423098371e+00,7.320712029468268156e-06
1.568522633237134922e+00,7.218153314170194790e-06
1.570100745152338328e+00,7.117635050235548988e-06
1.571667470879393180e+00,7.019089025561697781e-06
1.573222973546314130e+00,6.922492957528447732e-06
1.574767412800373245e+00,6.827776815043762326e-06
1.576300944906428469e+00,6.734902399330167100e-06
