# Iterations, training_loss
0.000000000000000000e+00,4.692084221158410173e-11
8.131147540983606632e+03,2.135455657789608885e-12
1.626229508196721326e+04,7.409883795959915087e-13
2.439344262295082081e+04,7.586679765317350110e-13
3.252459016393442653e+04,7.691114455379843839e-13
4.065573770491803589e+04,8.736069593423545498e-13
4.878688524590164161e+04,1.037660517407001937e-12
5.691803278688524733e+04,5.036375938516357564e-08
6.504918032786885306e+04,4.364301986470309203e-08
7.318032786885245878e+04,1.284750734617534640e-12
8.131147540983607178e+04,3.444524310225460795e-08
8.944262295081967022e+04,3.115933466801834584e-08
9.757377049180328322e+04,2.844564406245808641e-08
1.057049180327868817e+05,2.616650540687714965e-08
1.138360655737704947e+05,2.422541101054775936e-08
1.219672131147540931e+05,2.255183950694572559e-08
1.300983606557377061e+05,2.109465491173523333e-08
1.382295081967213191e+05,1.981406860807055637e-08
1.463606557377049176e+05,1.867914001252302114e-08
1.544918032786885160e+05,1.766758117582867271e-08
1.626229508196721436e+05,1.676045613407950441e-08
1.707540983606557420e+05,1.594126963766484550e-08
1.788852459016393404e+05,1.519837944385926676e-08
1.870163934426229389e+05,1.452111231259323176e-08
1.951475409836065664e+05,1.390262038825085256e-08
2.032786885245901649e+05,1.333378740753232705e-08
2.114098360655737633e+05,1.280981365425759577e-08
2.195409836065573909e+05,1.232522617300446655e-08
2.276721311475409893e+05,1.187688081216720093e-08
2.358032786885245878e+05,1.145961547877050180e-08
2.439344262295081862e+05,1.107157032720351708e-08
2.520655737704918138e+05,1.070733368635501392e-08
2.601967213114754122e+05,1.036671726240001590e-08
2.683278688524590107e+05,1.004657246284068606e-08
2.764590163934426382e+05,9.745473761313405703e-09
2.845901639344262076e+05,9.462202577026346262e-09
2.927213114754098351e+05,9.194295991221679287e-09
3.008524590163934627e+05,8.941259288519631809e-09
3.089836065573770320e+05,8.701897868945707160e-09
3.171147540983606596e+05,8.475616652958706254e-09
3.252459016393442871e+05,8.260446549002153915e-09
3.333770491803278564e+05,8.056043832027626195e-09
3.415081967213114840e+05,7.862198891928073863e-09
3.496393442622951115e+05,7.677474656020422117e-09
3.577704918032786809e+05,7.501675725052336929e-09
3.659016393442623084e+05,7.333644358453739187e-09
3.740327868852458778e+05,7.173218019573823767e-09
3.821639344262295053e+05,7.020045433847599270e-09
3.902950819672131329e+05,6.873538627161224213e-09
3.984262295081967022e+05,6.733310797812919191e-09
4.065573770491803298e+05,6.598932955625969043e-09
4.146885245901639573e+05,6.469999203062570814e-09
4.228196721311475267e+05,6.345719061329191391e-09
4.309508196721311542e+05,6.226361204397790061e-09
4.390819672131147818e+05,6.111682271381368992e-09
4.472131147540983511e+05,6.000673735684358689e-09
4.553442622950819787e+05,5.894262855576926086e-09
4.634754098360656062e+05,5.790937951388741567e-09
4.716065573770491756e+05,5.691095150694991389e-09
4.797377049180328031e+05,5.594460450453198064e-09
4.878688524590163724e+05,5.501411770580943994e-09
4.960000000000000000e+05,5.411060044480109354e-09
