# kappa, training_loss
0.000000000000000000e+00,2.502321600914001465e-01
5.207407656228661974e-01,2.455229908227920532e-01
6.611561855670844423e-01,2.409998178482055664e-01
7.457281356516661797e-01,2.408079653978347778e-01
8.064396015134541740e-01,2.372637093067169189e-01
8.538329948687074511e-01,2.348387241363525391e-01
8.927129813792809010e-01,2.346225827932357788e-01
9.256773510469150645e-01,2.300358563661575317e-01
9.542907710849634073e-01,2.254677116870880127e-01
9.795690240922781955e-01,2.281083464622497559e-01
1.002209067983171886e+00,2.268686890602111816e-01
1.022709914066888715e+00,2.243425399065017700e-01
1.041441146209899582e+00,2.217207700014114380e-01
1.058684139703755855e+00,2.225808203220367432e-01
1.074658074655532758e+00,2.197193056344985962e-01
1.089537014922821401e+00,2.151053994894027710e-01
1.103461499389821743e+00,2.191532701253890991e-01
1.116546634317028719e+00,2.142342627048492432e-01
1.128887882341597093e+00,2.126723378896713257e-01
1.140565292663930919e+00,2.133324593305587769e-01
1.151646650477098355e+00,2.115750163793563843e-01
1.162189860936155839e+00,2.106460928916931152e-01
1.172244780607744952e+00,2.132198810577392578e-01
1.181854643281965211e+00,2.048245221376419067e-01
1.191057183399781394e+00,2.063784897327423096e-01
1.199885530930000943e+00,2.107902318239212036e-01
1.208368931316819328e+00,2.075196206569671631e-01
1.216533329992657730e+00,2.034554779529571533e-01
1.224401850924114132e+00,1.986694335937500000e-01
1.231995191439676729e+00,2.017794847488403320e-01
1.239331950321773457e+00,1.989647746086120605e-01
1.246428902257677107e+00,1.962402313947677612e-01
1.253301228840904225e+00,1.955062001943588257e-01
1.259962714124814642e+00,1.961703151464462280e-01
1.266425911061985099e+00,1.959874927997589111e-01
1.272702283880774887e+00,1.954038590192794800e-01
1.278802330456661807e+00,1.942439675331115723e-01
1.284735687959456696e+00,1.914102882146835327e-01
1.290511224446343030e+00,1.906165033578872681e-01
1.296137118586258019e+00,1.874459832906723022e-01
1.301620929314626585e+00,1.891260296106338501e-01
1.306969656907140065e+00,1.898142397403717041e-01
1.312189796710675038e+00,1.877586841583251953e-01
1.317287386565910490e+00,1.830042153596878052e-01
1.322268048790049333e+00,1.905713826417922974e-01
1.327137027451700924e+00,1.838885098695755005e-01
1.331899221557558688e+00,1.834667325019836426e-01
1.336559214677408347e+00,1.813299655914306641e-01
1.341121301456537074e+00,1.805250495672225952e-01
1.345589511399919003e+00,1.782953143119812012e-01
1.349967630258283702e+00,1.735443025827407837e-01
1.354259219300504524e+00,1.778809577226638794e-01
1.358467632718135087e+00,1.763376891613006592e-01
1.362596033375208737e+00,1.749885678291320801e-01
1.366647407088570132e+00,1.733027994632720947e-01
1.370624575600253525e+00,1.796211302280426025e-01
1.374530208383083263e+00,1.774647235870361328e-01
1.378366833403204206e+00,1.729828417301177979e-01
1.382136846948217812e+00,1.751858592033386230e-01
1.385842522616612449e+00,1.668255776166915894e-01
1.389486019552934826e+00,1.696151942014694214e-01
1.393069390003395025e+00,1.728899627923965454e-01
1.396594586258109061e+00,1.695897281169891357e-01
1.400063467038772602e+00,1.676913648843765259e-01
1.403477803384096001e+00,1.632790863513946533e-01
1.406839284079653751e+00,1.665333360433578491e-01
1.410149520673821044e+00,1.698530167341232300e-01
1.413410052117096694e+00,1.627437025308609009e-01
1.416622349058240804e+00,1.619056910276412964e-01
1.419787817827246723e+00,1.611110717058181763e-01
1.422907804132153231e+00,1.624401211738586426e-01
1.425983596494009964e+00,1.620094329118728638e-01
1.429016429441950953e+00,1.605361849069595337e-01
1.432007486488199532e+00,1.587387621402740479e-01
1.434957902900945381e+00,1.574833095073699951e-01
1.437868768291355792e+00,1.572539806365966797e-01
1.440741129029473599e+00,1.562373936176300049e-01
1.443575990502404371e+00,1.523884087800979614e-01
1.446374319226990002e+00,1.577268540859222412e-01
1.449137044828075593e+00,1.561726331710815430e-01
1.451865061892506192e+00,1.551568210124969482e-01
1.454559231708097977e+00,1.524042189121246338e-01
1.457220383896050464e+00,1.516723483800888062e-01
1.459849317944535096e+00,1.479595452547073364e-01
1.462446804650554100e+00,1.506598740816116333e-01
1.465013587476579948e+00,1.447830796241760254e-01
1.467550383827943339e+00,1.444523781538009644e-01
1.470057886256465718e+00,1.461987644433975220e-01
1.472536763595385878e+00,1.467064619064331055e-01
1.474987662030234459e+00,1.499839723110198975e-01
1.477411206109947361e+00,1.433165818452835083e-01
1.479807999702172028e+00,1.431030333042144775e-01
1.482178626896428097e+00,1.463786661624908447e-01
1.484523652858496190e+00,1.478719860315322876e-01
1.486843624639163197e+00,1.434572935104370117e-01
1.489139071940223102e+00,1.400893032550811768e-01
1.491410507840407185e+00,1.445591002702713013e-01
1.493658429483743610e+00,1.417240053415298462e-01
1.495883318732647238e+00,1.438505649566650391e-01
1.498085642787890581e+00,1.415128707885742188e-01
1.500265854777450336e+00,1.463393568992614746e-01
1.502424394316086431e+00,1.375453025102615356e-01
1.504561688037378442e+00,1.366115063428878784e-01
1.506678150099836966e+00,1.373693943023681641e-01
1.508774182668584540e+00,1.358409374952316284e-01
1.510850176374012532e+00,1.403357386589050293e-01
1.512906510748718736e+00,1.349561363458633423e-01
1.514943554643951140e+00,1.352906227111816406e-01
1.516961666626697847e+00,1.331925243139266968e-01
1.518961195358496941e+00,1.310254335403442383e-01
1.520942479956959525e+00,1.328257024288177490e-01
1.522905850340952716e+00,1.306826770305633545e-01
1.524851627560314338e+00,1.291708797216415405e-01
1.526780124110926895e+00,1.308090537786483765e-01
1.528691644235923075e+00,1.311319619417190552e-01
1.530586484213749099e+00,1.335752904415130615e-01
1.532464932633768928e+00,1.278276890516281128e-01
1.534327270660047482e+00,1.303545534610748291e-01
1.536173772283921268e+00,1.382180154323577881e-01
1.538004704565917535e+00,1.268526464700698853e-01
1.539820327867562400e+00,1.283953487873077393e-01
1.541620896073574665e+00,1.287614107131958008e-01
1.543406656804926058e+00,1.269863694906234741e-01
1.545177851623210863e+00,1.294573694467544556e-01
1.546934716226746831e+00,1.243725717067718506e-01
1.548677480638807724e+00,1.232721805572509766e-01
1.550406369388362737e+00,1.221047863364219666e-01
1.552121601683676744e+00,1.220238134264945984e-01
1.553823391579106872e+00,1.233914718031883240e-01
1.555511948135416045e+00,1.257907152175903320e-01
1.557187475573899471e+00,1.194695234298706055e-01
1.558850173424610963e+00,1.239661201834678650e-01
1.560500236668957763e+00,1.196350306272506714e-01
1.562137855876917891e+00,1.216644421219825745e-01
1.563763217339121381e+00,1.201820373535156250e-01
1.565376503194026547e+00,1.262902468442916870e-01
1.566977891550404678e+00,1.186802387237548828e-01
1.568567556605343638e+00,1.203874573111534119e-01
1.570145668757960467e+00,1.168588772416114807e-01
1.571712394719015027e+00,1.179419010877609253e-01
1.573267897616595468e+00,1.190931051969528198e-01
1.574812337098044690e+00,1.156914681196212769e-01
1.576345869428289470e+00,1.125897392630577087e-01
1.577868647584720785e+00,1.170074343681335449e-01
1.579380821348770336e+00,1.136766374111175537e-01
1.580882537394320719e+00,1.188282817602157593e-01
1.582373939373079574e+00,1.143125593662261963e-01
1.583855167997040958e+00,1.166531592607498169e-01
1.585326361118154725e+00,1.140267476439476013e-01
1.586787653805314058e+00,1.127613261342048645e-01
1.588239178418769715e+00,1.136929094791412354e-01
1.589681064682075595e+00,1.136716604232788086e-01
1.591113439751657754e+00,1.090141832828521729e-01
1.592536428284107020e+00,1.084721833467483521e-01
