# kappa, training_loss
0.000000000000000000e+00,2.509132325649261475e-01
5.207407656228661974e-01,2.375292629003524780e-01
6.611561855670844423e-01,2.301082909107208252e-01
7.457281356516661797e-01,2.264724671840667725e-01
8.064396015134541740e-01,2.080915868282318115e-01
8.538329948687074511e-01,1.965066045522689819e-01
8.927129813792809010e-01,1.770868003368377686e-01
9.256773510469150645e-01,1.670841127634048462e-01
9.542907710849634073e-01,1.651891171932220459e-01
9.795690240922781955e-01,1.551172137260437012e-01
1.002209067983171886e+00,1.451895236968994141e-01
1.022709914066888715e+00,1.334872096776962280e-01
1.041441146209899582e+00,1.241196170449256897e-01
1.058684139703755855e+00,1.174692064523696899e-01
1.074658074655532758e+00,1.145501807332038879e-01
1.089537014922821401e+00,1.078833639621734619e-01
1.103461499389821743e+00,9.296897053718566895e-02
1.116546634317028719e+00,9.252329915761947632e-02
1.128887882341597093e+00,8.354124426841735840e-02
1.140565292663930919e+00,8.101631700992584229e-02
1.151646650477098355e+00,7.259799540042877197e-02
1.162189860936155839e+00,7.589945942163467407e-02
1.172244780607744952e+00,6.360828876495361328e-02
1.181854643281965211e+00,5.906154215335845947e-02
1.191057183399781394e+00,5.397302657365798950e-02
1.199885530930000943e+00,4.973045364022254944e-02
1.208368931316819328e+00,4.758217930793762207e-02
1.216533329992657730e+00,4.287685826420783997e-02
1.224401850924114132e+00,3.749054297804832458e-02
1.231995191439676729e+00,3.910287469625473022e-02
1.239331950321773457e+00,3.678214922547340393e-02
1.246428902257677107e+00,2.976051159203052521e-02
1.253301228840904225e+00,3.047378547489643097e-02
1.259962714124814642e+00,2.943947724997997284e-02
1.266425911061985099e+00,3.156949579715728760e-02
1.272702283880774887e+00,2.596891671419143677e-02
1.278802330456661807e+00,2.492047101259231567e-02
1.284735687959456696e+00,2.127304486930370331e-02
1.290511224446343030e+00,2.103161811828613281e-02
1.296137118586258019e+00,2.219231799244880676e-02
1.301620929314626585e+00,1.946062408387660980e-02
1.306969656907140065e+00,1.892963796854019165e-02
1.312189796710675038e+00,1.845382712781429291e-02
1.317287386565910490e+00,1.522556040436029434e-02
1.322268048790049333e+00,1.717888563871383667e-02
1.327137027451700924e+00,1.240734104067087173e-02
1.331899221557558688e+00,1.125967223197221756e-02
1.336559214677408347e+00,1.328905671834945679e-02
1.341121301456537074e+00,1.401301100850105286e-02
1.345589511399919003e+00,1.406658161431550980e-02
1.349967630258283702e+00,1.069529633969068527e-02
1.354259219300504524e+00,1.275928411632776260e-02
1.358467632718135087e+00,1.161443069577217102e-02
1.362596033375208737e+00,1.137349009513854980e-02
1.366647407088570132e+00,9.948483668267726898e-03
1.370624575600253525e+00,1.045417133718729019e-02
1.374530208383083263e+00,8.847415447235107422e-03
1.378366833403204206e+00,1.027996931225061417e-02
1.382136846948217812e+00,1.487591303884983063e-02
1.385842522616612449e+00,1.066384185105562210e-02
1.389486019552934826e+00,1.143922097980976105e-02
1.393069390003395025e+00,1.196436211466789246e-02
1.396594586258109061e+00,8.261401206254959106e-03
1.400063467038772602e+00,7.508965674787759781e-03
1.403477803384096001e+00,1.014427095651626587e-02
1.406839284079653751e+00,5.910602398216724396e-03
1.410149520673821044e+00,1.152687054127454758e-02
1.413410052117096694e+00,1.280841976404190063e-02
1.416622349058240804e+00,8.017806336283683777e-03
1.419787817827246723e+00,8.542397059500217438e-03
1.422907804132153231e+00,8.513699285686016083e-03
1.425983596494009964e+00,9.025155566632747650e-03
1.429016429441950953e+00,9.887288324534893036e-03
1.432007486488199532e+00,1.108621712774038315e-02
1.434957902900945381e+00,7.591401692479848862e-03
1.437868768291355792e+00,9.625106118619441986e-03
1.440741129029473599e+00,8.897221647202968597e-03
1.443575990502404371e+00,8.064841851592063904e-03
1.446374319226990002e+00,8.176920004189014435e-03
1.449137044828075593e+00,6.664431653916835785e-03
1.451865061892506192e+00,7.420529145747423172e-03
1.454559231708097977e+00,5.920684896409511566e-03
1.457220383896050464e+00,1.088808383792638779e-02
1.459849317944535096e+00,7.223663385957479477e-03
1.462446804650554100e+00,1.009709946811199188e-02
1.465013587476579948e+00,1.074918452650308609e-02
1.467550383827943339e+00,7.930855266749858856e-03
1.470057886256465718e+00,1.004913542419672012e-02
1.472536763595385878e+00,7.880669087171554565e-03
1.474987662030234459e+00,7.868370041251182556e-03
1.477411206109947361e+00,6.440029013901948929e-03
1.479807999702172028e+00,6.367798894643783569e-03
1.482178626896428097e+00,7.084656041115522385e-03
1.484523652858496190e+00,8.465323597192764282e-03
1.486843624639163197e+00,7.035625632852315903e-03
1.489139071940223102e+00,7.031992077827453613e-03
1.491410507840407185e+00,7.578898221254348755e-03
1.493658429483743610e+00,1.404389273375272751e-02
1.495883318732647238e+00,7.023146841675043106e-03
1.498085642787890581e+00,7.701578084379434586e-03
1.500265854777450336e+00,6.909511052072048187e-03
1.502424394316086431e+00,9.072324261069297791e-03
1.504561688037378442e+00,6.318665109574794769e-03
1.506678150099836966e+00,6.294965744018554688e-03
1.508774182668584540e+00,7.647132035344839096e-03
1.510850176374012532e+00,5.550028290599584579e-03
1.512906510748718736e+00,7.659073919057846069e-03
1.514943554643951140e+00,8.312288671731948853e-03
1.516961666626697847e+00,6.557615939527750015e-03
1.518961195358496941e+00,5.530932918190956116e-03
1.520942479956959525e+00,7.636520080268383026e-03
1.522905850340952716e+00,5.478882696479558945e-03
1.524851627560314338e+00,8.987828157842159271e-03
1.526780124110926895e+00,6.599142681807279587e-03
1.528691644235923075e+00,9.694155305624008179e-03
1.530586484213749099e+00,4.732117988169193268e-03
1.532464932633768928e+00,4.004003014415502548e-03
1.534327270660047482e+00,7.527369540184736252e-03
1.536173772283921268e+00,8.931498974561691284e-03
1.538004704565917535e+00,5.380945280194282532e-03
1.539820327867562400e+00,2.516319509595632553e-03
1.541620896073574665e+00,1.032357476651668549e-02
1.543406656804926058e+00,6.753026507794857025e-03
1.545177851623210863e+00,3.218047786504030228e-03
1.546934716226746831e+00,6.022771354764699936e-03
1.548677480638807724e+00,5.314242094755172729e-03
1.550406369388362737e+00,9.575297124683856964e-03
1.552121601683676744e+00,6.723384372889995575e-03
1.553823391579106872e+00,8.835694752633571625e-03
1.555511948135416045e+00,8.115462958812713623e-03
1.557187475573899471e+00,7.410962134599685669e-03
1.558850173424610963e+00,1.022777520120143890e-02
1.560500236668957763e+00,3.845878876745700836e-03
1.562137855876917891e+00,1.024025864899158478e-02
1.563763217339121381e+00,5.261426791548728943e-03
1.565376503194026547e+00,9.515098296105861664e-03
1.566977891550404678e+00,1.162148732692003250e-02
1.568567556605343638e+00,2.403568709269165993e-03
1.570145668757960467e+00,6.646076682955026627e-03
1.571712394719015027e+00,6.663186009973287582e-03
1.573267897616595468e+00,3.828193293884396553e-03
1.574812337098044690e+00,8.773868903517723083e-03
1.576345869428289470e+00,7.354130037128925323e-03
1.577868647584720785e+00,5.916793365031480789e-03
1.579380821348770336e+00,3.091043094173073769e-03
1.580882537394320719e+00,7.324071601033210754e-03
1.582373939373079574e+00,7.336893584579229355e-03
1.583855167997040958e+00,5.912711843848228455e-03
1.585326361118154725e+00,2.372496295720338821e-03
1.586787653805314058e+00,8.737068623304367065e-03
1.588239178418769715e+00,5.901112221181392670e-03
1.589681064682075595e+00,7.317876908928155899e-03
1.591113439751657754e+00,1.657001557759940624e-03
1.592536428284107020e+00,6.591944023966789246e-03
1.593950152501281359e+00,6.584451999515295029e-03
1.595354732253299046e+00,5.184160079807043076e-03
1.596750285079510778e+00,7.298190612345933914e-03
1.598136926267524904e+00,5.153857171535491943e-03
1.599514768910359042e+00,7.293173111975193024e-03
1.600883923961788469e+00,6.584371440112590790e-03
1.602244500289964124e+00,7.287271320819854736e-03
