# kappa, accuracy
0.000000000000000000e+00,5.151799917221069336e-01
5.497648722894667994e-01,5.987399816513061523e-01
6.971046459305659804e-01,6.109699606895446777e-01
7.857997667173517442e-01,6.113699674606323242e-01
8.494571692931464080e-01,6.478199958801269531e-01
8.991442566539268322e-01,7.179399728775024414e-01
9.399027851655752386e-01,7.541499733924865723e-01
9.744580375537114092e-01,8.289499878883361816e-01
1.004451189481552209e+00,8.708899617195129395e-01
1.030947561419641278e+00,8.886399865150451660e-01
1.054678032467782023e+00,8.903599977493286133e-01
1.076165862731797151e+00,9.082300066947937012e-01
1.095798572695109163e+00,9.136899709701538086e-01
1.113871179030038405e+00,9.161499738693237305e-01
1.130613478598159194e+00,9.144899845123291016e-01
1.146207960344254539e+00,9.140799641609191895e-01
1.160801961172892804e+00,9.178299903869628906e-01
1.174516152038537875e+00,9.190499782562255859e-01
1.187450608347683678e+00,9.188500046730041504e-01
1.199689245602707510e+00,9.192900061607360840e-01
1.211303121684470518e+00,9.194299578666687012e-01
1.222352936448533045e+00,9.196099638938903809e-01
1.232890951951296943e+00,9.195899963378906250e-01
1.242962487339229982e+00,9.196099638938903809e-01
1.252607096677681220e+00,9.195899963378906250e-01
1.261859507142914838e+00,9.194499850273132324e-01
1.270750373803621658e+00,9.196299910545349121e-01
1.279306892404485252e+00,9.195699691772460938e-01
1.287553301049815691e+00,9.195199608802795410e-01
1.295511294115219814e+00,9.197099804878234863e-01
1.303200366193353776e+00,9.195899963378906250e-01
1.310638099802978962e+00,9.193699955940246582e-01
1.317840407546758241e+00,9.191699624061584473e-01
1.324821737107062303e+00,9.192399978637695312e-01
1.331595245720020415e+00,9.190899729728698730e-01
1.338172949423744873e+00,9.190999865531921387e-01
1.344565851334649231e+00,9.187899827957153320e-01
1.350784052391701184e+00,9.185499548912048340e-01
1.356836847367684840e+00,9.182999730110168457e-01
1.362732808438663401e+00,9.181999564170837402e-01
1.368479858197622745e+00,9.180799722671508789e-01
1.374085333672936393e+00,9.177899956703186035e-01
1.379556042649574987e+00,9.177100062370300293e-01
1.384898313377596502e+00,9.175699949264526367e-01
1.390118038578276316e+00,9.173299670219421387e-01
1.395220714515278182e+00,9.172799587249755859e-01
1.400211475780432480e+00,9.171199798583984375e-01
1.405095126346064704e+00,9.167199730873107910e-01
1.409876167354633836e+00,9.165999889373779297e-01
1.414558822048594733e+00,9.162299633026123047e-01
1.419147058186536636e+00,9.161499738693237305e-01
