# kappa, training_loss
0.000000000000000000e+00,2.502728700637817383e-01
5.465982710677462775e-01,2.427133768796920776e-01
6.937889895409101726e-01,2.387813627719879150e-01
7.824312572046496772e-01,2.330492585897445679e-01
8.460615962526876199e-01,2.203842997550964355e-01
8.957322357434127635e-01,1.949122995138168335e-01
9.364797101953331593e-01,1.678828299045562744e-01
9.710270228722077679e-01,1.419298797845840454e-01
1.001014195803149098e+00,1.242327615618705750e-01
1.027505902983703256e+00,1.009128466248512268e-01
1.051232633098942548e+00,7.940509170293807983e-02
1.072717396545236124e+00,6.089559942483901978e-02
1.092347546653356316e+00,4.709690436720848083e-02
1.110417983986649482e+00,3.730807453393936157e-02
1.127158422239247892e+00,2.942740172147750854e-02
1.142751289221362043e+00,2.652551233768463135e-02
1.157343875892839158e+00,1.977425813674926758e-02
1.171056818011483092e+00,1.492514740675687790e-02
1.183990163565912246e+00,1.494358200579881668e-02
1.196227806382955672e+00,1.126393303275108337e-02
1.207840786981726033e+00,1.014272402971982956e-02
1.218889791147550028e+00,8.638674393296241760e-03
1.229427069413384199e+00,6.949146278202533722e-03
1.239497931397755881e+00,5.574536509811878204e-03
1.249141923219553973e+00,4.531573969870805740e-03
1.258393765375012352e+00,3.511586226522922516e-03
1.267284107276597460e+00,2.958588534966111183e-03
1.275840139847672194e+00,2.292582998052239418e-03
1.284086097057565823e+00,1.854120753705501556e-03
1.292043669715308818e+00,1.661446411162614822e-03
1.299732349320964486e+00,1.314159249886870384e-03
1.307169715698477175e+00,1.198279554955661297e-03
1.314371679091508760e+00,1.007851911708712578e-03
1.321352685108514891e+00,1.234600553289055824e-03
1.328125889154992301e+00,1.046102028340101242e-03
1.334703305647047644e+00,1.047716592438519001e-03
1.341095936258817733e+00,6.952045368961989880e-04
1.347313880642501349e+00,9.344603749923408031e-04
1.353366432419210508e+00,7.081321091391146183e-04
1.359262162731158741e+00,4.912920994684100151e-04
1.365008993240611979e+00,6.416926044039428234e-04
1.370614260135808893e+00,4.492795269470661879e-04
1.376084770441408311e+00,3.944761119782924652e-04
1.381426851717722171e+00,3.648760030046105385e-04
1.386646396058843322e+00,3.440476139076054096e-04
1.391748899156880714e+00,4.901536158286035061e-04
1.396739495081702698e+00,4.729343345388770103e-04
1.401622987328003944e+00,2.920830447692424059e-04
1.406403876600330838e+00,4.398892633616924286e-04
1.411086385738904214e+00,2.561588480602949858e-04
1.415674482132192269e+00,3.971265396103262901e-04
1.420171897914331405e+00,2.411116147413849831e-04
1.424582148205026710e+00,5.564210587181150913e-04
1.428908547615276747e+00,3.722628171090036631e-04
1.433154225213092658e+00,3.284139093011617661e-04
