# kappa, accuracy
0.000000000000000000e+00,5.008699893951416016e-01
5.226231275451674874e-01,5.873999595642089844e-01
6.631277589276869389e-01,6.056999564170837402e-01
7.477313554583870925e-01,6.056799888610839844e-01
8.084590286048599639e-01,6.059600114822387695e-01
8.558622728277619496e-01,6.713299751281738281e-01
8.947488801502840872e-01,7.092899680137634277e-01
9.277180054819287314e-01,7.396599650382995605e-01
9.563350068739474574e-01,7.690500020980834961e-01
9.816160540815037638e-01,7.987499833106994629e-01
1.004258338838447839e+00,8.261299729347229004e-01
1.024761022010497902e+00,8.565999865531921387e-01
1.043493787578412491e+00,8.541299700736999512e-01
1.060738080377623183e+00,8.768000006675720215e-01
1.076713130329629786e+00,8.764999508857727051e-01
1.091593037910140840e+00,8.844799995422363281e-01
1.105518369523522670e+00,8.871199488639831543e-01
1.118604252512785280e+00,8.837399482727050781e-01
1.130946165938350179e+00,8.882799744606018066e-01
1.142624171984371495e+00,8.885399699211120605e-01
1.153706066243772810e+00,8.892799615859985352e-01
1.164249762299882640e+00,8.896200060844421387e-01
1.174305123622101821e+00,8.898899555206298828e-01
1.183915389707980603e+00,8.900399804115295410e-01
1.193118299758619161e+00,8.900799751281738281e-01
1.201946987744358708e+00,8.898699879646301270e-01
1.210430702497655053e+00,8.897899985313415527e-01
1.218595392339068439e+00,8.897399902343750000e-01
1.226464183712204781e+00,8.893100023269653320e-01
1.234057776082072788e+00,8.891599774360656738e-01
1.241394770083693810e+00,8.890900015830993652e-01
1.248491942018653322e+00,8.885200023651123047e-01
1.255364474893618132e+00,8.884599804878234863e-01
1.262026154004321610e+00,8.883699774742126465e-01
1.268489533399978830e+00,8.878600001335144043e-01
1.274766078280613835e+00,8.875399827957153320e-01
1.280866287385702407e+00,8.871099948883056641e-01
1.286799798655899663e+00,8.868100047111511230e-01
1.292575480838303204e+00,8.863700032234191895e-01
1.298201513221184822e+00,8.861099481582641602e-01
1.303685455297523443e+00,8.859099745750427246e-01
1.309034307846301148e+00,8.857100009918212891e-01
1.314254566669865731e+00,8.853499889373779297e-01
1.319352270022095652e+00,8.850899934768676758e-01
1.324333040595915501e+00,8.849099874496459961e-01
1.329202122802331187e+00,8.846600055694580078e-01
1.333964415960723793e+00,8.842899799346923828e-01
1.338624503927011489e+00,8.841499686241149902e-01
1.343186681608818933e+00,8.839899897575378418e-01
1.347654978752085064e+00,8.838299512863159180e-01
1.352033181329266087e+00,8.837199807167053223e-01
1.356324850813605654e+00,8.833999633789062500e-01
1.360533341585336009e+00,8.829999566078186035e-01
1.364661816682957163e+00,8.828099966049194336e-01
1.368713262084879423e+00,8.824899792671203613e-01
1.372690499682974963e+00,8.823799490928649902e-01
1.376596199089221040e+00,8.820899724960327148e-01
1.380432888399168334e+00,8.817600011825561523e-01
1.384202964020914361e+00,8.812999725341796875e-01
1.387908699665288514e+00,8.809300065040588379e-01
1.391552254581700954e+00,8.807100057601928711e-01
1.395135681114360482e+00,8.803699612617492676e-01
1.398660931645069549e+00,8.802499771118164062e-01
1.402129864981397578e+00,8.799799680709838867e-01
1.405544252242570513e+00,8.798199892044067383e-01
1.408905782289730846e+00,8.796599507331848145e-01
1.412216066742248755e+00,8.794199824333190918e-01
1.415476644617386315e+00,8.792199492454528809e-01
1.418688986626744475e+00,8.790699839591979980e-01
1.421854499159520779e+00,8.788699507713317871e-01
1.424974527979578909e+00,8.786799907684326172e-01
1.428050361660653245e+00,8.784199953079223633e-01
1.431083234781640234e+00,8.782599568367004395e-01
1.434074330901801364e+00,8.779699802398681641e-01
1.437024785333826271e+00,8.778199553489685059e-01
1.439935687731011216e+00,8.776199817657470703e-01
1.442808084503314658e+00,8.774199485778808594e-01
1.445642981075686340e+00,8.772799968719482422e-01
1.448441344000873654e+00,8.770599961280822754e-01
1.451204102937812435e+00,8.768900036811828613e-01
1.453932152505734710e+00,8.767600059509277344e-01
1.456626354023247583e+00,8.764799833297729492e-01
1.459287537140841140e+00,8.762999773025512695e-01
1.461916501374566302e+00,8.761599659919738770e-01
1.464514017547980052e+00,8.760100007057189941e-01
1.467080829148860843e+00,8.757999539375305176e-01
1.469617653606669849e+00,8.756399750709533691e-01
1.472125183496250544e+00,8.755699992179870605e-01
1.474604087672819253e+00,8.754299879074096680e-01
1.477055012342896934e+00,8.752699494361877441e-01
1.479478582075477222e+00,8.751099705696105957e-01
1.481875400757385997e+00,8.749399781227111816e-01
1.484246052496487778e+00,8.748399615287780762e-01
1.486591102476119142e+00,8.747499585151672363e-01
1.488911097763878200e+00,8.746100068092346191e-01
1.491206568077661387e+00,8.744799494743347168e-01
1.493478026511633638e+00,8.743399977684020996e-01
1.495725970224620394e+00,8.741999864578247070e-01
1.497950881093229825e+00,8.740800023078918457e-01
1.500153226331855771e+00,8.739599585533142090e-01
1.502333459081552025e+00,8.738399744033813477e-01
1.504492018969637135e+00,8.737899661064147949e-01
1.506629332641758134e+00,8.736599683761596680e-01
