# kappa, accuracy
0.000000000000000000e+00,2.189999967813491821e-01
3.607913735827152357e-01,3.810000121593475342e-01
4.578650611941412207e-01,3.483999967575073242e-01
5.163211535504090843e-01,3.885999917984008789e-01
5.582815848396145419e-01,4.368000030517578125e-01
5.910358735635660166e-01,5.041999816894531250e-01
6.179056768845888614e-01,5.382000207901000977e-01
6.406867854979796384e-01,5.159999728202819824e-01
6.604607501469554887e-01,6.718000173568725586e-01
6.779296828775002171e-01,6.646000146865844727e-01
6.935753069805021820e-01,6.205999851226806641e-01
7.077425199695974722e-01,6.615999937057495117e-01
7.206867586562243355e-01,6.949999928474426270e-01
7.326024913627140478e-01,6.984000205993652344e-01
7.436411989277905699e-01,7.017999887466430664e-01
7.539231797308288963e-01,6.945999860763549805e-01
7.635455614551864834e-01,7.062000036239624023e-01
7.725878943298287727e-01,7.057999968528747559e-01
7.811161522868090845e-01,7.031999826431274414e-01
7.891856566798888251e-01,7.110000252723693848e-01
7.968432530047611095e-01,7.075999975204467773e-01
8.041289585555041475e-01,7.156000137329101562e-01
8.110772282002224332e-01,7.034000158309936523e-01
8.177179397983180831e-01,7.134000062942504883e-01
8.240771706254679252e-01,7.148000001907348633e-01
8.301778158379746753e-01,7.071999907493591309e-01
8.360400860371794973e-01,7.062000036239624023e-01
8.416819112308652207e-01,7.116000056266784668e-01
8.471192715582582800e-01,6.898000240325927734e-01
8.523664701556161738e-01,7.210000157356262207e-01
8.574363598996822544e-01,7.184000015258789062e-01
8.623405330790576695e-01,7.206000089645385742e-01
8.670894810372181682e-01,7.099999785423278809e-01
8.716927293173458713e-01,7.229999899864196777e-01
8.761589526862394450e-01,7.092000246047973633e-01
8.804960735284208528e-01,7.200000286102294922e-01
8.847113464146841855e-01,7.211999893188476562e-01
8.888114311126972256e-01,7.056000232696533203e-01
8.928024558848723924e-01,7.242000102996826172e-01
8.966900725839306308e-01,7.152000069618225098e-01
9.004795047894543769e-01,7.224000096321105957e-01
9.041755900142682822e-01,7.074000239372253418e-01
9.077828168362889194e-01,7.243999838829040527e-01
9.113053576708222137e-01,7.074000239372253418e-01
9.147470977834586403e-01,7.214000225067138672e-01
9.181116610494818309e-01,7.265999913215637207e-01
9.214024328880145998e-01,7.246000170707702637e-01
9.246225807347844272e-01,7.242000102996826172e-01
9.277750723638514829e-01,7.192000150680541992e-01
9.308626923239391449e-01,7.160000205039978027e-01
9.338880567174939751e-01,7.250000238418579102e-01
9.368536265190456902e-01,7.289999723434448242e-01
9.397617196027540087e-01,7.215999960899353027e-01
9.426145216264198989e-01,7.287999987602233887e-01
9.454140958999981414e-01,7.152000069618225098e-01
9.481623923502293660e-01,7.207999825477600098e-01
9.508612556789529657e-01,7.250000238418579102e-01
9.535124328005929462e-01,7.275999784469604492e-01
9.561175796339207444e-01,7.287999987602233887e-01
9.586782673142187905e-01,7.304000258445739746e-01
9.611959878842077920e-01,7.260000109672546387e-01
9.636721595153528996e-01,7.296000123023986816e-01
9.661081313052987118e-01,7.271999716758728027e-01
9.685051876920687253e-01,7.268000245094299316e-01
9.708645525211856420e-01,7.192000150680541992e-01
9.731873927979588501e-01,7.286000251770019531e-01
9.754748221537344888e-01,7.106000185012817383e-01
9.777279040518848108e-01,7.301999926567077637e-01
9.799476547566373652e-01,7.170000076293945312e-01
9.821350460854925135e-01,7.247999906539916992e-01
9.842910079638849119e-01,7.325999736785888672e-01
9.864164307989006231e-01,7.218000292778015137e-01
9.885121676872130614e-01,7.289999723434448242e-01
9.905790364709403661e-01,7.279999852180480957e-01
9.926178216538242838e-01,7.274000048637390137e-01
9.946292761889651279e-01,7.278000116348266602e-01
9.966141231483097718e-01,7.336000204086303711e-01
9.985730572831525986e-01,7.229999899864196777e-01
1.000506746484080889e+00,7.206000089645385742e-01
1.002415833148038615e+00,7.228000164031982422e-01
1.004300935459512711e+00,7.271999716758728027e-01
1.006162648592233033e+00,7.324000000953674316e-01
1.008001545837233337e+00,7.336000204086303711e-01
1.009818179662620885e+00,7.342000007629394531e-01
1.011613082709959643e+00,7.297999858856201172e-01
1.013386768731757481e+00,7.332000136375427246e-01
1.015139733474192729e+00,7.282000184059143066e-01
1.016872455508869066e+00,7.261999845504760742e-01
1.018585397017091942e+00,7.315999865531921387e-01
1.020279004529884626e+00,7.351999878883361816e-01
1.021953709626702400e+00,7.322000265121459961e-01
1.023609929595587387e+00,7.340000271797180176e-01
1.025248068057282413e+00,7.206000089645385742e-01
1.026868515555646511e+00,7.238000035285949707e-01
1.028471650116527192e+00,7.261999845504760742e-01
1.030057837777091478e+00,7.301999926567077637e-01
1.031627433087473289e+00,7.315999865531921387e-01
1.033180779586450271e+00,7.318000197410583496e-01
1.034718210252754123e+00,7.300000190734863281e-01
1.036240047933490560e+00,7.332000136375427246e-01
1.037746605751052709e+00,7.355999946594238281e-01
1.039238187489809340e+00,7.318000197410583496e-01
1.040715087963760555e+00,7.202000021934509277e-01
1.042177593366276245e+00,7.346000075340270996e-01
1.043625981602954944e+00,7.296000123023986816e-01
1.045060522608570075e+00,7.271999716758728027e-01
1.046481478649008867e+00,7.318000197410583496e-01
1.047889104609047939e+00,7.347999811172485352e-01
1.049283648266755797e+00,7.324000000953674316e-01
1.050665350555261890e+00,7.260000109672546387e-01
1.052034445812580987e+00,7.355999946594238281e-01
1.053391162020146155e+00,7.337999939918518066e-01
1.054735721030651163e+00,7.346000075340270996e-01
1.056068338785776328e+00,7.214000225067138672e-01
1.057389225524332010e+00,7.337999939918518066e-01
1.058698585981318274e+00,7.369999885559082031e-01
1.059996619578375654e+00,7.369999885559082031e-01
1.061283520606069120e+00,7.361999750137329102e-01
1.062559478398419799e+00,7.337999939918518066e-01
1.063824677500080362e+00,7.221999764442443848e-01
1.065079297826519555e+00,7.278000116348266602e-01
1.066323514817566709e+00,7.342000007629394531e-01
1.067557499584641301e+00,7.332000136375427246e-01
1.068781419051978432e+00,7.301999926567077637e-01
1.069995436092141317e+00,7.322000265121459961e-01
1.071199709656094567e+00,7.347999811172485352e-01
1.072394394898100733e+00,7.376000285148620605e-01
1.073579643295682784e+00,7.355999946594238281e-01
1.074755602764885909e+00,7.247999906539916992e-01
1.075922417771057571e+00,7.346000075340270996e-01
1.077080229435355418e+00,7.324000000953674316e-01
1.078229175637173576e+00,7.292000055313110352e-01
1.079369391112681154e+00,7.275999784469604492e-01
1.080501007549642178e+00,7.324000000953674316e-01
1.081624153678688360e+00,7.315999865531921387e-01
1.082738955361201461e+00,7.368000149726867676e-01
1.083845535673952476e+00,7.300000190734863281e-01
1.084944014990646188e+00,7.369999885559082031e-01
1.086034511060500307e+00,7.148000001907348633e-01
