# kappa, training_loss
0.000000000000000000e+00,8.949791640043258667e-02
3.598397420851124906e-01,8.959753066301345825e-02
4.568682746971494679e-01,9.030727297067642212e-02
5.153083478088966718e-01,7.794103026390075684e-02
5.572605748284004124e-01,7.262693345546722412e-02
5.900098768780496217e-01,7.317385077476501465e-02
6.168763285996778922e-01,6.998354196548461914e-02
6.396550297756549153e-01,6.654600799083709717e-02
6.594271814435123114e-01,7.503472268581390381e-02
6.768946996666183047e-01,7.548949867486953735e-02
6.925391893729826442e-01,7.378761470317840576e-02
7.067054723680816775e-01,7.228624075651168823e-02
7.196489347834549299e-01,7.106010615825653076e-02
7.315640097367519523e-01,7.058452069759368896e-02
7.426021528494228807e-01,7.179384678602218628e-02
7.528836439638056932e-01,6.954631209373474121e-02
7.625055968318024124e-01,7.245494425296783447e-02
7.715475510098137590e-01,6.798315048217773438e-02
7.800754721159546268e-01,7.013326138257980347e-02
7.881446749312214228e-01,6.983239948749542236e-02
7.958019996865787204e-01,6.899173557758331299e-02
8.030874594094471464e-01,6.954897940158843994e-02
8.100355054735315363e-01,7.400014996528625488e-02
8.166760128489356507e-01,7.389229536056518555e-02
8.230350564015969095e-01,7.215489447116851807e-02
8.291355292621062079e-01,7.346767187118530273e-02
8.349976403165514371e-01,6.991119682788848877e-02
8.406393181106395218e-01,7.024403661489486694e-02
8.460765415296483960e-01,6.885486841201782227e-02
8.513236126282535121e-01,7.163588702678680420e-02
8.563933833453493127e-01,7.044310867786407471e-02
8.612974451523136565e-01,6.953915208578109741e-02
8.660462886772343216e-01,7.032305747270584106e-02
8.706494388343587465e-01,7.293937355279922485e-02
8.751155698353269008e-01,7.443507015705108643e-02
8.794526035727682212e-01,7.004932314157485962e-02
8.836677941800884506e-01,7.325343042612075806e-02
8.877678010347254123e-01,6.999322026968002319e-02
8.917587520498310161e-01,6.384284049272537231e-02
8.956462987645956719e-01,6.259718537330627441e-02
8.994356644763463748e-01,6.225451827049255371e-02
9.031316864431235825e-01,6.095561757683753967e-02
9.067388530122663104e-01,5.775251239538192749e-02
9.102613363899031418e-01,6.370130926370620728e-02
9.137030216514201442e-01,6.074926629662513733e-02
9.170675324987659360e-01,5.779395624995231628e-02
9.203582541927689542e-01,6.488738209009170532e-02
9.235783540243049927e-01,6.024444475769996643e-02
9.267307996346294541e-01,6.265752017498016357e-02
9.298183754504789622e-01,6.244109198451042175e-02
9.328436974620538669e-01,5.747979879379272461e-02
9.358092265404239773e-01,6.149769946932792664e-02
9.387172804642313073e-01,6.531035155057907104e-02
9.415700448029558078e-01,6.068773567676544189e-02
9.443695827847609081e-01,6.326333433389663696e-02
9.471178442605338033e-01,6.013749167323112488e-02
9.498166738616683480e-01,5.967950448393821716e-02
9.524678184370788392e-01,6.161288917064666748e-02
9.550729338445362870e-01,5.689324811100959778e-02
9.576335911624520580e-01,6.086044386029243469e-02
9.601512823804604357e-01,6.130455061793327332e-02
9.626274256204155888e-01,5.970561131834983826e-02
9.650633699335472437e-01,6.218048185110092163e-02
9.674603997144052281e-01,6.591190397739410400e-02
9.698197387677529591e-01,6.094557791948318481e-02
9.721425540606437599e-01,6.164759397506713867e-02
9.744299591884830747e-01,5.849128216505050659e-02
9.766830175808454140e-01,6.179682910442352295e-02
9.789027454701453301e-01,6.155965849757194519e-02
9.810901146439114928e-01,6.167362630367279053e-02
9.832460549993179422e-01,6.272348761558532715e-02
9.853714569167796311e-01,6.123434379696846008e-02
9.874671734677782364e-01,5.941997095942497253e-02
9.895340224706188348e-01,6.155489757657051086e-02
9.915727884065158593e-01,6.042689457535743713e-02
9.935842242072421282e-01,6.314395368099212646e-02
9.955690529245373455e-01,5.997330322861671448e-02
9.975279692905381079e-01,6.139828637242317200e-02
9.994616411776543474e-01,6.257852911949157715e-02
1.001370710965572508e+00,6.321560591459274292e-02
1.003255796822383417e+00,6.102433428168296814e-02
1.005117493906229065e+00,6.142505258321762085e-02
1.006956375493315736e+00,5.971905961632728577e-02
1.008772994037636428e+00,6.142360344529151917e-02
1.010567882167312082e+00,6.301023066043853760e-02
1.012341553622039925e+00,6.396651268005371094e-02
1.014094504135782282e+00,5.855301395058631897e-02
1.015827212268487933e+00,5.788532644510269165e-02
1.017540140190336784e+00,6.184092164039611816e-02
1.019233734421725712e+00,6.259685754776000977e-02
1.020908426531955682e+00,5.920045450329780579e-02
1.022564633799360134e+00,6.049696728587150574e-02
1.024202759835395327e+00,6.042448803782463074e-02
1.025823195175032065e+00,5.906451866030693054e-02
1.027426317835607783e+00,6.237816438078880310e-02
1.029012493846137355e+00,6.254608929157257080e-02
1.030582077748941838e+00,6.230382248759269714e-02
1.032135413075308206e+00,6.072532758116722107e-02
1.033672832796781904e+00,5.739824473857879639e-02
1.035194659753573720e+00,6.126936897635459900e-02
1.036701207061456964e+00,5.929268524050712585e-02
1.038192778498441937e+00,6.339250504970550537e-02
1.039669668872419628e+00,6.194302439689636230e-02
1.041132164370888402e+00,5.901642516255378723e-02
1.042580542893800422e+00,5.787955224514007568e-02
1.044015074370497675e+00,6.173622980713844299e-02
1.045436021061640686e+00,6.127961724996566772e-02
1.046843637846974540e+00,5.910054594278335571e-02
1.048238172499722731e+00,5.974949523806571960e-02
1.049619865948346442e+00,5.858653783798217773e-02
1.050988952526363152e+00,6.199296191334724426e-02
1.052345660210869616e+00,5.989130213856697083e-02
1.053690210850377618e+00,5.565740913152694702e-02
1.055022820382535143e+00,5.865807086229324341e-02
1.056343699042259443e+00,5.920017138123512268e-02
1.057653051560794033e+00,6.274706870317459106e-02
1.058951077356152570e+00,6.024215742945671082e-02
1.060237970715395717e+00,6.282564997673034668e-02
1.061513920969160418e+00,6.217595562338829041e-02
1.062779112658827740e+00,6.230973824858665466e-02
1.064033725696704735e+00,5.923693999648094177e-02
1.065277935519562513e+00,6.407461315393447876e-02
1.066511913235862918e+00,5.919063463807106018e-02
1.067735825766980007e+00,6.208233535289764404e-02
1.068949835982707652e+00,6.104504317045211792e-02
1.070154102831329501e+00,6.124684587121009827e-02
1.071348781464512623e+00,6.276345252990722656e-02
1.072534023357265998e+00,6.209812313318252563e-02
1.073709976423199208e+00,5.776971578598022461e-02
1.074876785125300271e+00,6.277929991483688354e-02
1.076034590582438666e+00,6.061027944087982178e-02
1.077183530671791400e+00,6.163885444402694702e-02
1.078323740127376418e+00,6.008739396929740906e-02
1.079455350634872302e+00,6.032504141330718994e-02
1.080578490922887491e+00,6.076920405030250549e-02
1.081693286850839320e+00,5.880811065435409546e-02
1.082799861493592974e+00,6.210517510771751404e-02
1.083898335223002940e+00,5.632193386554718018e-02
1.084988825786490141e+00,5.879726633429527283e-02
1.086071448382784244e+00,5.932970717549324036e-02
1.087146315734955238e+00,5.974960699677467346e-02
1.088213538160844207e+00,5.825241655111312866e-02
1.089273223641010757e+00,6.049781292676925659e-02
1.090325477884295902e+00,5.797135829925537109e-02
1.091370404391101889e+00,6.067482382059097290e-02
1.092408104514484668e+00,5.943804979324340820e-02
1.093438677519148472e+00,6.458430737257003784e-02
1.094462220638427130e+00,6.325688213109970093e-02
1.095478829129337139e+00,6.133067235350608826e-02
1.096488596325775333e+00,5.976822972297668457e-02
1.097491613689941969e+00,6.220367550849914551e-02
1.098487970862052521e+00,6.259030848741531372e-02
1.099477755708414328e+00,5.808983370661735535e-02
1.100461054367924518e+00,6.028209254145622253e-02
1.101437951297055129e+00,5.865088850259780884e-02
1.102408529313384289e+00,6.497985869646072388e-02
1.103372869637728293e+00,5.940810218453407288e-02
1.104331051934926755e+00,6.026177853345870972e-02
1.105283154353336128e+00,6.253147125244140625e-02
1.106229253563076886e+00,5.859492346644401550e-02
1.107169424793082335e+00,6.178179010748863220e-02
1.108103741866995007e+00,5.564472079277038574e-02
1.109032277237950392e+00,5.943927168846130371e-02
1.109955102022293527e+00,5.862515419721603394e-02
1.110872286032263512e+00,6.160973012447357178e-02
1.111783897807684829e+00,5.982363969087600708e-02
1.112690004646703867e+00,6.188439950346946716e-02
1.113590672635599965e+00,6.592240184545516968e-02
1.114485966677710271e+00,5.948534980416297913e-02
1.115375950521493520e+00,6.307452917098999023e-02
1.116260686787770240e+00,6.128994747996330261e-02
1.117140236996160274e+00,6.217454001307487488e-02
1.118014661590753800e+00,5.970651283860206604e-02
1.118884019965036059e+00,6.077221781015396118e-02
1.119748370486095990e+00,5.958363413810729980e-02
1.120607770518139867e+00,6.190390512347221375e-02
1.121462276445337469e+00,6.091767922043800354e-02
1.122311943694019210e+00,6.172836944460868835e-02
1.123156826754249771e+00,5.913390964269638062e-02
1.123996979200797997e+00,5.939652398228645325e-02
1.124832453713520808e+00,6.295545399188995361e-02
1.125663302097186014e+00,6.359279900789260864e-02
1.126489575300747337e+00,6.196862459182739258e-02
1.127311323436090307e+00,6.184118613600730896e-02
1.128128595796271449e+00,6.184313073754310608e-02
1.128941440873260316e+00,5.974488332867622375e-02
1.129749906375204338e+00,6.047699972987174988e-02
1.130554039243231390e+00,5.942971259355545044e-02
1.131353885667804704e+00,6.161474063992500305e-02
1.132149491104642802e+00,6.012998521327972412e-02
