# kappa, training_loss
0.000000000000000000e+00,8.437576144933700562e-02
3.598378498403630443e-01,7.201301306486129761e-02
4.568662923660499198e-01,6.867146492004394531e-02
5.153063335121217392e-01,6.552530080080032349e-02
5.572585441590535149e-01,6.932884454727172852e-02
5.900078362567772183e-01,6.200017407536506653e-02
6.168742812894192351e-01,6.494175642728805542e-02
6.396529776606380002e-01,6.910870224237442017e-02
6.594251257101004793e-01,6.289245933294296265e-02
6.768926411100654184e-01,6.478324532508850098e-02
6.925371285523278519e-01,6.215635314583778381e-02
7.067034096912722108e-01,6.211598590016365051e-02
7.196468705572935942e-01,6.435931473970413208e-02
7.315619441977816440e-01,6.375596672296524048e-02
7.426000861838578659e-01,6.317138671875000000e-02
7.528815763208640544e-01,6.878399848937988281e-02
7.625035283328975844e-01,6.249860301613807678e-02
7.715454817550585487e-01,6.277101486921310425e-02
7.800734021888686698e-01,5.912236496806144714e-02
7.881426044022057376e-01,6.851042807102203369e-02
7.957999286155269525e-01,6.372395157814025879e-02
8.030853878477370866e-01,6.446665525436401367e-02
8.100334334655667767e-01,6.518586724996566772e-02
8.166739404333530628e-01,6.526233255863189697e-02
8.230329836122237674e-01,6.158100813627243042e-02
8.291334561287264648e-01,6.238342449069023132e-02
8.349955668655258956e-01,6.345076858997344971e-02
8.406372443654106519e-01,6.395890563726425171e-02
8.460744675111560031e-01,6.370237469673156738e-02
8.513215383552784621e-01,6.256328523159027100e-02
8.563913088348009683e-01,6.009884551167488098e-02
8.612953704194700189e-01,6.153564527630805969e-02
8.660442137359455339e-01,6.239895522594451904e-02
8.706473636972197339e-01,6.119549646973609924e-02
8.751134945138243637e-01,6.672713905572891235e-02
8.794505280774073119e-01,6.263782083988189697e-02
8.836657185205012421e-01,6.089124456048011780e-02
8.877657252197650450e-01,6.388361006975173950e-02
8.917566760876534104e-01,6.151032447814941406e-02
8.956442226627313596e-01,6.203513592481613159e-02
8.994335882417621164e-01,6.122701615095138550e-02
9.031296100822778783e-01,6.412075459957122803e-02
9.067367765311573624e-01,6.964775174856185913e-02
9.102592597941114860e-01,6.003945320844650269e-02
9.137009449461468424e-01,6.238402426242828369e-02
9.170654556888661046e-01,6.056943163275718689e-02
9.203561772827816290e-01,6.008919328451156616e-02
9.235762770184803294e-01,6.587988138198852539e-02
9.267287225369522652e-01,6.354105472564697266e-02
9.298162982646906993e-01,6.016509607434272766e-02
9.328416201916720496e-01,6.317004561424255371e-02
9.358071491887591797e-01,5.968280881643295288e-02
9.387152030344042553e-01,6.163251772522926331e-02
9.415679672979101467e-01,6.129048019647598267e-02
9.443675052072774134e-01,5.649440363049507141e-02
9.471157666132418163e-01,6.161016225814819336e-02
9.498145961470567666e-01,6.291741877794265747e-02
9.524657406575054441e-01,5.984644964337348938e-02
9.550708560022374005e-01,6.103036925196647644e-02
9.576315132595500934e-01,6.172923743724822998e-02
9.601492044189724462e-01,6.135564297437667847e-02
9.626253476022591515e-01,6.152649968862533569e-02
9.650612918605472323e-01,5.959628894925117493e-02
9.674583215883003628e-01,6.477675586938858032e-02
9.698176605901999148e-01,5.840003490447998047e-02
9.721404758332230500e-01,6.146965920925140381e-02
9.744278809127039365e-01,6.452756375074386597e-02
9.766809392581488058e-01,5.806766822934150696e-02
9.789006671019092609e-01,6.160928308963775635e-02
9.810880362314543524e-01,6.147797778248786926e-02
9.832439765439009438e-01,6.439366191625595093e-02
9.853693784196114747e-01,6.446018815040588379e-02
9.874650949300168845e-01,6.160686165094375610e-02
9.895319438933750655e-01,5.691212043166160583e-02
9.915707097908553758e-01,6.435753405094146729e-02
9.935821455541877789e-01,6.216659396886825562e-02
9.955669742350721219e-01,6.408860534429550171e-02
9.975258905656064767e-01,6.524423509836196899e-02
9.994595624181644711e-01,6.003814563155174255e-02
1.001368632172398243e+00,6.157557293772697449e-02
1.003253717996365646e+00,6.233180686831474304e-02
1.005115415048178029e+00,6.124386191368103027e-02
1.006954296604011478e+00,6.627167016267776489e-02
1.008770915117831457e+00,6.121297180652618408e-02
1.010565803217731373e+00,6.402613222599029541e-02
1.012339474643383586e+00,6.293854862451553345e-02
1.014092425128725550e+00,6.240752339363098145e-02
1.015825133233682731e+00,6.166874244809150696e-02
1.017538061128413496e+00,6.282065063714981079e-02
1.019231655333292519e+00,6.025360524654388428e-02
1.020906347417601445e+00,6.006171554327011108e-02
1.022562554659653955e+00,5.988823622465133667e-02
1.024200680670887653e+00,6.112811341881752014e-02
1.025821115986255583e+00,5.985638499259948730e-02
1.027424238623078301e+00,6.167922541499137878e-02
1.029010414610354696e+00,6.442945450544357300e-02
1.030579998490389615e+00,6.151065975427627563e-02
1.032133333794455377e+00,6.344074755907058716e-02
1.033670753494083439e+00,6.102996319532394409e-02
1.035192580429470155e+00,5.948926135897636414e-02
1.036699127716376179e+00,6.022543460130691528e-02
1.038190699132798711e+00,6.088516116142272949e-02
1.039667589486616972e+00,6.134652718901634216e-02
1.041130084965317337e+00,6.391357630491256714e-02
1.042578463468840644e+00,6.381134688854217529e-02
1.044012994926518223e+00,6.020265072584152222e-02
1.045433941599000160e+00,6.064710021018981934e-02
1.046841558366021330e+00,5.800722166895866394e-02
1.048236093000795455e+00,6.116933748126029968e-02
1.049617786431774835e+00,6.223146989941596985e-02
1.050986872992467847e+00,6.395272165536880493e-02
1.052343580659962141e+00,6.162936240434646606e-02
1.053688131282761953e+00,6.050948426127433777e-02
1.055020740798506163e+00,6.099096685647964478e-02
1.056341619442105140e+00,6.107399612665176392e-02
1.057650971944794849e+00,5.902922153472900391e-02
1.058948997724580954e+00,5.859193578362464905e-02
1.060235891068517899e+00,6.225667893886566162e-02
1.061511841307235748e+00,6.223816424608230591e-02
1.062777032982108683e+00,6.356937438249588013e-02
1.064031646005437537e+00,6.107160449028015137e-02
1.065275855813987649e+00,6.206825748085975647e-02
1.066509833516214867e+00,6.012289971113204956e-02
1.067733746033487474e+00,5.854938179254531860e-02
1.068947756235593127e+00,6.075491383671760559e-02
1.070152023070811476e+00,6.174644455313682556e-02
1.071346701690803371e+00,5.993181467056274414e-02
1.072531943570573132e+00,5.734589695930480957e-02
1.073707896623725455e+00,6.296230852603912354e-02
1.074874705313243695e+00,6.119088828563690186e-02
1.076032510757992666e+00,6.102867051959037781e-02
1.077181450835144716e+00,6.043529137969017029e-02
1.078321660278714011e+00,6.582938879728317261e-02
1.079453270774374696e+00,5.757054314017295837e-02
1.080576411050731211e+00,6.112541258335113525e-02
1.081691206967196894e+00,6.366916745901107788e-02
1.082797781598633158e+00,6.306288391351699829e-02
1.083896255316890933e+00,6.319472938776016235e-02
1.084986745869387370e+00,6.181132420897483826e-02
1.086069368454848805e+00,6.000205501914024353e-02
1.087144235796341674e+00,6.254724413156509399e-02
1.088211458211703953e+00,6.309834122657775879e-02
1.089271143681492138e+00,6.208120658993721008e-02
1.090323397914543913e+00,6.243545934557914734e-02
1.091368324411258417e+00,6.106207892298698425e-02
1.092406024524688712e+00,6.289257854223251343e-02
1.093436597519536368e+00,6.441575288772583008e-02
1.094460140629132550e+00,6.063894554972648621e-02
1.095476749110490644e+00,6.340406090021133423e-02
1.096486516297505265e+00,6.353227049112319946e-02
1.097489533652373339e+00,6.170539930462837219e-02
1.098485890815309007e+00,6.070823594927787781e-02
1.099475675652616280e+00,5.994638055562973022e-02
1.100458974303190285e+00,6.106798350811004639e-02
1.101435871223500618e+00,6.390093266963958740e-02
1.102406449231123409e+00,6.097651273012161255e-02
1.103370789546872288e+00,6.097319722175598145e-02
1.104328971835585316e+00,5.882265046238899231e-02
1.105281074245616502e+00,5.995917692780494690e-02
1.106227173447084544e+00,6.024768576025962830e-02
1.107167344668920528e+00,5.946785584092140198e-02
1.108101661734765209e+00,5.893125757575035095e-02
1.109030197097751858e+00,5.970940738916397095e-02
1.109953021874224399e+00,5.883659422397613525e-02
1.110870205876419270e+00,6.548231840133666992e-02
1.111781817644159842e+00,6.210168823599815369e-02
1.112687924475590728e+00,6.246264651417732239e-02
1.113588592456989490e+00,6.495249271392822266e-02
1.114483886491691500e+00,6.305509060621261597e-02
1.115373870328154382e+00,6.189620122313499451e-02
1.116258606587196445e+00,6.232386827468872070e-02
1.117138156788436643e+00,5.803208053112030029e-02
1.118012581375963377e+00,6.420813500881195068e-02
1.118881939743260334e+00,6.106898561120033264e-02
1.119746290257415344e+00,6.327606737613677979e-02
1.120605690282633127e+00,6.033720448613166809e-02
1.121460196203082349e+00,5.610110610723495483e-02
1.122309863445091649e+00,6.285917013883590698e-02
1.123154746498724821e+00,6.074784696102142334e-02
1.123994898938749154e+00,6.110312789678573608e-02
1.124830373445020681e+00,6.251145154237747192e-02
1.125661221822306102e+00,6.171549856662750244e-02
1.126487495019556917e+00,5.830511078238487244e-02
1.127309243148658879e+00,6.177594512701034546e-02
1.128126515502666960e+00,6.258962303400039673e-02
1.128939360573549378e+00,5.783192813396453857e-02
1.129747826069452454e+00,6.358613073825836182e-02
1.130551958931503176e+00,6.330624222755432129e-02
1.131351805350163442e+00,5.938395857810974121e-02
1.132147410781151331e+00,5.964148044586181641e-02
1.132938819960942034e+00,5.831709131598472595e-02
1.133726076921862225e+00,6.105958670377731323e-02
1.134509225006790745e+00,5.927280709147453308e-02
1.135288306883477816e+00,6.373675167560577393e-02
1.136063364558493438e+00,5.941352248191833496e-02
1.136834439390818741e+00,5.848665907979011536e-02
1.137601572105088721e+00,6.479907035827636719e-02
1.138364802804499476e+00,6.046068668365478516e-02
1.139124170983387030e+00,6.542133539915084839e-02
1.139879715539491967e+00,6.568446755409240723e-02
1.140631474785913202e+00,6.243847683072090149e-02
1.141379486462768433e+00,6.149867177009582520e-02
1.142123787748561270e+00,6.218940392136573792e-02
1.142864415271269474e+00,5.888096988201141357e-02
1.143601405119162528e+00,6.116969883441925049e-02
1.144334792851351423e+00,5.801249295473098755e-02
1.145064613508084195e+00,6.232932955026626587e-02
1.145790901620791891e+00,5.950793623924255371e-02
1.146513691221893172e+00,5.939490348100662231e-02
1.147233015854361771e+00,6.124211475253105164e-02
1.147948908581068572e+00,6.168848276138305664e-02
1.148661401993899212e+00,6.004464626312255859e-02
1.149370528222658061e+00,6.203413382172584534e-02
1.150076318943762610e+00,6.250731647014617920e-02
1.150778805388733117e+00,5.863224714994430542e-02
1.151478018352485755e+00,5.991433188319206238e-02
1.152173988201433241e+00,5.891167372465133667e-02
1.152866744881397398e+00,5.885633453726768494e-02
1.153556317925340968e+00,5.941658467054367065e-02
1.154242736460922902e+00,6.179839000105857849e-02
1.154926029217880012e+00,6.149357929825782776e-02
1.155606224535242976e+00,6.107728928327560425e-02
1.156283350368388918e+00,6.282600760459899902e-02
1.156957434295934783e+00,6.144124269485473633e-02
1.157628503526478170e+00,6.218165159225463867e-02
1.158296584905186721e+00,5.888429284095764160e-02
1.158961704920241864e+00,6.020879745483398438e-02
1.159623889709141098e+00,6.443265825510025024e-02
1.160283165064860400e+00,6.203322485089302063e-02
