# kappa, training_loss
0.000000000000000000e+00,8.693061023950576782e-02
3.598181221554299092e-01,7.243277132511138916e-02
4.568456254108309578e-01,6.815800070762634277e-02
5.152853332705771283e-01,6.052234768867492676e-02
5.572373732105135868e-01,6.240614876151084900e-02
5.899865615453721013e-01,6.011905893683433533e-02
6.168529368358497411e-01,5.658617615699768066e-02
6.396315831106283989e-01,5.582404509186744690e-02
6.594036934331667377e-01,5.650381743907928467e-02
6.768711793978537949e-01,5.996671319007873535e-02
6.925156432336154744e-01,5.340911448001861572e-02
7.066819050194886875e-01,5.858387798070907593e-02
7.196253497312981029e-01,5.388605222105979919e-02
7.315404096838690196e-01,5.250126123428344727e-02
7.425785399235786954e-01,4.989429563283920288e-02
7.528600198700303725e-01,6.009785830974578857e-02
7.624819629574179913e-01,5.827498435974121094e-02
7.715239084987520757e-01,5.158396437764167786e-02
7.800518219225458516e-01,5.598283931612968445e-02
7.881210178599002969e-01,5.697507783770561218e-02
7.957783364217151378e-01,5.691593512892723083e-02
8.030637905381071695e-01,5.833029747009277344e-02
8.100118315030891969e-01,5.445305258035659790e-02
8.166523342208719116e-01,6.067050248384475708e-02
8.230113735024365829e-01,5.837326124310493469e-02
8.291118424321759495e-01,5.656743422150611877e-02
8.349739498570599716e-01,5.109228566288948059e-02
8.406156242894512465e-01,5.546232685446739197e-02
8.460528445860300284e-01,5.526656657457351685e-02
8.512999127768051677e-01,5.345479398965835571e-02
8.563696807792826604e-01,5.622014403343200684e-02
8.612737400462020521e-01,5.247711017727851868e-02
8.660225811893362824e-01,5.261473357677459717e-02
8.706257291085888195e-01,5.494577810168266296e-02
8.750918580029386495e-01,5.265899002552032471e-02
8.794288897537969607e-01,5.673521012067794800e-02
8.836440784845941421e-01,5.298585072159767151e-02
8.877440835638684691e-01,5.472500994801521301e-02
8.917350328968063344e-01,5.167557671666145325e-02
8.956225780154476457e-01,5.157822743058204651e-02
8.994119422106823247e-01,5.117011442780494690e-02
9.031079627347398109e-01,5.091774091124534607e-02
9.067151279297006594e-01,5.084087699651718140e-02
9.102376099969227141e-01,5.290808901190757751e-02
9.136792940074541791e-01,5.054829269647598267e-02
9.170438036592906128e-01,5.592307448387145996e-02
9.203345242096501178e-01,5.509698390960693359e-02
9.235546229461050194e-01,5.550719797611236572e-02
9.267070675068820318e-01,5.299669504165649414e-02
9.297946423159354490e-01,5.050612241029739380e-02
9.328199633609057795e-01,5.385305359959602356e-02
9.357854915105029425e-01,5.296229943633079529e-02
9.386935445411912493e-01,5.192126333713531494e-02
9.415463080204354851e-01,5.252493172883987427e-02
9.443458451745343485e-01,5.279041454195976257e-02
9.470941058526446410e-01,4.993353784084320068e-02
9.497929346845538356e-01,5.325216054916381836e-02
9.524440785176820912e-01,5.372810736298561096e-02
9.550491932084091973e-01,5.516318231821060181e-02
9.576098498338494469e-01,5.595089122653007507e-02
9.601275403824264254e-01,5.467746406793594360e-02
9.626036829748628731e-01,5.309208109974861145e-02
9.650396266613296969e-01,5.344366282224655151e-02
9.674366558353856282e-01,5.118501558899879456e-02
9.697959943008642725e-01,5.096527189016342163e-02
9.721188090239463175e-01,5.222542956471443176e-02
9.744062135992180851e-01,5.558488890528678894e-02
9.766592714554824806e-01,5.472662672400474548e-02
9.788789988244288587e-01,5.306649580597877502e-02
9.810663674929026579e-01,5.231162905693054199e-02
9.832223073574331007e-01,5.636258795857429504e-02
9.853477087978265159e-01,5.500272661447525024e-02
9.874434248849904838e-01,5.259206146001815796e-02
9.895102734366870711e-01,5.477077141404151917e-02
9.915490389336165666e-01,5.313830450177192688e-02
9.935604743070652889e-01,5.332778021693229675e-02
9.955453026083126433e-01,5.074014887213706970e-02
9.975042185690579100e-01,5.262667685747146606e-02
9.994378900612965744e-01,5.217332020401954651e-02
1.001346959464321396e+00,5.101776123046875000e-02
1.003232044945848944e+00,5.285485833883285522e-02
1.005093741663666496e+00,5.658920109272003174e-02
1.006932622893641494e+00,5.587615072727203369e-02
1.008749241089445414e+00,5.382890626788139343e-02
1.010544128878892334e+00,5.367175117135047913e-02
1.012317800001387491e+00,5.438601225614547729e-02
1.014070750190614545e+00,5.223210155963897705e-02
1.015803458006256266e+00,5.199636891484260559e-02
1.017516385618239205e+00,5.073590576648712158e-02
1.019209979546717548e+00,5.289419367909431458e-02
1.020884671360761109e+00,5.580694973468780518e-02
1.022540878338481285e+00,5.220323801040649414e-02
1.024179004091122724e+00,5.096140503883361816e-02
1.025799439153454173e+00,4.899430274963378906e-02
1.027402561542617887e+00,5.342995747923851013e-02
1.028988737287443778e+00,5.273183807730674744e-02
