# kappa, training_loss
0.000000000000000000e+00,8.966732025146484375e-02
3.598289220468022243e-01,8.004233241081237793e-02
4.568569395203305183e-01,8.025006949901580811e-02
5.152968298432096805e-01,7.770072668790817261e-02
5.572489632395962733e-01,8.504243195056915283e-02
5.899982083812248534e-01,8.089162409305572510e-02
6.168646218532632952e-01,7.794659584760665894e-02
6.396432955542142862e-01,8.084248006343841553e-02
6.594154265310198104e-01,8.188372105360031128e-02
6.768829286105682019e-01,8.154770731925964355e-02
6.925274053701255816e-01,8.074249327182769775e-02
7.066936777511800827e-01,7.822561264038085938e-02
7.196371313068992137e-01,7.591759413480758667e-02
7.315521987531632409e-01,7.636598497629165649e-02
7.425903354236301768e-01,8.072645962238311768e-02
7.528718209490821156e-01,7.820547372102737427e-02
7.624937689224260406e-01,7.644527405500411987e-02
7.715357187782592163e-01,7.417725771665573120e-02
7.800636360398115476e-01,7.617076486349105835e-02
7.881328354130645586e-01,7.776486873626708984e-02
7.957901570688974413e-01,7.729543745517730713e-02
8.030756139860355525e-01,6.683778017759323120e-02
8.100236574983020743e-01,6.854237616062164307e-02
8.166641625428252560e-01,6.527748703956604004e-02
8.230232039580397396e-01,6.537616252899169922e-02
8.291236748514169141e-01,6.455001235008239746e-02
8.349857840894683303e-01,6.698473542928695679e-02
8.406274602012138164e-01,7.320757210254669189e-02
8.460646820576199767e-01,6.473302096128463745e-02
8.513117517010175828e-01,6.619103252887725830e-02
8.563815210595975280e-01,6.835366040468215942e-02
8.612855815954106875e-01,7.320968806743621826e-02
8.660344239283794820e-01,7.039646059274673462e-02
8.706375729655734252e-01,6.806655228137969971e-02
8.751037029122961108e-01,6.624519079923629761e-02
8.794407356555629107e-01,6.882421672344207764e-02
8.836559253237876721e-01,5.918437242507934570e-02
8.877559312899543364e-01,6.267233192920684814e-02
8.917468814632284468e-01,6.152845174074172974e-02
8.956344273792220534e-01,5.490847304463386536e-02
8.994237923320407280e-01,6.175297871232032776e-02
9.031198135768169211e-01,6.046580895781517029e-02
9.067269794582580866e-01,5.670164898037910461e-02
9.102494621801051622e-01,6.082130223512649536e-02
9.136911468155735072e-01,5.475452542304992676e-02
9.170556570646332117e-01,6.035374477505683899e-02
