# kappa, training_loss
0.000000000000000000e+00,5.694941431283950806e-02
1.040072988382547275e-01,2.470382675528526306e-02
1.648476684599328446e-01,1.435729581862688065e-02
2.080145976765094551e-01,1.181834656745195389e-02
2.414974692458893846e-01,9.620841592550277710e-03
2.688549672981875305e-01,9.027859196066856384e-03
2.919854023234905172e-01,1.030367054045200348e-02
3.120218965147641965e-01,1.013525761663913727e-02
3.296953369198656891e-01,8.420811966061592102e-03
3.455047680841441538e-01,9.668678045272827148e-03
3.598061381701166961e-01,7.796178571879863739e-03
3.728622661364422997e-01,9.854164905846118927e-03
3.848727395976476728e-01,6.612940225750207901e-03
3.959927011617452308e-01,1.019866950809955597e-02
4.063451377058222014e-01,7.334129419177770615e-03
4.160291953530189102e-01,7.976291701197624207e-03
4.251259692201858065e-01,9.415723383426666260e-03
4.337026357581203473e-01,6.668693386018276215e-03
4.418154663339713406e-01,5.989655386656522751e-03
4.495120669223988119e-01,7.204927504062652588e-03
4.568330707834233895e-01,7.339018397033214569e-03
4.638134370083714098e-01,8.503967896103858948e-03
4.704834601769818381e-01,6.630020681768655777e-03
4.768695649746970133e-01,6.188872270286083221e-03
4.829949384917787691e-01,5.951280705630779266e-03
4.888800384359024420e-01,6.507874932140111923e-03
4.945430053797984504e-01,7.045282516628503799e-03
5.000000000000000000e-01,7.406001444905996323e-03
5.052654811107955002e-01,7.007902022451162338e-03
5.103524365440769150e-01,6.335064768791198730e-03
5.152725761577867658e-01,5.965570919215679169e-03
5.200364941912736239e-01,6.642094347625970840e-03
5.246538066300494574e-01,5.679970141500234604e-03
5.291332680584405201e-01,5.687930155545473099e-03
5.334828715693799017e-01,6.387961562722921371e-03
5.377099345963750610e-01,7.328151725232601166e-03
5.418211729829220946e-01,5.597016774117946625e-03
5.458227651722260543e-01,6.134513765573501587e-03
5.497204080575804896e-01,5.296701099723577499e-03
5.535193657606535256e-01,5.101960618048906326e-03
5.572245123858037275e-01,7.311572786420583725e-03
5.608403696216781587e-01,5.558822304010391235e-03
5.643711399177900878e-01,5.911014974117279053e-03
5.678207358466260679e-01,5.995896644890308380e-03
5.711928061657549627e-01,5.413057282567024231e-03
5.744907590152366073e-01,5.050440784543752670e-03
5.777177826200742272e-01,6.464886479079723358e-03
5.808768638129517825e-01,5.202026106417179108e-03
5.839708046469810343e-01,4.833091516047716141e-03
5.870022373300335383e-01,4.929327405989170074e-03
5.899736376801186788e-01,4.782552830874919891e-03
5.928873372741572112e-01,4.408342763781547546e-03
5.957455344395066188e-01,4.194980487227439880e-03
5.985503042180532196e-01,4.848394077271223068e-03
6.013036074160060807e-01,4.043089691549539566e-03
6.040072988382547692e-01,4.054108168929815292e-03
6.066631347939042129e-01,4.173217341303825378e-03
6.092727799490501583e-01,3.830113215371966362e-03
6.118378135937591056e-01,3.483969718217849731e-03
6.143597353823316842e-01,3.393669147044420242e-03
6.168399705990983417e-01,3.783866297453641891e-03
6.192798749960414240e-01,3.883995814248919487e-03
6.216807392433562063e-01,3.243135288357734680e-03
6.240437930295283930e-01,4.295258782804012299e-03
6.263702088435370019e-01,3.816875396296381950e-03
6.286611054683041155e-01,3.628021571785211563e-03
6.309175512114482132e-01,4.174219444394111633e-03
6.331405668966952893e-01,4.002672154456377029e-03
6.353311286369147659e-01,4.111513495445251465e-03
6.374901704076347819e-01,3.165516536682844162e-03
6.396185864380197206e-01,4.114239476621150970e-03
6.417172334346298301e-01,3.018363611772656441e-03
6.437869326518022017e-01,3.697384148836135864e-03
6.458284718211768638e-01,3.908927552402019501e-03
6.478426069517115859e-01,2.599972998723387718e-03
6.498300640104808235e-01,3.902720753103494644e-03
6.517915404936072132e-01,3.063012845814228058e-03
6.537277068958352588e-01,3.780491184443235397e-03
6.556392080864928973e-01,3.899232717230916023e-03
6.575266645989082948e-01,3.410275327041745186e-03
6.593906738397313783e-01,4.410112276673316956e-03
6.612318112240584966e-01,3.778988961130380630e-03
6.630506312417571158e-01,3.537595970556139946e-03
6.648476684599328168e-01,2.751078689470887184e-03
6.666234384660751910e-01,4.183732438832521439e-03
6.683784387560447460e-01,1.697657047770917416e-03
6.701131495707283170e-01,2.320960164070129395e-03
6.718280346848809481e-01,3.604457248002290726e-03
6.735235421513987575e-01,1.886552199721336365e-03
6.752001050040097319e-01,3.087778110057115555e-03
6.768581419211382455e-01,2.674201037734746933e-03
6.784980578534913764e-01,2.936842385679483414e-03
6.801202446177195826e-01,3.364200238138437271e-03
6.817250814583289964e-01,3.122713649645447731e-03
6.833129355798607252e-01,2.853296697139739990e-03
6.848841626512064407e-01,3.313903929665684700e-03
6.864391072837917607e-01,2.787328325212001801e-03
6.879781034852359145e-01,3.815608099102973938e-03
6.895014750899822742e-01,3.747768700122833252e-03
6.910095361682883075e-01,2.172136912122368813e-03
6.925025914148651429e-01,2.732160035520792007e-03
